red_br_no;odobreni_br_app_no;naziv_odobrenog_objekta_approved_establishment;adresa_objekta_address;mjesto_i_poštanski_broj_town_postal_code;"općina_municipality";županija_county;napomena_remark;sante;sante_djelatnosti_sante_activity;vrste_species;lat;lng;lat;lng
1;2;BELJE plus d.o.o.;Bele Bartoka 33;Beli Manastir, 31300;Beli Manastir;"Osječko - baranjska";;VI, IX;PP;BCOP AL fG, wA, wL, wG, wU;45.7682673;18.5920545;45.7682673;18.5920545
2;3;"PPK KARLOVAČKA MESNA INDUSTRIJA d.d.";Selce 33;Karlovac, 47000;Karlovac;"Karlovačka";"ODREĐEN OBJEKT";0, I, V, VI, XII;CS, CP, PP: MM-MP;BCOPA;45.5110884;15.5537494;45.5110884;15.5537494
3;4;CROMA - VARAŽDIN d.o.o.;V. Cecelje 6;Sveti Ilija, 42214;Sveti Ilija;Varaždinska;;XIII, XVII;PP;BCOP;46.2572752;16.2900851;46.2572752;16.2900851
