ciqual_code	ciqual_group_fr	ciqual_name_fr
19599	produits laitiers frais et assimilés	Yaourt, lait fermenté ou spécialité laitière, nature, sucré
19579	produits laitiers frais et assimilés	Yaourt, lait fermenté ou spécialité laitière, aux céréales
19587	produits laitiers frais et assimilés	Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré
19589	produits laitiers frais et assimilés	Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré, à la crème
19558	produits laitiers frais et assimilés	Yaourt, lait fermenté ou spécialité laitière, aux céréales, 0% MG
19580	produits laitiers frais et assimilés	Yaourt, lait fermenté ou spécialité laitière, aux copeaux de chocolat, à la crème, sucré
19592	produits laitiers frais et assimilés	Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré, enrichi en vitamine D
19582	produits laitiers frais et assimilés	Yaourt, lait fermenté ou spécialité laitière, aux fruits, avec édulcorants, 0% MG, enrichi en vitamine D
19581	produits laitiers frais et assimilés	Yaourt, lait fermenté ou spécialité laitière, aux fruits, avec édulcorants, 0% MG
19556	produits laitiers frais et assimilés	Yaourt au lait de chèvre, nature, 5% MG environ
19550	produits laitiers frais et assimilés	Yaourt à la grecque, au lait de brebis
19552	produits laitiers frais et assimilés	Yaourt à la grecque, sur lit de fruits
19860	produits laitiers frais et assimilés	Yaourt à la grecque, nature
21801	viandes cuites	Chevreau, cuit
21800	viandes crues	Chevreau, cru
