alim_grp_code,alim_ssgrp_code,alim_ssssgrp_code,alim_grp_nom_eng,alim_ssgrp_nom_eng,alim_ssssgrp_nom_eng,alim_code,alim_nom_eng,alim_nom_sci,"Energy, Regulation EU No 1169/2011 (kJ/100g)","Energy, Regulation EU No 1169/2011 (kcal/100g)","Energy, N x Jones' factor, with fibres (kJ/100g)","Energy, N x Jones' factor, with fibres (kcal/100g)",Water (g/100g),Protein (g/100g),"Protein, crude, N x 6.25 (g/100g)",Carbohydrate (g/100g),Fat (g/100g),Sugars (g/100g),fructose (g/100g),galactose (g/100g),glucose (g/100g),lactose (g/100g),maltose (g/100g),sucrose (g/100g),Starch (g/100g),Fibres (g/100g),Polyols (g/100g),Ash (g/100g),Alcohol (g/100g),Organic acids (g/100g),FA saturated (g/100g),FA mono (g/100g),FA poly (g/100g),FA 4:0 (g/100g),FA 6:0 (g/100g),FA 8:0 (g/100g),FA 10:0 (g/100g),FA 12:0 (g/100g),FA 14:0 (g/100g),FA 16:0 (g/100g),FA 18:0 (g/100g),FA 18:1 n-9 cis (g/100g),"FA 18:2 9c,12c (n-6) (g/100g)","FA 18:3 c9,c12,c15 (n-3) (g/100g)","FA 20:4 5c,8c,11c,14c (n-6) (g/100g)","FA 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g)","FA 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g)",Cholesterol (mg/100g),Salt (g/100g),Calcium (mg/100g),Chloride (mg/100g),Copper (mg/100g),Iron (mg/100g),Iodine (µg/100g),Magnesium (mg/100g),Manganese (mg/100g),Phosphorus (mg/100g),Potassium (mg/100g),Selenium (µg/100g),Sodium (mg/100g),Zinc (mg/100g),Retinol (µg/100g),Beta-carotene (µg/100g),Vitamin D (µg/100g),Vitamin E (mg/100g),Vitamin K1 (µg/100g),Vitamin K2 (µg/100g),Vitamin C (mg/100g),Vitamin B1 or Thiamin (mg/100g),Vitamin B2 or Riboflavin (mg/100g),Vitamin B3 or Niacin (mg/100g),Vitamin B5 or Pantothenic acid (mg/100g),Vitamin B6 (mg/100g),Vitamin B9 or Folate (µg/100g),Vitamin B12 (µg/100g)
13,1300,000000,fruits and fruit products,fruits,,E032,Karonda fruit,Carissa carandas,141,33.7,-,-,86.04,1.15,1.15,2.87,1.67,1.75,1.19,-,0.56,-,-,-,0.8,7.25,-,1.02,-,0.00386,0.06681,0.02412,0.0526,-,-,-,-,-,-,0.04289,0.02047,0.02048,0.04512,0.00748,-,-,-,-,0.006477,10.81,-,0.71,0.87,-,24.45,0.24,32.62,351,1.57,2.55,0.25,-,15.64,1.43,0.04,2.5,-,135,0.01,0.02,0.25,0.67,0.08,8.72,-
13,1300,000000,fruits and fruit products,fruits,,E033,"Lemon, juice",Citrus limon,153,36.57,-,-,91.59,0.41,0.41,6.97,0.75,2.59,1.01,-,1.28,-,-,0.3,-,-,-,0.28,-,4.073,0.202,0.0474,0.353,-,-,-,-,-,-,0.147,0.02767,0.0474,0.27,0.08353,-,-,-,-,0.003073,22.68,-,0.03,0.12,-,8.9,0.02,9.86,113,-,1.21,0.08,-,2.62,0.39,0.06,1.8,-,48.16,0.04,0.01,0.1,0.12,0.03,12.43,-
13,1300,000000,fruits and fruit products,fruits,,E034,"Lime, sweet pulp",Citrus limetta,114,27.25,-,-,91.32,0.76,0.76,5.18,0.2,3.42,0.7,-,2.6,-,-,0.12,0.52,2.07,-,0.47,-,3.959,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.002972,25.79,-,0.03,0.11,-,15.4,0.04,20.55,182,0.72,1.17,0.05,-,2.54,0.3,0.07,2.2,-,46.96,0.06,0.01,0.17,0.25,0.05,15.38,-
13,1300,000000,fruits and fruit products,fruits,,E035,Litchi,Litchi chinensis,225,53.78,-,-,85.56,0.99,0.99,11.41,0.26,9.3,4.05,-,2.17,-,-,3.08,-,1.34,-,0.44,-,0.1409,0.09148,0.04563,0.07889,-,-,-,-,-,-,0.06853,0.01413,0.0416,0.05198,0.02691,-,-,-,-,0.001372,5.77,-,0.11,0.79,-,14.58,0.04,23.32,161,0.46,0.54,0.24,-,1.47,0.33,0.06,7.81,-,33.82,0.02,0.06,0.23,0.19,0.07,15.69,-
13,1300,000000,fruits and fruit products,fruits,,E036,"Mango, ripe, banganapalli",Mangifera indica,175,41.83,-,-,88.44,0.54,0.54,8.18,0.55,7.77,2.38,-,0.73,-,-,4.66,-,1.88,-,0.42,-,0.5261,0.17,0.134,0.132,-,-,-,-,-,0.00701,0.15,0.00712,0.08118,0.03072,0.101,-,-,-,-,0.003404,15.77,-,0.1,0.51,-,13.35,0.22,11.07,144,1.91,1.34,0.12,-,1168,3.71,0.28,4.77,-,32.97,0.03,0.04,0.26,0.12,0.12,82.05,-
13,1300,000000,fruits and fruit products,fruits,,E037,"Mango, ripe, gulabkhas",Mangifera indica,209,49.95,-,-,86.65,0.52,0.52,10.32,0.53,8.13,3.9,-,2.6,-,-,1.63,-,1.67,-,0.32,-,0.5105,0.18,0.145,0.0993,-,-,-,-,0.00233,0.0165,0.147,0.0082,0.08908,0.02791,0.07139,-,-,-,-,0.003531,19.33,-,0.07,0.38,-,11.53,0.11,10.66,115,2.05,1.39,0.06,-,666,3.91,0.2,4.8,-,27.65,0.03,0.04,0.23,0.11,0.13,84.35,-
13,1300,000000,fruits and fruit products,fruits,,E038,"Mango, ripe, himsagar",Mangifera indica,187,44.69,-,-,88.04,0.46,0.46,9.03,0.54,8.06,4.5,-,0.55,-,-,3.01,-,1.55,-,0.38,-,0.5253,0.174,0.134,0.127,-,-,-,-,-,0.00581,0.154,0.00663,0.07342,0.016,0.111,-,-,-,-,0.003327,15.54,-,0.08,0.29,-,12.07,0.17,12.25,137,1.9,1.31,0.12,-,1181,3.73,0.31,4.4,-,49.09,0.03,0.03,0.27,0.11,0.1,90.98,-
13,1300,000000,fruits and fruit products,fruits,,E039,"Mango, ripe, kesar",Mangifera indica,231,55.21,-,-,85.07,0.54,0.54,11.36,0.57,9,4.8,-,2.65,-,-,1.55,-,2.02,-,0.44,-,0.5245,0.172,0.169,0.115,-,-,-,-,-,0.00571,0.152,0.00736,0.105,0.02429,0.09087,-,-,-,-,0.003632,15.74,-,0.07,0.43,-,12.53,0.22,12.36,143,1.85,1.43,0.1,-,1264,3.68,0.26,4.75,-,29.08,0.03,0.04,0.26,0.11,0.1,90.43,-
13,1300,000000,fruits and fruit products,fruits,,E040,"Mango, ripe, neelam",Mangifera indica,178,42.54,-,-,88.41,0.68,0.68,8.21,0.55,7.94,4.42,-,2.71,-,-,0.81,-,1.77,-,0.38,-,0.51,0.178,0.147,0.116,-,-,-,-,0.00308,0.01721,0.141,0.00664,0.08989,0.01656,0.09895,-,-,-,-,0.003048,11.36,-,0.08,0.36,-,10.1,0.07,11.63,137,1.36,1.2,0.07,-,1291,3.72,0.29,5,-,29.93,0.03,0.04,0.23,0.14,0.12,68.7,-
13,1300,000000,fruits and fruit products,fruits,,E041,"Mango, ripe, paheri",Mangifera indica,188,44.93,-,-,87.69,0.68,0.68,8.67,0.58,8.48,4.95,-,2.46,-,-,1.07,-,1.97,-,0.42,-,0.5235,0.186,0.192,0.08632,-,-,-,-,0.00233,0.03458,0.137,0.00626,0.1228,0.0204,0.06592,-,-,-,-,0.00414,15.11,-,0.11,0.51,-,14.28,0.24,15.18,153,1.44,1.63,0.2,-,1061,3.62,0.37,4.8,-,30.75,0.03,0.04,0.28,0.1,0.23,65.28,-
