DEP	COM	ARRD	CANT	ADMI	POPU	SURFACE	NOM	XPROJ_LOC	YPROJ_LOC	LONGI_DMS_LOC	LATI_DMS_LOC	XPROJ_MOND	YPROJ_MOND	LONGI_DMS_MOND	LATI_DMS_MOND	ZMIN	ZMAX
972	04	4	04	5	38	3600	LE CARBET	6952	16271	-611112	+144238	6956	16273	-611059	+144244	0	570
972	32	3	36	5	89	3906	LE VAUCLIN	7324	16089	-605038	+143236	7327	16091	-605024	+143242	0	504
972	10	3	94	5	192	5393	LE FRANCOIS	7255	16167	-605423	+143649	7259	16168	-605409	+143655	0	363
972	23	3	27	5	90	2346	SAINT-ESPRIT	7219	16106	-605627	+143332	7223	16107	-605614	+143338	6	388
972	09	1	99	2	890	4421	FORT-DE-FRANCE	7076	16156	-610423	+143620	7080	16158	-610410	+143626	0	1070
972	31	3	35	5	74	2860	LES TROIS-ILETS	7114	16080	-610217	+143211	7118	16082	-610204	+143217	0	400
972	21	3	25	5	130	3938	RIVIERE-SALEE	7171	16070	-605906	+143138	7175	16072	-605853	+143144	0	323
972	13	1	95	5	394	6232	LE LAMENTIN	7148	16166	-610021	+143649	7152	16167	-610007	+143655	-10	363
972	07	3	07	5	164	3769	DUCOS	7177	16122	-605846	+143427	7181	16124	-605833	+143433	0	160
972	29	1	98	5	217	2117	SCHOELCHER	7041	16165	-610618	+143652	7045	16167	-610605	+143658	0	1196
972	26	3	30	5	48	3842	SAINTE-ANNE	7280	15968	-605306	+142601	7284	15969	-605253	+142607	0	200
972	20	3	24	5	136	3578	RIVIERE-PILOTE	7256	16024	-605426	+142906	7260	16026	-605412	+142912	0	372
972	17	3	20	4	90	3154	LE MARIN	7291	16008	-605228	+142811	7295	16009	-605215	+142817	0	347
972	27	3	31	5	94	2802	SAINTE-LUCE	7236	16004	-605531	+142760	7240	16005	-605518	+142806	0	371
972	06	3	06	5	59	2734	LE DIAMANT	7124	16016	-610145	+142842	7128	16017	-610132	+142848	0	478
972	02	3	02	5	38	2592	LES ANSES-D'ARLET	7065	16027	-610502	+142922	7069	16029	-610449	+142928	0	478
973	14	1	12	6	1	108000	OUANARY	4254	4652	-514018	+41230	4254	4653	-514018	+41233	0	258
973	01	1	01	5	8	1213000	REGINA	3747	4768	-520745	+41845	3747	4769	-520745	+41849	0	588
973	10	1	11	5	27	390250	ROURA	3531	5227	-521927	+44338	3531	5228	-521927	+44342	0	470
973	09	1	10	5	188	4611	REMIRE-MONTJOLY	3585	5422	-521635	+45414	3585	5423	-521635	+45418	0	162
973	07	1	19	5	256	13719	MATOURY	3524	5362	-521952	+45059	3524	5363	-521952	+45102	0	234
973	12	1	14	5	32	134000	SINNAMARY	2830	5946	-525731	+52235	2830	5947	-525731	+52239	0	235
973	05	1	08	5	86	37750	MACOURIA	3366	5542	-522826	+50045	3366	5543	-522826	+50049	0	103
973	04	1	07	5	259	216000	KOUROU	3179	5703	-523833	+50926	3179	5704	-523834	+50930	0	342
973	03	1	06	5	21	276200	IRACOUBO	2556	6061	-531219	+52844	2556	6062	-531220	+52848	0	329
973	13	1	15	5	20	60000	MONTSINERY-TONNEGRANDE	3345	5409	-522934	+45330	3345	5410	-522934	+45334	0	150
973	02	1	99	2	576	2360	CAYENNE	3520	5459	-522006	+45615	3520	5460	-522006	+45619	0	105
973	61	2	09	6	13	18740	AWALA-YALIMAPO	1779	6347	-535428	+54406	1779	6349	-535429	+54410	0	10
973	58	1	14	6	5	568000	SAINT-ELIE	2462	5337	-531717	+44928	2462	5338	-531717	+44932	0	618
973	11	2	13	4	356	483000	SAINT-LAURENT-DU-MARONI	1644	6091	-540143	+53010	1644	6092	-540144	+53014	0	468
973	06	2	09	5	87	633260	MANA	1924	6270	-534636	+53958	1924	6271	-534637	+54002	0	586
973	60	2	16	6	65	202000	APATOU	1293	5708	-542035	+50920	1293	5709	-542035	+50924	0	380
973	08	1	12	5	39	232000	SAINT-GEORGES	4111	4298	-514804	+35318	4111	4299	-514804	+35322	0	312
973	57	2	16	6	40	211200	GRAND-SANTI	1245	4731	-542254	+41621	1245	4732	-542254	+41624	40	464
973	62	2	16	6	31	262800	PAPAICHTON	1502	4216	-540856	+34832	1502	4217	-540856	+34835	40	727
973	53	2	16	5	66	1836000	MARIPASOULA	1636	4029	-540140	+33824	1636	4030	-540140	+33828	66	828
973	56	1	12	6	15	1003000	CAMOPI	3521	3500	-521952	+30958	3521	3502	-521952	+31001	32	828
973	52	2	16	6	2	447500	SAUL	2547	4006	-531230	+33718	2547	4007	-531230	+33722	16	640
974	20	1	32	5	224	5784	SAINTE-SUZANNE	1683	747	+553648	-205336	3552	76877	+553626	-205420	0	1449
974	09	3	92	5	530	5307	SAINT-ANDRE	1728	687	+553923	-205653	3597	76816	+553902	-205738	0	920
974	18	1	30	5	308	8721	SAINTE-MARIE	1623	757	+553318	-205304	3491	76886	+553257	-205349	0	1800
974	02	3	02	5	114	8855	BRAS-PANON	1755	648	+554055	-205858	3624	76778	+554034	-205943	0	2092
974	11	1	93	2	1442	14279	SAINT-DENIS	1518	777	+552715	-205159	3386	76905	+552653	-205244	0	2276
974	07	4	91	5	383	1662	LE PORT	1350	710	+551735	-205537	3219	76836	+551714	-205622	0	110
974	15	4	97	4	1030	24128	SAINT-PAUL	1332	632	+551632	-205950	3202	76758	+551611	-210035	0	2955
974	08	4	08	5	288	11835	LA POSSESSION	1401	724	+552031	-205451	3270	76851	+552009	-205535	0	2940
974	19	3	31	5	68	17760	SAINTE-ROSE	1875	502	+554753	-210654	3746	76633	+554732	-210738	0	2623
974	06	3	06	5	49	8319	LA PLAINE-DES-PALMISTES	1702	493	+553753	-210722	3573	76623	+553732	-210806	720	2402
974	10	3	90	4	338	22961	SAINT-BENOIT	1793	605	+554307	-210118	3662	76735	+554246	-210202	0	2520
974	21	3	33	5	73	10382	SALAZIE	1612	612	+553242	-210055	3482	76741	+553221	-210140	230	3071
974	23	4	36	5	70	4258	LES TROIS-BASSINS	1358	526	+551803	-210536	3229	76652	+551742	-210621	0	2898
974	13	4	95	5	299	11837	SAINT-LEU	1350	459	+551734	-210914	3221	76585	+551713	-210959	0	2782
974	03	2	03	5	60	6683	ENTRE-DEUX	1541	367	+552834	-211412	3413	76495	+552813	-211456	109	2352
974	01	2	01	5	103	2627	LES AVIRONS	1399	375	+552021	-211346	3271	76502	+552000	-211431	0	2565
974	24	2	22	6	60	8440	CILAOS	1541	493	+552837	-210723	3412	76621	+552816	-210807	370	3071
974	17	2	26	5	51	15394	SAINT-PHILIPPE	1849	245	+554624	-212049	3722	76376	+554604	-212134	0	2630
974	22	2	99	5	720	16543	LE TAMPON	1587	335	+553115	-211557	3460	76463	+553055	-211641	287	2418
974	12	2	94	5	351	17850	SAINT-JOSEPH	1695	224	+553730	-212158	3568	76353	+553709	-212243	0	2448
974	05	2	05	5	117	3393	PETITE-ILE	1640	249	+553418	-212036	3513	76378	+553357	-212121	0	1581
974	16	2	98	4	762	9599	SAINT-PIERRE	1548	264	+552901	-211946	3421	76392	+552840	-212031	0	1642
974	04	2	04	5	134	3865	L'ETANG-SALE	1433	348	+552222	-211513	3306	76475	+552201	-211558	0	1781
974	14	2	96	5	507	9890	SAINT-LOUIS	1477	325	+552454	-211627	3350	76453	+552433	-211712	0	2543
976	01	1	01	5	46	1311	ACOUA	5059	85939	+450316	-124310	5062	85936	+450324	-124319	0	493
976	12	1	12	5	69	1641	MTSAMBORO	5073	85965	+450401	-124144	5075	85962	+450409	-124153	0	480
976	04	1	04	5	53	1429	BOUENI	5083	85734	+450435	-125416	5085	85732	+450443	-125425	0	290
976	13	1	13	5	50	2204	M'TSANGAMOUJI	5087	85898	+450450	-124523	5090	85895	+450458	-124532	0	290
976	16	1	16	5	80	1026	SADA	5106	85798	+450552	-125047	5108	85796	+450559	-125056	0	510
976	09	1	09	5	45	2059	KANI-KELI	5112	85679	+450611	-125714	5114	85677	+450618	-125724	0	590
976	17	1	17	5	92	3442	TSINGONI	5109	85866	+450602	-124706	5112	85864	+450610	-124715	0	480
976	05	1	05	5	64	851	CHICONI	5120	85819	+450639	-124939	5123	85816	+450646	-124948	0	240
976	02	1	02	5	90	3211	BANDRABOUA	5128	85961	+450704	-124158	5130	85958	+450712	-124207	0	460
976	14	1	14	5	66	1850	OUANGANI	5148	85798	+450812	-125048	5151	85795	+450820	-125057	5	580
976	06	1	06	5	66	2876	CHIRONGUI	5161	85703	+450855	-125557	5163	85700	+450903	-125606	0	652
976	07	1	07	5	101	3838	DEMBENI	5198	85804	+451058	-125028	5201	85801	+451106	-125037	0	651
976	03	1	03	5	68	3656	BANDRELE	5209	85732	+451133	-125423	5211	85729	+451140	-125432	0	640
976	10	1	10	5	198	2843	KOUNGOU	5219	85924	+451206	-124357	5221	85922	+451213	-124406	0	570
976	08	1	08	2	153	787	DZAOUDZI	5293	85865	+451613	-124709	5296	85863	+451621	-124718	0	132
976	15	1	15	5	91	424	PAMANDZI	5296	85853	+451621	-124747	5298	85851	+451629	-124756	0	202
976	11	1	11	4	530	4230	MAMOUDZOU	5249	85873	+451346	-124644	5251	85870	+451354	-124653	0	570
