alim_grp_code	alim_ssgrp_code	alim_ssssgrp_code	alim_grp_nom_eng	alim_ssgrp_nom_eng	alim_ssssgrp_nom_eng	alim_code	alim_nom_eng	alim_nom_sci	Energy, Regulation EU No 1169/2011 (kJ/100g)	Energy, Regulation EU No 1169/2011 (kcal/100g)	Energy, N x Jones' factor, with fibres (kJ/100g)	Energy, N x Jones' factor, with fibres (kcal/100g)	Water (g/100g)	Protein (g/100g)	Protein, crude, N x 6.25 (g/100g)	Carbohydrate (g/100g)	Fat (g/100g)	Sugars (g/100g)	fructose (g/100g)	galactose (g/100g)	glucose (g/100g)	lactose (g/100g)	maltose (g/100g)	sucrose (g/100g)	Starch (g/100g)	Fibres (g/100g)	Polyols (g/100g)	Ash (g/100g)	Alcohol (g/100g)	Organic acids (g/100g)	FA saturated (g/100g)	FA mono (g/100g)	FA poly (g/100g)	FA 4:0 (g/100g)	FA 6:0 (g/100g)	FA 8:0 (g/100g)	FA 10:0 (g/100g)	FA 12:0 (g/100g)	FA 14:0 (g/100g)	FA 16:0 (g/100g)	FA 18:0 (g/100g)	FA 18:1 n-9 cis (g/100g)	FA 18:2 9c,12c (n-6) (g/100g)	FA 18:3 c9,c12,c15 (n-3) (g/100g)	FA 20:4 5c,8c,11c,14c (n-6) (g/100g)	FA 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g)	FA 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g)	Cholesterol (mg/100g)	Salt (g/100g)	Calcium (mg/100g)	Chloride (mg/100g)	Copper (mg/100g)	Iron (mg/100g)	Iodine (µg/100g)	Magnesium (mg/100g)	Manganese (mg/100g)	Phosphorus (mg/100g)	Potassium (mg/100g)	Selenium (µg/100g)	Sodium (mg/100g)	Zinc (mg/100g)	Retinol (µg/100g)	Beta-carotene (µg/100g)	Vitamin D (µg/100g)	Vitamin E (mg/100g)	Vitamin K1 (µg/100g)	Vitamin K2 (µg/100g)	Vitamin C (mg/100g)	Vitamin B1 or Thiamin (mg/100g)	Vitamin B2 or Riboflavin (mg/100g)	Vitamin B3 or Niacin (mg/100g)	Vitamin B5 or Pantothenic acid (mg/100g)	Vitamin B6 (mg/100g)	Vitamin B9 or Folate (µg/100g)	Vitamin B12 (µg/100g)
07	0708	000000	sugar and confectionery	cereal bars	-	31113	Cereal bar w fruit		1590	377	1590	377	8,68	5,49	5,49	73,5	7,07	29,6	4,38	-	11,6	0,16	8,81	2,91	37,1	3,8	6,45	1,44	0	0	3,44	2,23	1,09	0,0039	0,023	0,25	0,2	0,75	0,31	1,59	0,3	2,23	0,96	0,13	< 0,0051	< 0,0051	< 0,0072	0	0,63	84	306	0,38	2,18	20	91	1,2	241	392	-	249	1,6	0	-	traces	2,5	-	-	0	0,19	0,19	2,61	0,43	0,12	30	0,24
07	0708	000000	sugar and confectionery	cereal bars	-	31114	Cereal bar with almonds or hazelnuts		1860	444	1860	444	6,5	8,69	8,69	60,6	18,2	20,4	1,18	< 0,1	5,7	< 0,1	10,6	2,89	26,3	4,6	3,9	1,3	0	0,11	4,03	10,4	2,87	< 0,01	< 0,01	0,03	0,02	0,02	0,07	3,19	0,58	10,2	2,74	0,12	< 0,01	< 0,01	< 0,01	-	0,45	37	304	0,32	1,7	7	73	1,8	190	240	< 20	179	1,4	0	8,59	< 0,25	4,2	2,17	-	< 0,5	0,11	0,015	0,43	0,52	0,074	25,4	0,7
07	0708	000000	sugar and confectionery	cereal bars	-	31115	Chocolate cereal bar with fruits		-	-	-	-	-	5,7	5,7	70,4	11,8	34,8	3,93	-	11,1	-	6	6,8	29,7	4,04	-	1,15	0	0	7,45	3,21	0,65	< 0,015	0,029	0,28	0,23	1,77	0,78	2,27	1,92	-	0,62	0,025	< 0,015	< 0,015	< 0,015	-	0,56	-	-	-	-	-	-	-	-	-	-	221	-	-	-	-	-	-	-	41,2	0,6	0,75	8,3	-	0,9	99,5	0,43
07	0709	000000	sugar and confectionery	cakes and pastry	-	19688	Rum baba, prepacked		708	169	708	169	64,5	2,83	2,83	23,6	3,86	18,2	1,75	-	-	-	0,63	13,3	-	0,87	0	0,65	3,8	0	2,77	0,71	0,17	-	-	-	-	-	-	-	-	-	0,16	0,013	-	-	-	-	0,24	-	-	-	-	-	-	-	-	-	-	96,5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
07	0709	000000	sugar and confectionery	cakes and pastry	-	23000	Cake (average)						21,2	5,27	5,27	53,5	17,8	32	2,87		4,01	0,5	1,64	21,8	16,7	1,75		1,17	0,21	0,046	5,36	7,65	3,01	0,12	0,43	0,058	0,12	0,3	0,49	2,65	1,22	7,49	2,17	0,81	0,01	0,0047	0,0057	85,8	0,73	65,4		0,12	1,24	11,5	21,4	0,24	150	161	7,29	292	0,52	69,1	43,7	0,41	3,23			0,41	0,21	0,11	0,38	0,47	0,054	35	0,21
07	0709	000000	sugar and confectionery	cakes and pastry	-	23005	Chou pastry with praline flavoured creme		-	-	-	-	40,6	5,44	5,44	26,1	24,9	16,2	1	-	< 0,2	2	< 0,2	13,1	8,1	1,2	-	0,92	0	0,82	13,1	8,27	1,89	0,59	0,39	0,27	0,48	0,77	1,94	6,33	1,88	7,47	1,64	0,17	0,03	< 0,01	< 0,01	109	0,3	73	190	0,11	0,66	< 20	23	0,29	110	160	< 20	119	0,54	143	106	< 0,25	2,85	3,5	-	-	< 0,015	0,22	< 0,1	0,52	0,018	67,6	0,39
07	0709	000000	sugar and confectionery	cakes and pastry	-	23006	Sponge cake w chocolate w or wo cherry		-	-	-	-	38,3	4,13	4,13	34,2	19	29,5	3,1	-	4,3	1,6	1,4	19,1	4,5	2,2	-	0,83	1,2	0,19	12,4	4,84	0,58	0,41	0,27	0,22	0,36	0,96	1,51	5,3	3,04	4,32	0,48	0,07	0,02	< 0,01	< 0,01	61,7	0,17	53	71	0,24	2,7	< 20	32	0,3	98	190	< 20	69	0,59	83,7	55,2	< 0,25	0,69	3,13	-	< 0,5	0,026	0,075	< 0,1	0,33	0,013	48,2	0,23
07	0709	000000	sugar and confectionery	cakes and pastry	-	23007	Sponge cake w fruit mousse		-	-	-	-	53,3	3,87	3,87	31,6	12,2	25,1	2,13	-	2,91	1,36	0,77	17,9	6,49	< 1	-	0,49	0	traces	6,51	3,4	-	0,28	0,14	0,14	0,26	0,61	1,09	3,16	0,83	3,4	0,78	0,072	-	-	-	87	0,11	42,3	70	< 0,1	0,8	3	10,5	0,2	57	97	-	44,5	0,4	103	36	< 0,5	0,7	-	-	3,1	< 0,04	0,15	0,24	0,36	0,045	26,3	0,2
07	0709	000000	sugar and confectionery	cakes and pastry	-	23008	Dessert, Opera cake type		-	-	-	-	30,1	5,19	5,19	39,6	24	35,1	0,4	-	0,7	0,6	0,3	33,1	4,5	2,3	-	0,81	0	traces	13,4	7,19	2,31	0,33	0,21	0,23	0,35	1,37	1,5	5,78	3,29	6,5	2,13	0,1	0,02	< 0,01	< 0,01	80,2	0,11	42	65,6	0,29	3,2	< 20	44	0,37	110	240	< 20	42	0,76	91,5	66,7	< 0,25	1,21	2,22	-	< 0,5	0,053	0,099	0,2	0,37	0,19	7,09	0,21
07	0709	000000	sugar and confectionery	cakes and pastry	-	23009	Sponge sandwich cake filled and topped with strawberries or raspberries		-	-	-	-	52,6	3,31	3,31	26,7	15,5	17,3	8,3	-	7,8	< 0,5	< 0,5	< 0,5	3,3	1,3	-	0,59	0	traces	8,3	3,94	0,83	0,4	0,25	0,17	0,33	0,51	1,27	3,88	1,26	3,4	-	0,056	0,025	0,0055	-	61	0,15	57,1	54,9	< 1	< 1	< 10	16,9	< 1	76	105	15,1	61,7	< 1	89	< 50	< 0,2	1,3	-	-	4,3	< 0,05	0,47	< 0,05	0,32	0,05	78,1	0,45
