ciqual_code	name_en	name_fr	prop_in_categories	prop_in_ingredients
25574	Sandwich made with wholemeal loaf bread, ham, raw vegetables, cheese (optional), prepacked	Sandwich pain de mie complet, jambon, crudités, fromage optionnel, préemballé	ciqual_food_code	
25579	Gnocchi, cooked (average)	Gnocchi, cuit (aliment moyen)	ciqual_food_code	
25918	Broth, stock or bouillon, meat and vegetables, dehydrated	Bouillon de viande et légumes type pot-au-feu, déshydraté	ciqual_food_code	
26054	Fish, in sauce, frozen	Poisson en sauce, surgelé	ciqual_food_code	
26187	Common anchovy, marinated, prepacked	Anchois commun, mariné, préemballé	ciqual_food_code	
26250	Marine fish, white, without skin, cooked	Poisson blanc, de mer, cuit (aliment moyen)	ciqual_food_code	
28003	Pork loin, raw	Porc, longe, crue	ciqual_food_code	ciqual_food_code
28004	Pork, knuckle or shank, raw	Porc, jarret, cru	ciqual_food_code	ciqual_food_code
28007	Pork loin, cooked	Porc, longe, cuite	ciqual_food_code	ciqual_food_code
28201	Pork tenderloin, lean, raw	Porc, filet, maigre, cru	ciqual_food_code	ciqual_food_code
28802	Dry-cured ham, fat and rind removed	Jambon sec, découenné, dégraissé	ciqual_food_code	
30352	Salami, pork and beef	Salami porc et boeuf	ciqual_food_code	
30705	Sausage from Paris	Saucisson de Paris	ciqual_food_code	
30706	Sausage from Paris, smoked	Saucisson de Paris, fumé	ciqual_food_code	
31003	Candies, all types	Bonbons, tout type	ciqual_food_code	
31033	Nougat	Nougat ou touron	ciqual_food_code	ciqual_food_code
31079	Milk chocolate, filled	Chocolat au lait fourré	ciqual_food_code	
31099	Chocolate snack bar, dairy filling with sponge cake	Barre goûter frais au lait et chocolat avec génoise	ciqual_food_code	
31110	Jam, reduced sugar	Confiture, tout type de fruits, allégée en sucres (extra ou classique)	ciqual_food_code	
32002	Breakfast cereals, rich in fibre, with or without fruits, fortified with vitamins and chemical elements	Céréales pour petit déjeuner riches en fibres, avec ou sans fruits, enrichies en vitamines et minéraux	ciqual_food_code	
32009	Breakfast cereals, chocolate wheat grain flakes, fortified with vitamins and chemical elements	Pétales de blé chocolatés, enrichis en vitamines et minéraux	ciqual_food_code	
32011	Breakfast cereals, chocolate wheat grain flakes (not fortified with vitamins and chemical elements)	Pétales de blé chocolatés (non enrichis en vitamines et minéraux)	ciqual_food_code	
32021	Breakfast cereals, diet, plain or with honey, fortified with vitamins and chemical elements	Céréales pour petit déjeuner "équilibre" nature ou au miel, enrichies en vitamines et minéraux	ciqual_food_code	
32115	Breakfast cereals, chocolate puffed/popped wheat grain, fortified with vitamins and chemical elements	Grains de blé soufflés chocolatés, enrichis en vitamines et minéraux	ciqual_food_code	
32123	Breakfast cereals, wheat flakes with walnuts, hazelnuts or almonds, fortified with vitamins and chemical elements	Pétales de blé avec noix, noisettes ou amandes, enrichis en vitamines et minéraux	ciqual_food_code	
32128	Muesli, flakes (Bircher-style)	Muesli floconneux ou de type traditionnel	ciqual_food_code	
32134	Breakfast cereals, puffed/popped cereals, wholemeal, fortified with vitamins and chemical elements	Céréales complètes soufflées, enrichies en vitamines et minéraux	ciqual_food_code	
32135	Breakfast cereals, mix of puffed or extruded cereals, fortified with vitamins and chemical elements	Multi-céréales soufflées ou extrudées, enrichies en vitamines et minéraux	ciqual_food_code;ciqual_proxy_food_code	
38108	Puffed salty snacks, made from potato and soy	Biscuit apéritif soufflé, à base de pomme de terre et de soja	ciqual_food_code	
38400	Puffed salty snacks, made from maize/corn, without peanuts	Biscuit apéritif soufflé, à base de maïs, sans cacahuète	ciqual_food_code	
39228	Fruit mousse, refrigerated	Mousse aux fruits, rayon frais	ciqual_food_code	
39232	Rice pudding, cake, canned	Gâteau de riz, appertisé	ciqual_food_code	
