alim_grp_code	alim_ssgrp_code	alim_ssssgrp_code	alim_grp_nom_fr	alim_ssgrp_nom_fr	alim_ssssgrp_nom_fr	alim_code	alim_nom_fr	alim_nom_sci	Energie, Règlement UE N° 1169/2011 (kJ/100 g)	Energie, Règlement UE N° 1169/2011 (kcal/100 g)	Energie, N x facteur Jones, avec fibres  (kJ/100 g)	Energie, N x facteur Jones, avec fibres  (kcal/100 g)	Eau (g/100 g)	Protéines, N x facteur de Jones (g/100 g)	Protéines, N x 6.25 (g/100 g)	Glucides (g/100 g)	Lipides (g/100 g)	Sucres (g/100 g)	Fructose (g/100 g)	Galactose (g/100 g)	Glucose (g/100 g)	Lactose (g/100 g)	Maltose (g/100 g)	Saccharose (g/100 g)	Amidon (g/100 g)	Fibres alimentaires (g/100 g)	Polyols totaux (g/100 g)	Cendres (g/100 g)	Alcool (g/100 g)	Acides organiques (g/100 g)	AG saturés (g/100 g)	AG monoinsaturés (g/100 g)	AG polyinsaturés (g/100 g)	AG 4:0, butyrique (g/100 g)	AG 6:0, caproïque (g/100 g)	AG 8:0, caprylique (g/100 g)	AG 10:0, caprique (g/100 g)	AG 12:0, laurique (g/100 g)	AG 14:0, myristique (g/100 g)	AG 16:0, palmitique (g/100 g)	AG 18:0, stéarique (g/100 g)	AG 18:1 9c (n-9), oléique (g/100 g)	AG 18:2 9c,12c (n-6), linoléique (g/100 g)	AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100 g)	AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100 g)	AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100 g)	AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100 g)	Cholestérol (mg/100 g)	Sel chlorure de sodium (g/100 g)	Calcium (mg/100 g)	Chlorure (mg/100 g)	Cuivre (mg/100 g)	Fer (mg/100 g)	Iode (µg/100 g)	Magnésium (mg/100 g)	Manganèse (mg/100 g)	Phosphore (mg/100 g)	Potassium (mg/100 g)	Sélénium (µg/100 g)	Sodium (mg/100 g)	Zinc (mg/100 g)	Rétinol (µg/100 g)	Beta-Carotène (µg/100 g)	Vitamine D (µg/100 g)	Vitamine E (mg/100 g)	Vitamine K1 (µg/100 g)	Vitamine K2 (µg/100 g)	Vitamine C (mg/100 g)	Vitamine B1 ou Thiamine (mg/100 g)	Vitamine B2 ou Riboflavine (mg/100 g)	Vitamine B3 ou PP ou Niacine (mg/100 g)	Vitamine B5 ou Acide pantothénique (mg/100 g)	Vitamine B6 (mg/100 g)	Vitamine B9 ou Folates totaux (µg/100 g)	Vitamine B12 (µg/100 g)
07	0707	000000	produits sucrés	céréales de petit-déjeuner	-	32129	Boules de maïs soufflées au miel (non enrichies en vitamines et minéraux)		1670	393	1670	393	2,3	5,71	5,71	86,2	2,35	30,9	1,9	-	2	< 0,2	0,9	21,5	55,3	2,3	0	1,15	0	0	0,6	1,44	0,18	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	0,09	0,06	1,42	0,18	< 0,01	< 0,01	< 0,01	< 0,01	0,89	0,71	86	457	0,06	7	< 20	21	0,18	73	110	< 20	287	0,48	< 21	59,1	< 0,25	0,45	< 0,8	-	< 0,5	0,9	1,2	13,3	5	1,2	166	2,1
07	0707	000000	produits sucrés	céréales de petit-déjeuner	-	32130	Blé khorasan complet soufflé		1600	378	1590	375	5,13	6,68	7,32	80,5	1,96	-	< 0,2	-	0,2	< 0,2	0,7	22,5	-	4,4	0	1,37	0	0	0,52	0,55	0,51	-	-	-	-	-	-	0,32	0,2	0,54	0,48	0,024	-	-	-	-	0,027	-	-	-	-	-	-	-	-	-	-	10,8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
07	0707	000000	produits sucrés	céréales de petit-déjeuner	-	32131	Riz soufflé chocolaté, enrichi en vitamines et minéraux		1650	390	1650	390	2,68	6,22	6,22	83,2	2,82	29,7	0,36	-	0,23	< 0,2	3,17	25,9	50	3,19	0	1,85	0	0	1,5	1,07	0,2	0	0	0	-	0	0,0097	0,74	0,75	1,06	0,19	0,007	-	0	0	0	0,75	456	478	0,27	7,35	2	53,1	0,7	123	323	-	295	0,9	-	0	< 0,5	0,12	0,8	-	0	1	1,24	14	5,12	1,33	171	1,85
07	0707	000000	produits sucrés	céréales de petit-déjeuner	-	32133	Boules de maïs soufflées au miel, enrichies en vitamines et minéraux		1630	384	1630	384	3	5,5	5,5	85,3	1,8	27	1,91	< 0,1	2,03	< 0,1	2,19	20,8	58,3	2,1	0	2,26	0	0,013	0,35	0,56	0,77	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	0,3	0,05	0,55	0,75	0,02	< 0,01	< 0,01	< 0,01	0	0,84	291	-	-	7,18	3	10	-	180	70	-	335	0,4	-	-	1,7	10	-	-	68	1	1,26	14,2	5,28	1,33	173	1,92
07	0707	000000	produits sucrés	céréales de petit-déjeuner	-	32134	Céréales complètes soufflées, enrichies en vitamines et minéraux		1630	385	1620	383	-	7,42	7,95	76,8	3,85	32	-	-	-	-	-	27,1	44,8	5,65	0	1,32	0	0	0,85	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,95	362	-	-	9,95	-	-	-	-	-	-	375	-	-	-	1,7	-	-	-	51	1,05	1,3	14,3	5,1	1,45	168	1,48
07	0707	000000	produits sucrés	céréales de petit-déjeuner	-	32135	Multi-céréales soufflées ou extrudées, enrichies en vitamines et minéraux		1660	392	1660	392	3	7,39	7,39	79,4	4,27	33,3	-	-	-	-	-	33,3	46,1	3,49	0	2,5	0	0	2,01	1,53	0,55	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0,75	252	-	-	9,43	5	60	-	190	230	12	488	1	0	0	traces	0,5	-	-	51	1,13	1,28	14,2	5,1	1,6	189	0,8
07	0707	000000	produits sucrés	céréales de petit-déjeuner	-	32136	Muesli croustillant, au quinoa		-	-	-	-	3,35	9,92	10,9	71,2	10,7	-	2,4	-	4,2	< 0,2	2,7	1,9	-	3,4	-	1,44	0	0	4,09	3,65	1,65	-	0,027	0,29	0,2	1,47	0,56	0,96	0,56	3,61	1,57	0,068	-	-	-	-	0,057	-	-	-	-	-	-	-	-	-	-	22,9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
07	0707	000000	produits sucrés	céréales de petit-déjeuner	-	32138	Muesli floconneux aux fruits ou fruits secs (non enrichi en vitamines et minéraux)		1560	369	1560	369	8,8	9,5	9,5	61,7	6,9	20,6	7,9	< 0,1	8,15	< 0,1	0,56	3,98	-	11	0	1,94	0	0,2	2,12	2,92	1,48	< 0,01	< 0,01	0,12	0,07	0,54	0,23	0,96	0,18	2,84	1,4	0,08	< 0,01	< 0,01	< 0,01	-	0,1	-	-	-	-	-	-	-	240	-	-	40	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
07	0707	000000	produits sucrés	céréales de petit-déjeuner	-	32139	Muesli enrichi en vitamines et minéraux (aliment moyen)		1780	424	1780	424	5,52	6,96	6,96	67,3	12,8	27,7	3,62		3,46	1,4	0,5	15,5	38,9	5,58	0	1,74	0	0,093	5,55	4,57	2,11		0,033	0,35	0,25	1,23	0,5	2,77	0,43	4,54	2,05	0,046			0,0078	1,86	0,81	57,9	252	0,36	5,67	82,7	78,5	2,14	244	433	10,3	319	1,64	0,63	0,92	0,2	1,66			11,1	0,77	0,89	10,5	4,58	1,09	196	1,14
07	0707	000000	produits sucrés	céréales de petit-déjeuner	-	32140	Flocon d'avoine précuit		1560	370	1540	366	11	11	11,7	58	7,7	1,84	< 0,2	-	< 0,2	< 0,2	< 0,2	1,3	56,2	10,6	0	1,73	0	0	1,36	2,25	1,94	-	-	-	-	-	0,013	1,24	0,1	2,25	1,9	0,042	-	-	-	0	0,011	50	-	0,35	3,8	-	104	2,68	387	325	< 3,35	4	2,6	-	-	-	1,5	-	-	0	0,43	0,05	0,86	1,2	0,35	56	0,36
07	0707	000000	produits sucrés	céréales de petit-déjeuner	-	32141	Muesli non enrichi en vitamines et minéraux (aliment moyen)		1690	401	1690	401	6,63	9,2	9,2	60,7	11,6	21,1	6,21		6,38	0,074	1,01	7,5		9,88	1,79	1,81	0	0,1	4,29	4,97	1,96	0,005	0,015	0,24	0,14	1,12	0,46	1,98	0,33	4,84	1,89	0,07	0,005	0,005	0,005		0,22								258			86,3															
07	0708	000000	produits sucrés	barres céréalières	-	31100	Barre céréalière pour petit déjeuner au lait, chocolatée ou non, enrichie en vitamines et minéraux		1620	382	1620	382	2,7	7,06	7,06	79,5	3,2	28,1	0,64	< 0,1	1,07	0,44	1,29	24,7	38	4,5	1,5	2,82	0	0,25	1,74	0,92	0,35	0,01	< 0,01	0,02	0,02	0,23	0,13	0,79	0,52	0,89	0,33	0,02	< 0,01	< 0,01	< 0,01	-	0,54	752	-	-	9,65	7	30	-	150	320	-	217	0,97	0	0	0	-	-	-	-	0,99	1,11	12,4	4,2	1,4	138	0,69
