code;name;address;lat;lng
CZ 32850503 ES;MÁDHAVA;Rokycanská 174/7, Lobzy, 31200 Plzeň;49.7484306;13.4068766
CZ 32850514 ES;Minimlékárna Weber;Brnířov č. p. 12, 34506 Brnířov;49.382898;13.0468995
CZ 32870055 ES;MAKRO Plzeň;Obchodní 1129/2, Skvrňany, 30100 Plzeň;49.7286208;13.3206849
CZ 32880078 ES;Farma Lomec;Lomec u Klatov, 33901 Lomec;49.7439047;15.3381061
CZ 32880090 ES;HAXA s.r.o., třídírna vajec;Otín č. p. 22, 33901 Klatovy;49.3630871;15.9067208
CZ 32880102 ES;ČESKÁ VEJCE FARMS, s.r.o., třídírna Vejprnice;Tyršova 682, 33027 Vejprnice;49.0846621;14.7172926
CZ 32880124 ES;Chov a třídírna vajec;Bezděkov u Klatov parc. č. st. 353, 33901 Bezděkov;49.7439047;15.3381061
CZ 32880135 ES;Farma pro chov nosnic Brod nad Tichou;Brod nad Tichou č. p. 105, 34815 Brod nad Tichou;49.7439047;15.3381061
CZ 32880146 ES;AB Bor Plus, s.r.o., třídírna vajec;Čečkovice č. p. 42, 34802 Bor;49.7832556;15.6618945
CZ 32880157 ES;Farma pro chov nosnic Myslív u Všerub;Myslív u Všerub, 34401 Všeruby;49.7439047;15.3381061
CZ 32910094 ES;Maso Vojenice s.r.o.;Vojenice, 33808 Zbiroh;50.2174404;16.1302816
CZ 32910106 ES;ZOD Mrákov;Mrákov č. p. 21, 34501 Mrákov;49.4078538;12.957345
CZ 32910117 ES;MASO WEST s.r.o.,  Jatka Dehtín;Klatovy 1, Dehtín 3, 33901 Klatovy 1;49.3965118;13.2891091
CZ 32910195 ES;Václav Vacík;Roupov č. p. 28, 33453 Roupov;49.5385414;13.248321
CZ 32910207 ES;FARMA LOUŽNÁ s.r.o.;Loužná č. p. 51, 34101 Myslív;49.3945305;13.5687215
CZ 32910229 ES;Porážka FADIS OSIVA;Domažlická 36, Velké Předměstí, 34601 Horšovský Týn;49.5205834;12.9471368
CZ 32910230 ES;Faremní porážka Hyršov 2;Hyršov č. p. 2, 34506 Všeruby;49.3320731;13.0256168
CZ 32910252 ES;Jatky BioEko farm;Velký Bor u Horažďovic, 34101 Velký Bor;49.7439047;15.3381061
CZ 32910263 ES;Jatky Chodská Lhota;farma Chodská Lhota;49.7439047;15.3381061
CZ 32910274 ES;Faremní miniporážka - Jatky Pazdera;Na Můstku 222, 33561 Spálené Poříčí;49.6115505;13.6049256
CZ 32910285 ES;strejc maso s.r.o.;Hřbitovní 1246, 33023 Nýřany;50.5193818;13.6531722
CZ 32910296 ES;Porážka s malou kapacitou fa. RUDOLTICE;Rudoltice u Černíkova, 34506 Černíkov;49.7439047;15.3381061
CZ 32910308 ES;Porážka Ledce;Ledce u Plzně parc. č. st. 232, 33014 Ledce;49.7439047;15.3381061
CZ 32910319 ES;Jatka AB Bor;Čečkovice č. p. 42, 34802 Bor;49.7832556;15.6618945
CZ 32910320 ES;Hovězí porážka Skočice u Přeštic;Skočice st. p. 163, 33401 Přeštice;49.5615527;13.2987582
CZ 32920163 ES;Jaroslav Kesner;Terešov č. p. 5, 33808 Terešov;49.243614;17.0155485
CZ 32920174 ES;Jaromír Šnajdr;Volduchy č. p. 63, 33822 Volduchy;49.7757799;13.6198127
CZ 32920231 ES;Jiří Zelený, Farma Drouhavec;Drouhavec č. p. 3, 34142 Velhartice;49.26625;13.427068
CZ 32920242 ES;ALFA - grilované kachny;Nádražní 53, Staňkov II, 34561 Staňkov;50.0450328;15.7432609
CZ 32920253 ES;Maso Kašperk;Náměstí 2, 34192 Kašperské Hory;49.3783925;13.9366107
CZ 32920264 ES;Bourárna Sedlečko;Sedlečko č. p. 66, 34101 Nalžovské Hory;49.6912767;14.5277196
CZ 32920275 ES;EKO FARMA Uher spol. s r.o.;Rybník č. p. 8, 34525 Rybník;49.89128;16.4735838
CZ 32920286 ES;Ekofarma Bezpravovice;Podskalí 92, 33901 Chudenice;49.2659721;14.0023171
CZ 32920297 ES;Faremní bourárna masa LZ dehtín (časově oddělený režim);Dehtín č. p. 3, 33901 Klatovy;49.4473909;13.2838556
CZ 32920309 ES;Faremní porcovna kuřat LZ KLATOVY (časové oddělení);Maxima Gorkého 682, Klatovy II, 33901 Klatovy;49.4013979;13.303454
CZ 32920321 ES;čerstvé maso - bourárna;Hadrava č. p. 1, 34022 Chudenín;49.3110473;13.1247524
CZ 32930502 ES;MAJER - ŘEZNICTVÍ A UZENÁŘSTVÍ s.r.o.;Sídliště 996, 33011 Třemošná;49.8160938;13.3952588
