Käitleja identifikaator	Tegevuskoha identifikaator	Tunnusnumber	Tunnustatud	Käitleja registri- või isikukood	Käitleja aadress	Käitleja nimi	Tegevuskoha nimi	Põhikäitlemisvaldkond	Tegevuskoha maakond	Tegevuskoha aadress	lat	lng
65992	65993	11030	true	10813039	Rapla maakond, Rapla vald, Rapla linn, Viljandi mnt 15	OSAÜHING MEIE PUBI	Meie Pubi	Toitlustamine	Raplamaa	Viljandi mnt 15, Rapla, Rapla vald, Raplamaa, 79511	59.0040663	24.7976968
70441	70442	11031	true	80316390	Rapla maakond, Kohila vald, Hageri alevik, Kohila tee 4	HAGERI HOOLDEKODU MTÜ	Hageri Hooldekodu	Toitlustamine	Raplamaa	Kohila tee 4, Hageri alevik, Kohila vald, Raplamaa, 79701	59.1591425	24.6516998
64882	64889	11032	true	10359831	Rapla maakond, Rapla vald, Rapla linn, Hariduse tn 3	RAPLA TARBIJATE ÜHISTU	Kehtna A ja O	Jaemüük	Raplamaa	Lasteaia 12, Kehtna alevik, Kehtna vald, Raplamaa, 79001	58.9259417	24.8717921
71582	71621	11033	true	10072791	Harju maakond, Jõelähtme vald, Kostivere alevik, Mõisa tee 3	RRLEKTUS AKTSIASELTS	Alu pood	Jaemüük	Raplamaa	Rapla tee 3, Alu alevik, Rapla vald, Raplamaa, 79601	59.0205108	24.7728459
70532	70533	11035	true	90005521	Rapla maakond, Kehtna vald, Kalbu küla, Hooldekodu	MITTETULUNDUSÜHING ELUPUU	Eidapere Õpilaskodu	Toitlustamine	Raplamaa	Kooli 3, Eidapere alevik, Kehtna vald, Raplamaa, 79003	58.7587	24.9476001
67391	67433	11037	true	11391363	Harju maakond, Tallinn, Kesklinna linnaosa, Hõbeda tn 6	BALTIC RESTAURANTS ESTONIA AS	Rapla Vesiroosi Kool	Toitlustamine	Raplamaa	Viljandi mnt 69, Rapla, Rapla vald, Raplamaa, 79514	58.997339	24.8138134
117190	50695	11043	true	77000447	Rapla maakond, Märjamaa vald, Märjamaa alev, Tehnika tn 11	MÄRJAMAA VALLAVALITSUS	Sipa-Laukna Lasteaed Sipa Kurepesa rühm	Toitlustamine	Raplamaa	Sipa mõis, Sipa küla, Märjamaa vald, Raplamaa, 78102	58.9133	24.2971
50499	50500	11045	true	75018851	Rapla maakond, Kohila vald, Kohila alev, Vabaduse tn 1	KOHILA VALLAVALITSUS	Kohila Gümnaasium	Toitlustamine	Raplamaa	Kooli 1, Kohila alev, Kohila vald, Raplamaa, 79805	59.1679857	24.7554898
65502	65503	11048	true	10594167	Rapla maakond, Märjamaa vald, Purga küla, Pihlamarja	FÜÜSILISEST ISIKUST ETTEVÕTJA ÜLLE EESALU	OÜ Wellspa Varbola söökla	Toitlustamine	Raplamaa	Varbola küla, Märjamaa vald, Raplamaa, 78203	59.0466598	24.4544065
63581	63584	11049	true	10055947	Rapla maakond, Märjamaa vald, Märjamaa alev, Oru tn 1	MÄRJAMAA TARBIJATE ÜHISTU	Märjamaa kauplus EDU	Jaemüük	Raplamaa	Oru 1, Märjamaa alev, Märjamaa vald, Raplamaa, 78301	58.9047761	24.4298385
