Käitleja identifikaator	Tegevuskoha identifikaator	Tunnusnumber	Tunnustatud	Käitleja registri- või isikukood	Käitleja aadress	Käitleja nimi	Tegevuskoha nimi	Põhikäitlemisvaldkond	Tegevuskoha maakond	Tegevuskoha aadress	lat	lng
72493	72495	01/08	true	10091802	Harju maakond, Kuusalu vald, Allika küla, Hinnu seafarm	OSAÜHING HINNU SEAFARM	OÜ Hinnu Seafarm tapapunkt	Liha käitlemine	Harjumaa	Hinnu seafarm, Allika küla, Kuusalu vald, Harjumaa, 74637	59.4630068	25.4250127
63168	63169	01/15	true	10068813	Harju maakond, Anija vald, Alavere küla, Vorstimäe	OSAÜHING A-VORST	OÜ A-Vorst	Liha käitlemine	Harjumaa	Vorstimäe, Alavere küla, Anija vald, Harjumaa, 74401	57.6530578	27.0948009
74393	74395	01/22	true	11368861	Harju maakond, Kose vald, Triigi küla	OÜ TRIIGI SEAKASVATUS	OÜ Triigi Seakasvatus tapamaja	Liha käitlemine	Harjumaa	Triigi, Triigi küla, Kose vald, Harjumaa, 75019	59.0879175	25.2488258
62445	96253	01/M02	true	12544828	Harju maakond, Jõelähtme vald, Loo alevik, Saha tee 18	DAVA FOODS ESTONIA AS	DAVA FOODS ESTONIA	Munade käitlemine	Harjumaa	Saha tee 18, Loo alevik, Jõelähtme vald, Harjumaa, 74201	59.4313232	24.9521599
71991	71993	02/02	true	10346834	Hiiu maakond, Hiiumaa vald, Kärdla linn, Vabaduse tn 4a	OÜ HIIUMAA MEREAGENTUUR	Lihalõikus	Liha käitlemine	Hiiumaa	Vabaduse 4a, Kärdla linn, Hiiumaa vald, Hiiumaa, 92411	59.0029621	22.7455372
75053	75065	03/10	true	10186520	Ida-Viru maakond, Lüganuse vald, Varja küla, Sigvari	OSAÜHING SIGWAR	OÜ Sigwar Varja tootmistsehh	Liha käitlemine	Ida-Virumaa	Sigvari, Varja küla, Lüganuse vald, Ida-Virumaa, 43309	59.407019	27.1084715
75053	75064	03/13	true	10186520	Ida-Viru maakond, Lüganuse vald, Varja küla, Sigvari	OSAÜHING SIGWAR	OÜ Sigwar Maidla tootmistsehh	Liha käitlemine	Ida-Virumaa	Vorstitsehhi, Maidla küla, Lüganuse vald, Ida-Virumaa, 42319	59.33296	27.0182643
74374	74375	03/14	true	10177969	Ida-Viru maakond, Narva-Jõesuu linn, Sinimäe alevik, Uus tn 4-15	RAISSA PAVLOVA	FIE Raissa Pavlova	Liha käitlemine	Ida-Virumaa	Karja tn 19, Sinimäe alevik, Narva-Jõesuu linn, Ida-Viru maakond, 40101	59.3735396	27.8838504
63198	63199	03/29	true	10956797	Ida-Viru maakond, Sillamäe linn, Mere pst 4	OÜ SPAROHANSA	OÜ Sparohansa	Liha käitlemine	Ida-Virumaa	Mere pst 4, Sillamäe linn, Ida-Virumaa, 40231	59.3975983	27.7645414
74108	74110	04/05	true	10736363	Jõgeva maakond, Jõgeva vald, Kurista küla	RANNE JÄME PÕLDARI TALU	Põldari talu väiketapamaja	Liha käitlemine	Jõgevamaa	Põldari, Kurista küla, Jõgeva vald, Jõgevamaa, 48413	58.7363261	26.3272468
73999	74000	04/15	true	10605721	Jõgeva maakond, Põltsamaa vald, Kaliküla, Paju	PAJU SIGALA OÜ	Paju sigala OÜ	Liha käitlemine	Jõgevamaa	Pauastvere küla, Põltsamaa vald, Jõgevamaa, 48017	58.6829484	26.0212639
74925	74928	04/17	true	10883839	Jõgeva maakond, Põltsamaa vald, Põltsamaa linn, Kingu tn 2	OÜ VECORDIA PÕLTSAMAA VORSTITÖÖSTUS	OÜ Vecordia Põltsamaa Vorstitööstus	Liha käitlemine	Jõgevamaa	Kingu 2, Põltsamaa linn, Põltsamaa vald, Jõgevamaa, 48105	58.6507592	25.9846452
72377	72378	04/21	true	10039687	Jõgeva maakond, Jõgeva vald, Torma alevik, Kesk tn 6	TORMA PÕLLUMAJANDUSOSAÜHING	Torma POÜ	Liha käitlemine	Jõgevamaa	Liivi, Torma alevik, Jõgeva vald, Jõgevamaa, 48502	58.8192448	26.7140309
63202	63203	05/10	true	10980198	Järva maakond, Paide linn, Korba küla, Looduse	OSAÜHING FIJOM PLUSS	Müüsleri väiketapamaja	Liha käitlemine	Järvamaa	Tapamaja, Müüsleri küla, Järva vald, Järvamaa, 73105	58.9221136	25.8814172
74717	77058	06/02	true	10112177	Lääne maakond, Lääne-Nigula vald, Uugla küla, Linpeti	AKTSIASELTS LINNAMÄE LIHATÖÖSTUS	Aktsiaselts Linnamäe Lihatööstus	Liha käitlemine	Läänemaa	Linpeti, Uugla küla, Lääne-Nigula vald, Läänemaa, 91013	58.999555	23.7459179
73450	73451	06/10	true	10035809	Lääne maakond, Lääne-Nigula vald, Martna küla	OSAÜHING FAZENDA	OÜ Fazenda	Liha käitlemine	Läänemaa	Fazenda, Martna küla, Lääne-Nigula vald, Läänemaa, 90601	58.8579394	23.8124877
73204	73206	07/03	true	10186336	Lääne-Viru maakond, Vinni vald, Lepiku küla, Tarmo	OSAÜHING ELMI	OÜ Elmi	Liha käitlemine	Lääne-Virumaa	Tarmo, Lepiku küla, Vinni vald, Lääne-Virumaa, 46627	59.1705139	26.6306969
75916	75920	07/04	true	10631339	Lääne-Viru maakond, Rakvere vald, Tobia küla, Keskuse	AKTSIASELTS OG ELEKTRA TOOTMINE	AS OG Elektra Tootmine suitsutustsehh	Liha käitlemine	Lääne-Virumaa	Keskuse, Tobia küla, Rakvere vald, Lääne-Virumaa, 44416	59.3341796	26.316469
72176	72181	07/11	true	10317169	Lääne-Viru maakond, Rakvere linn, Ööbiku tn 4	OSAÜHING MARKILO	Vajangu Sigalakompleksi tapapunkt	Liha käitlemine	Lääne-Virumaa	Rammo tee 3, Vajangu küla, Tapa vald, Lääne-Virumaa, 46002	59.1080234	25.9977136
71855	71859	07/15	true	10200355	Lääne-Viru maakond, Kadrina vald, Hulja alevik, Vandu tee 8	OSAÜHING RAINERI GRUPP	OÜ Raineri Grupp	Liha käitlemine	Lääne-Virumaa	Vandu tee 8, Hulja alevik, Kadrina vald, Lääne-Virumaa, 45203	59.3508438	26.2180458
63172	63173	07/18	true	10228460	Lääne-Viru maakond, Haljala vald, Kõldu küla, Lihakarni	OSAÜHING KÕLDU LIHAKARN	OÜ Kõldu Lihakarn	Liha käitlemine	Lääne-Virumaa	Kõldu küla, Haljala vald, Lääne-Virumaa, 45312	59.4583811	26.1343678
75636	75638	07/23	true	11188863	Lääne-Viru maakond, Rakvere vald, Tobia küla, Keskuse	OSAÜHING LIHAKARN	Lihakarn OÜ	Liha käitlemine	Lääne-Virumaa	Tobia küla, Rakvere vald, Lääne-Virumaa, 44416	59.3455032	26.3126946
63196	63197	07/25	true	10895587	Lääne-Viru maakond, Kadrina vald, Kadrina alevik, Koidu tn 21	OSAÜHING MURUMÄGI	sigala "Malle" tapamaja	Liha käitlemine	Lääne-Virumaa	Rakvere tee, Hulja alevik, Kadrina vald, Lääne-Virumaa, 45203	59.354155	26.2140209
75916	75919	07/26	true	10631339	Lääne-Viru maakond, Rakvere vald, Tobia küla, Keskuse	AKTSIASELTS OG ELEKTRA TOOTMINE	OG Elektra Tootmine külmhoone	Hulgimüük	Lääne-Virumaa	Vahtra, Tobia küla, Rakvere vald, Lääne-Virumaa, 44416	59.3341796	26.316469
75625	75631	08/03	true	10080997	Võru maakond, Võru vald, Parksepa alevik, Kesk tn 7	ARKE LIHATÖÖSTUS AS	Arke Lihatööstus AS	Liha käitlemine	Põlvamaa	Tööstuse 10, Põlgaste küla, Kanepi vald, Põlvamaa, 63212	57.976595	26.8954738
63192	63193	09/04	true	10742903	Pärnu maakond, Põhja-Pärnumaa vald, Libatse küla	MARGUS KERA	Salu tapamaja	Liha käitlemine	Pärnumaa	Salu küla, Põhja-Pärnumaa vald, Pärnumaa, 87234	58.6716001	24.5736079
72158	72162	1.1-18/559	true	10097532	Harju maakond, Rae vald, Rae küla, Raeküla tee 5	AS SMARTEN LOGISTICS	Smarten Logistics 4	Hulgimüük	Tartumaa	Tartu maakond, Tartu linn, Tartu linn, Ravila tn 51, 51014	58.3827406	26.6842661
63206	63207	10/02	true	11248594	Rapla maakond, Kehtna vald, Kehtna alevik, Pargi tn 6	OSAÜHING KEHTNA LIHATÖÖSTUS	OÜ Kehtna Lihatööstus	Liha käitlemine	Raplamaa	Pargi 6, Kehtna alevik, Kehtna vald, Raplamaa, 79001	58.9204134	24.8723486
63204	63205	10/05	true	11024989	Rapla maakond, Märjamaa vald, Orgita küla, Taali	OSAÜHING MÄRJAMAA LIHATÖÖSTUS	OÜ Märjamaa Lihatööstus	Liha käitlemine	Raplamaa	Orgita küla, Märjamaa vald, Raplamaa, 78313	58.9212352	24.4547276
63180	63181	10/11	true	10449824	Harju maakond, Tallinn, Nõmme linnaosa, Olevi tn 28	OSAÜHING LEPIKU LIHATÖÖSTUS	OÜ Lepiku Lihatööstus	Liha käitlemine	Raplamaa	Oese küla, Märjamaa vald, Raplamaa, 78023	58.7607564	24.2961018
71433	71442	10001	true	10054238	Lääne-Viru maakond, Rakvere vald, Tobia küla, Keskuse	AKTSIASELTS OG ELEKTRA	Grossi Toidukaubad Iisaku	Jaemüük	Ida-Virumaa	Tartu mnt 55, Iisaku alevik, Alutaguse vald, Ida-Viru maakond, 41101	59.0950485	27.3145046
74166	74168	10002	true	12095968	Ida-Viru maakond, Narva linn, Kalda tn 6-23	REGINA AFANASIEVA	Kauplus AÜ Berjozka	Jaemüük	Ida-Virumaa	AÜ Berjozka üldmaa, Narva, Ida-Virumaa, 40103	59.3819	28.0832999
66255	66257	10004	true	10911168	Ida-Viru maakond, Kohtla-Järve linn, Ahtme linnaosa, Estonia pst 30a	OSAÜHING ETHEL MERMAN	OÜ Ethel Merman	Toitlustamine	Ida-Virumaa	tervise 10/12, Sillamäe, 40233	59.3888919	27.7439859
64774	64776	10006	true	10338355	Ida-Viru maakond, Narva linn, Energia tn 7	OSAÜHING KWARTONS	Kauplus-kohvik Maius	Jaemüük	Ida-Virumaa	Kangelaste prospekt 29, Narva, Ida-Virumaa, 20607	59.3864948	28.1771884
49977	49978	10007	true	75009148	Ida-Viru maakond, Narva linn, Linda tn 4	NARVA LINNA SOTSIAALABIAMET	Narva Sotsiaaltöökeskuse Hooldekodu toidujagamiskoht	Toitlustamine	Ida-Virumaa	Rahu põik 10, Narva, Ida-Virumaa, 20604	59.3905475	28.1768389
65679	65680	10008	true	10664830	Tartu maakond, Nõo vald, Nõgiaru küla	OÜ SALTUS	Alujoa Puhkekeskuse köök	Toitlustamine	Ida-Virumaa	Alujoa, Pühajõe küla, Toila vald, Ida-Virumaa, 41716	59.4037162	27.5329569
65657	65658	10010	true	10661300	Ida-Viru maakond, Kohtla-Järve linn, Järve linnaosa, Ravi tn 3-3	OSAÜHING MAX SERVIC	Vanameistri Pubi	Toitlustamine	Ida-Virumaa	Rahu 15a, Jõhvi, Jõhvi vald, Ida-Virumaa, 41533	59.361631	27.4007096
75053	75057	10014	true	10186520	Ida-Viru maakond, Lüganuse vald, Varja küla, Sigvari	OSAÜHING SIGWAR	OÜ Sigwar	Jaemüük	Ida-Virumaa	Viru pst 35, Sillamäe, Ida-Virumaa, 40233	59.3909626	27.7907298
69784	69785	10018	true	12377603	Ida-Viru maakond, Jõhvi vald, Jõhvi linn, Narva mnt 26-7	HELGI KÄER	Kohvik "Fortuna"	Toitlustamine	Ida-Virumaa	Narva mnt 12, Jõhvi, Jõhvi vald, Ida-Virumaa, 41536	59.3578082	27.4193824
74934	74935	1002	true	10155318	Saare maakond, Saaremaa vald, Kuressaare linn, Tehnika tn 12	OSAÜHING LEMMIK KAUBANDUSE	Lemmik Kaubanduse	Hulgimüük	Saaremaa	Tehnika tn 12, Saaremaa vald, Kuressaare linn, Saare maakond, 93815	58.2652188	22.4944572
69648	69649	10025	true	12309990	Ida-Viru maakond, Kohtla-Järve linn, Järve linnaosa, Olevi tn 32-36	ARTUR BABAJAN	FIE Artur Babajan	Jaemüük	Ida-Virumaa	Uus 3b, Järve, Kohtla-järve, Ida-Virumaa, 30322	59.400948	27.2926296
69306	69307	10027	true	12175555	Jõgeva maakond, Mustvee vald, Avinurme alevik, Võidu tn 6	MAAMAITSE OÜ	Kodune kohvik	Toitlustamine	Jõgevamaa	Võidu 6, Avinurme alevik, Mustvee vald, Jõgevamaa, 42101	58.9849147	26.8653727
75703	75711	10031	true	10061617	Ida-Viru maakond, Narva linn, A. Puškini tn 9-6	AKTSIASELTS DGM SHIPPING	AS DGM Shipping	Jaemüük	Ida-Virumaa	Tallinna mnt 12a, Narva, Ida-Virumaa, 20304	59.3778352	28.1861911
69858	69859	10032	true	12406026	Ida-Viru maakond, Lüganuse vald, Kiviõli linn, Mäepealse tee 1	EXTREME CATERING OÜ	Kiviõli Seikluskeskus	Toitlustamine	Ida-Virumaa	Mäepealse tee 1, Kiviõli linn, Lüganuse vald, Ida-Viru maakond, 43125	59.3661816	26.9530678
67894	67895	10034	true	11597946	Ida-Viru maakond, Lüganuse vald, Koljala küla, Mäealuse	OÜ VALDUS	Tuhamäe Hostel	Toitlustamine	Ida-Virumaa	Mäealuse, Koljala küla, Lüganuse vald, Ida-Viru maakond, 43135	59.3608102	26.9450385
74178	74194	10035	true	10136232	Jõgeva maakond, Jõgeva vald, Jõgeva linn, Aia tn 3	JÕGEVA MAJANDUSÜHISTU	Laiuse A&O kauplus	Jaemüük	Jõgevamaa	Kuremaa tee 34, Laiuse alevik, Jõgeva vald, Jõgevamaa, 48443	58.7831902	26.4987044
117180	50740	10037	true	77000401	Jõgeva maakond, Jõgeva vald, Jõgeva linn, Suur tn 5	JÕGEVA VALLAVALITSUS	C.R. Jakobsoni nim Torma Põhikool söökla	Toitlustamine	Jõgevamaa	Kooli tee 23, Torma alevik, Jõgeva vald, Jõgevamaa, 48502	58.8192179	26.7142719
117195	49739	10038	true	77000358	Jõgeva maakond, Põltsamaa vald, Põltsamaa linn, Lossi tn 9	PÕLTSAMAA VALLAVALITSUS	Lasteaed Tõruke köök	Toitlustamine	Jõgevamaa	Lembitu 1, Põltsamaa linn, Põltsamaa vald, Jõgevamaa, 48106	58.6641583	25.9729001
65742	65743	10041	true	10695523	Jõgeva maakond, Jõgeva vald, Jõgeva linn, Roosi tn 6a	OSAÜHING JÕGEVA SOTSIAALKESKUS "ELUKAAR"	Sotsiaalkeskuse köök	Toitlustamine	Jõgevamaa	Roosi 6, Jõgeva linn, Jõgeva vald, Jõgevamaa, 48305	58.7485116	26.4017108
117180	49748	10043	true	77000401	Jõgeva maakond, Jõgeva vald, Jõgeva linn, Suur tn 5	JÕGEVA VALLAVALITSUS	Jõgeva Põhikool Piiri tn söökla	Toitlustamine	Jõgevamaa	Piiri 1, Jõgeva linn, Jõgeva vald, Jõgevamaa, 48307	58.7483964	26.385042
71525	71530	10044	true	11231760	Jõgeva maakond, Jõgeva vald, Jõgeva linn, Staadioni tn 24	JAHIMAJA OÜ	Külalistemaja baar	Toitlustamine	Jõgevamaa	Staadioni 24, Jõgeva linn, Jõgeva vald, Jõgevamaa, 48305	58.7502264	26.4060404
64014	64017	10048	true	10136344	Jõgeva maakond, Põltsamaa vald, Põltsamaa linn, Kesk tn 2	PÕLTSAMAA MAJANDUSÜHISTU	Põltsamaa Konsum	Jaemüük	Jõgevamaa	Kesk 2, Põltsamaa linn, Põltsamaa vald, Jõgevamaa, 48105	58.6536649	25.9774058
66391	66393	10050	true	10938859	Harju maakond, Tallinn, Kesklinna linnaosa, Mere pst 4	OSAÜHING MARKMARIN	Tiheda kauplus	Jaemüük	Jõgevamaa	Sõpruse 39, Tiheda küla, Mustvee vald, Jõgevamaa, 49508	58.801831	26.9541253
66175	66176	10051	true	10883058	Jõgeva maakond, Mustvee vald, Mustvee linn, Aia tn 51	DIMITRI SMOLKIN	Aia kauplus	Jaemüük	Jõgevamaa	Aia 51, Mustvee linn, Mustvee vald, Jõgevamaa, 49604	58.838813	26.9444465
71582	71626	10053	true	10072791	Harju maakond, Jõelähtme vald, Kostivere alevik, Mõisa tee 3	RRLEKTUS AKTSIASELTS	Piiri pood	Jaemüük	Jõgevamaa	Piiri 7, Jõgeva linn, Jõgeva vald, Jõgeva maakond, 48303	58.7433321	26.3874613
74178	74186	10054	true	10136232	Jõgeva maakond, Jõgeva vald, Jõgeva linn, Aia tn 3	JÕGEVA MAJANDUSÜHISTU	Saadjärve A&O kauplus	Jaemüük	Tartumaa	Tabivere alevik, Tartu vald, Tartumaa, 49127	58.5530721	26.5911817
71582	71627	10056	true	10072791	Harju maakond, Jõelähtme vald, Kostivere alevik, Mõisa tee 3	RRLEKTUS AKTSIASELTS	Rüütli kauplus	Jaemüük	Jõgevamaa	Lossi tn 11, Põltsamaa linn, Põltsamaa vald, Jõgeva maakond, 48104	58.6525651	25.9743221
74178	74187	10057	true	10136232	Jõgeva maakond, Jõgeva vald, Jõgeva linn, Aia tn 3	JÕGEVA MAJANDUSÜHISTU	Sadala A&O kauplus	Jaemüük	Jõgevamaa	Kooli 7, Sadala alevik, Jõgeva vald, Jõgevamaa, 48501	58.8623182	26.6010125
74178	74189	10058	true	10136232	Jõgeva maakond, Jõgeva vald, Jõgeva linn, Aia tn 3	JÕGEVA MAJANDUSÜHISTU	Kääpa A&O kauplus	Jaemüük	Jõgevamaa	Kaupluse, Kääpa küla, Mustvee vald, Jõgevamaa, 49323	58.702008	26.851058
74178	74188	10059	true	10136232	Jõgeva maakond, Jõgeva vald, Jõgeva linn, Aia tn 3	JÕGEVA MAJANDUSÜHISTU	Jõgeva Konsum	Jaemüük	Jõgevamaa	Aia 3, Jõgeva linn, Jõgeva vald, Jõgevamaa, 48306	58.7466542	26.3960161
51226	51228	10060	true	75003737	Jõgeva maakond, Jõgeva vald, Kuremaa alevik, Soomevere tee 8	KUREMAA UJULA	Kuremaa kohvik	Toitlustamine	Jõgevamaa	Soomevere tee 1, Kuremaa alevik, Jõgeva vald, Jõgevamaa, 48445	58.7373766	26.5384889
75019	77620	10062	true	11955110	Jõgeva maakond, Mustvee vald, Mustvee linn, Uus-Narva mnt 2	OÜ VILEANN	OÜ Vileann müügikiosk	Jaemüük	Jõgevamaa	Uus-Narva mnt 2, Mustvee linn, Mustvee vald, Jõgevamaa, 49603	58.8502515	26.9143823
74178	74182	10064	true	10136232	Jõgeva maakond, Jõgeva vald, Jõgeva linn, Aia tn 3	JÕGEVA MAJANDUSÜHISTU	Mustvee Konsum	Jaemüük	Jõgevamaa	Tartu 3, Mustvee linn, Mustvee vald, Jõgevamaa, 49604	58.848495	26.9138697
68962	68963	10065	true	12053757	Jõgeva maakond, Põltsamaa vald, Vägari küla, Kooli tee 4-13	PÕDRA POOD OÜ	Põdra Pood	Jaemüük	Jõgevamaa	Kooli tee 4-13, Vägari küla, Põltsamaa vald, Jõgevamaa, 48222	58.7313584	26.215523
72144	77492	10066	true	10019391	Jõgeva maakond, Jõgeva vald, Jõune küla, Marika	KALATALU HÄRJANURMES	Kalatalu Härjanurmes suvekohvik	Toitlustamine	Jõgevamaa	Kala, Jõune küla, Jõgeva vald, Jõgevamaa, 49004	58.6764787	26.3687234
71901	71961	10067	true	10765896	Harju maakond, Tallinn, Mustamäe linnaosa, Aiandi tn 13/2	MAXIMA EESTI OÜ	Maxima XT-235	Jaemüük	Jõgevamaa	Suur 19, Jõgeva linn, Jõgeva vald, Jõgeva maakond, 48306	58.7455561	26.3936523
66050	66051	10069	true	10834137	Jõgeva maakond, Jõgeva vald, Painküla, Metsakatsejaama vkt 4	OÜ LAANELILL	Külalistemaja köök	Toitlustamine	Jõgevamaa	Trofee, Tõrve küla, Põltsamaa vald, Jõgevamaa, 49013	58.631613	26.379675
74178	74185	10072	true	10136232	Jõgeva maakond, Jõgeva vald, Jõgeva linn, Aia tn 3	JÕGEVA MAJANDUSÜHISTU	Voore A&O kauplus	Jaemüük	Jõgevamaa	Lossi, Voore küla, Mustvee vald, Jõgevamaa, 49324	58.7177455	26.7455188
117180	49743	10075	true	77000401	Jõgeva maakond, Jõgeva vald, Jõgeva linn, Suur tn 5	JÕGEVA VALLAVALITSUS	Palamuse Lasteaed Nukitsamees Kaarepere filiaali köök	Toitlustamine	Jõgevamaa	Kaarepere lasteaed, Kaarepere küla, Jõgeva vald, Jõgevamaa, 49201	58.657711	26.5158561
71759	71810	10076	true	10263574	Harju maakond, Rae vald, Pildiküla, Põrguvälja tee 3	RIMI EESTI FOOD AS	Põltsamaa Mini -Rimi	Jaemüük	Jõgevamaa	Tartu mnt 12, Põltsamaa linn, Põltsamaa vald, Jõgeva maakond, 48105	58.6533142	25.9823569
65853	65854	10078	true	10739278	Jõgeva maakond, Põltsamaa vald, Põltsamaa linn, Õuna tn 3-15	OSAÜHING WINDMAKER	Saduküla kauplus	Jaemüük	Jõgevamaa	Mõisavahe tee 16, Saduküla, Jõgeva vald, Jõgevamaa, 49011	58.6739055	26.2900244
74178	74183	10082	true	10136232	Jõgeva maakond, Jõgeva vald, Jõgeva linn, Aia tn 3	JÕGEVA MAJANDUSÜHISTU	Siimusti A&O kauplus	Jaemüük	Jõgevamaa	Toominga 9, Siimusti alevik, Jõgeva vald, Jõgevamaa, 48444	58.7284964	26.3373366
77879	77880	10086	true	90007371	Jõgeva maakond, Mustvee vald, Mustvee linn, Tartu tn 59	SIHTASUTUS MUSTVEE TERVIS	Mustvee Tervisekeskuse köök	Toitlustamine	Jõgevamaa	Tartu 59, Mustvee linn, Mustvee vald, Jõgevamaa, 49603	58.8483522	26.9301192
70429	70430	10087	true	80292488	Jõgeva maakond, Mustvee vald, Kääpa küla, Hoole	MITTETULUNDUSÜHING KÄÄPA HOOLDEKESKUS	Hooldekeskuse köök	Toitlustamine	Jõgevamaa	Hoole, Kääpa küla, Mustvee vald, Jõgevamaa, 49323	58.6985371	26.8464004
49718	49719	10088	true	75002086	Tartu maakond, Tartu vald, Tabivere alevik, Tuuliku tn 11	TABIVERE SOTSIAALKESKUS	Tabivere Sotsiaalkeskuse köök	Toitlustamine	Tartumaa	Tabivere alevik, Tartu vald, Tartumaa, 49127	58.5530721	26.5911817
76073	76075	10089	true	10626350	Jõgeva maakond, Mustvee vald, Tiheda küla, Kastani tn 9	OÜ PEIPSI KALATÖÖSTUS	Kuldkala 1 kauplus-baar	Jaemüük	Jõgevamaa	Kullavere, Nõmme küla, Mustvee vald, Jõgevamaa, 49506	58.7898118	26.920715
74178	74184	10093	true	10136232	Jõgeva maakond, Jõgeva vald, Jõgeva linn, Aia tn 3	JÕGEVA MAJANDUSÜHISTU	Kosmos restoran	Toitlustamine	Jõgevamaa	Suur 14, Jõgeva linn, Jõgeva vald, Jõgevamaa, 48306	58.7462166	26.3958001
64014	64015	10096	true	10136344	Jõgeva maakond, Põltsamaa vald, Põltsamaa linn, Kesk tn 2	PÕLTSAMAA MAJANDUSÜHISTU	Adavere A&O kauplus	Jaemüük	Jõgevamaa	Tallinna mnt 6, Adavere alevik, Põltsamaa vald, Jõgevamaa, 48001	58.7059373	25.8996412
64014	64016	10097	true	10136344	Jõgeva maakond, Põltsamaa vald, Põltsamaa linn, Kesk tn 2	PÕLTSAMAA MAJANDUSÜHISTU	Tarve kauplus	Jaemüük	Jõgevamaa	Tallinna mnt 1, Puurmani alevik, Põltsamaa vald, Jõgevamaa, 49014	58.5763014	26.2887782
75049	75051	10098	true	12044681	Jõgeva maakond, Põltsamaa vald, Kaliküla, Paju	PAJU POED OÜ	Puhu Pood	Jaemüük	Jõgevamaa	Jõgeva maakond, Põltsamaa vald, Põltsamaa linn, Jõgeva mnt 27, 48105	58.6635926	25.9906909
67128	67129	10099	true	11264831	Jõgeva maakond, Põltsamaa vald, Põltsamaa linn, Ringtee tn 1	PUHU RISTI SÖÖGIMAJA OÜ	Söögimaja	Toitlustamine	Jõgevamaa	Jõgeva mnt 27, Põltsamaa linn, Põltsamaa vald, Jõgeva maakond, 48105	58.6635926	25.9906909
74475	76930	10101	true	11754794	Jõgeva maakond, Jõgeva vald, Sadala alevik, Kesk tn 8-4	MARE VAARMETS	Pagaritsehh	Mitteloomse toidu ja liittoidu käitlemine	Jõgevamaa	Suur 10, Sadala alevik, Jõgeva vald, Jõgevamaa, 48501	58.8617235	26.6055204
71353	71354	10102	true	10320823	Jõgeva maakond, Põltsamaa vald, Põltsamaa linn, Pajusi mnt 12	OSAÜHING BUENO	Heleni Külalistemaja	Toitlustamine	Jõgevamaa	Pajusi mnt 12, Põltsamaa linn, Põltsamaa vald, Jõgevamaa, 48106	58.6619015	25.9702962
65418	65419	10105	true	10564011	Põltsamaa linn, Jõgeva maakond, Kesk 4a, 48105	OSAÜHING IGAMEHE PUBI	Hullava Naise Pubi	Toitlustamine	Jõgevamaa	Kesk 4, Põltsamaa linn, Põltsamaa vald, Jõgeva maakond, 48105	58.6544249	25.9780654
74863	74865	10110	true	10163051	Jõgeva maakond, Jõgeva vald, Siimusti alevik, Torni tn 4	OSAÜHING PANTHER TEEMAJA	Cafe Panther	Toitlustamine	Jõgevamaa	Aia 1, Jõgeva linn, Jõgeva vald, Jõgevamaa, 48306	58.7468359	26.3979938
64020	64021	10115	true	10136829	Jõgeva maakond, Jõgeva vald, Jõgeva linn, B. Alveri tn 6	EKSAR-TRANSOIL AS	Masti tankla	Jaemüük	Jõgevamaa	Eksari, Õuna küla, Jõgeva vald, Jõgevamaa, 48439	58.7493935	26.3512421
72267	72269	10117	true	10180925	Harju maakond, Tallinn, Kristiine linnaosa, A. H. Tammsaare tee 47	CIRCLE K EESTI AKTSIASELTS	Mustvee Teenidusjaam	Jaemüük	Jõgevamaa	Uus-Narva mnt 5, Mustvee linn, Mustvee vald, Jõgeva maakond, 49603	58.8506703	26.9127586
64066	64067	10118	true	10150002	Jõgeva maakond, Põltsamaa vald, Põltsamaa linn, Veski tn 1	OSAÜHING NIELLO	Rivaal kohvik	Toitlustamine	Jõgevamaa	Veski 1, Põltsamaa linn, Põltsamaa vald, Jõgevamaa, 48106	58.6544422	25.9739574
74178	74181	10120	true	10136232	Jõgeva maakond, Jõgeva vald, Jõgeva linn, Aia tn 3	JÕGEVA MAJANDUSÜHISTU	Kuremaa A&O kauplus	Jaemüük	Jõgevamaa	Keskasula 7, Kuremaa alevik, Jõgeva vald, Jõgevamaa, 48445	58.7342528	26.5395762
74178	74180	10121	true	10136232	Jõgeva maakond, Jõgeva vald, Jõgeva linn, Aia tn 3	JÕGEVA MAJANDUSÜHISTU	Mõisa A&O kauplus	Jaemüük	Jõgevamaa	Poe 3, Jõgeva alevik, Jõgeva vald, Jõgevamaa, 48309	58.7627404	26.3988141
66985	77437	10126	true	11204065	Jõgeva maakond, Mustvee vald, Kükita küla, Pioneeri tn 9	SITIKA OÜ	Toidukauplus	Jaemüük	Jõgevamaa	Pioneeri 9, Kükita küla, Mustvee vald, Jõgevamaa, 49504	58.8098759	26.9460434
71901	71907	10130	true	10765896	Harju maakond, Tallinn, Mustamäe linnaosa, Aiandi tn 13/2	MAXIMA EESTI OÜ	Maxima XT-231	Jaemüük	Jõgevamaa	Kesk 6, Põltsamaa, Jõgevamaa, 48105	58.6537432	25.9790498
71759	71806	10131	true	10263574	Harju maakond, Rae vald, Pildiküla, Põrguvälja tee 3	RIMI EESTI FOOD AS	Jõgeva Mini Rimi	Jaemüük	Jõgevamaa	Põik 1, Jõgeva linn, Jõgeva vald, Jõgeva maakond, 48306	58.7461643	26.3942089
74366	76924	10132	true	11137647	Jõgeva maakond, Mustvee vald, Mustvee linn, Pihlaka tn 3	GRANIMA GRUPP OÜ	Granima Grupp OÜ	Jaemüük	Jõgevamaa	Tartu tn, Mustvee linn, Mustvee vald, Jõgevamaa, 49604	58.8476022	26.9434509
