 Section 	 Section Descr. FR	No agrément	Dénomination	street_address	city	 Catégorie 	Activité associée 	 Espèce	 Remarques 	Adresse	slugadresse	lat	lng
0	Etablissements activité générale	KF100784	CLAUS A&ML	Assesteenweg  105 	1750 Lennik	CS	CP			Assesteenweg  105  ,1750 Lennik	Assesteenweg  105  , 1750 Lennik , Belgium	50,8415228	4,1471982
0	Etablissements activité générale	KF100785	CAMAL	Rue Légipont  12 	4671 Blégny	CS				Rue Légipont  12  ,4671 Blégny	Rue Légipont  12  , 4671 Blégny , Belgium	50,668714	5,68638
0	Etablissements activité générale	KF100807	Zellik - Stapelplaats Fresh	Broekooi  Z.4 b 130	1731 Asse	CS				Broekooi  Z.4 b 130 ,1731 Asse	Broekooi  Z.4 b 130 , 1731 Asse , Belgium	50,8956606	4,2501936
0	Etablissements activité générale	KF100903	Schelkens Francis Bvba	Stuikberg  51 	1840 Londerzeel	CS	CP, SH			Stuikberg  51  ,1840 Londerzeel	Stuikberg  51  , 1840 Londerzeel , Belgium	51,0305658	4,3027663
0	Etablissements activité générale	KF100982	FOOD LOGISTICS	Hoogveld  89 	9200 Dendermonde	CS				Hoogveld  89  ,9200 Dendermonde	Hoogveld  89  , 9200 Dendermonde , Belgium	51,0252479	4,1429613
0	Etablissements activité générale	KF101	SPRL CALDERS	Rue Didi  49 	6060 Gilly	CS	CP, MM, MP			Rue Didi  49  ,6060 Gilly	Rue Didi  49  , 6060 Gilly , Belgium	50,4275402	4,4644902
0	Etablissements activité générale	KF101149	Delhaize - Stapelplaats Verse Producten	Broekooi  Z.4 b 120	1731 Asse	CS				Broekooi  Z.4 b 120 ,1731 Asse	Broekooi  Z.4 b 120 , 1731 Asse , Belgium	50,895647	4,2501345
0	Etablissements activité générale	KF101151	STEF Logistics Courcelles	Rue de Hainaut(CO)  40 	6180 Courcelles	CS				Rue de Hainaut(CO)  40  ,6180 Courcelles	Rue de Hainaut  40  , 6180 Courcelles , Belgium	50,4808168	4,3551554
0	Etablissements activité générale	KF101158	SOCARDENNE ALIMENTATION	Avenue Noël  6 b B	6670 Gouvy	CS				Avenue Noël  6 b B ,6670 Gouvy	Avenue Noël  6 b B , 6670 Gouvy , Belgium	50,1908591	5,9544114
0	Etablissements activité générale	KF101186	VAN AUDENHOVE	Rue du Compas  53 	1070 Anderlecht	CS	CP, MM			Rue du Compas  53  ,1070 Anderlecht	Rue du Compas  53  , 1070 Anderlecht , Belgium	50,844023	4,3298976
0	Etablissements activité générale	KF1012	LOCKS NV	Skaldenstraat  112 	9042 Gent	CS	CP, MP, MSM			Skaldenstraat  112  ,9042 Gent	Skaldenstraat  112  , 9042 Gent , Belgium	51,112904	3,7944966
0	Etablissements activité générale	KF101248	GOOD MEAT	Venecolaan  28 	9880 Aalter	CS	CP, MP			Venecolaan  28  ,9880 Aalter	Venecolaan  28  , 9880 Aalter , Belgium	51,1059193	3,4486315
0	Etablissements activité générale	KF101314	CARMANS E. & L.	Nijverheidspark  42 	3580 Beringen	CS	CC, PP, CP, MP, PP			Nijverheidspark  42  ,3580 Beringen	Nijverheidspark  42  , 3580 Beringen , Belgium	51,0560176	5,2196277
0	Etablissements activité générale	KF101349	A.F.B.	Daalstraat  4 	1790 Affligem	CS	CP, MP, PP			Daalstraat  4  ,1790 Affligem	Daalstraat  4  , 1790 Affligem , Belgium	50,8924682	4,0977284
0	Etablissements activité générale	KF1014	GEYSKENS-DELIKATESSEN Beringen	Terbekstraat  16 	3580 Beringen	CS	CP, MP, PP			Terbekstraat  16  ,3580 Beringen	Terbekstraat  16  , 3580 Beringen , Belgium	51,0482676	5,2146864
0	Etablissements activité générale	KF101610	DHL SUPPLY CHAIN (Belgium)	Oude Sluisweg (WIN)  32 	2880 Bornem	CS				Oude Sluisweg (WIN)  32  ,2880 Bornem	Oude Sluisweg   32  , 2880 Bornem , Belgium	51,099462	4,3195119
0	Etablissements activité générale	KF101612	MUES GEORGES & CO BVBA	Slachthuisstraat  10 	3300 Tienen	CS	CP, MM, MP			Slachthuisstraat  10  ,3300 Tienen	Slachthuisstraat  10  , 3300 Tienen , Belgium	50,8054048	4,948105
0	Etablissements activité générale	KF101656	BOVIAN BVBA	Naamsesteenweg  29 	3052 Oud-Heverlee	CS	CP, MP, PP			Naamsesteenweg  29  ,3052 Oud-Heverlee	Naamsesteenweg  29  , 3052 Oud-Heverlee , Belgium	50,8299859	4,700928
0	Etablissements activité générale	KF101764	ESRO	Industrielaan  3 	3730 Hoeselt	CS	CP, FFPP			Industrielaan  3  ,3730 Hoeselt	Industrielaan  3  , 3730 Hoeselt , Belgium	50,8580113	5,4946527
0	Etablissements activité générale	KF101796	VERMEERSCH CATERING	Paul Parmentierlaan  41 	8300 Knokke-Heist	CS				Paul Parmentierlaan  41  ,8300 Knokke-Heist	Paul Parmentierlaan  41  , 8300 Knokke-Heist , Belgium	51,3434687	3,2855722
