Approval number	Name	Place	Region	Associated Activities	Remark
RS-47-103	LEDER PRODUKT DOO	Pančevo	Južno-banatski okrug	CAT3	
RS-47-116	Leder M.G.077 d.o.o. Bogatic-Belotic	Bogatić	Mačvanski okrug	CAT3	
RS-47-001	"JP „Vojvodinašume"""	Klenak	Sremski okrug	CAT3	
RS-47-002	JP „Vojvodinašume“	Apatin	Zapadno-bački okrug	CAT3	
RS-47-003	JP „Vojvodinašume“	Subotica	Severno-bački okrug	CAT3	
RS-47-004	Vojna Ustanova “Morović”	Morović	Sremski okrug	CAT2, CAT3	
RS-47-006	JP „Vojvodinašume“	Bač	Južno-bački okrug	CAT2, CAT3	
RS-47-007	PVS ”Profivet”d.o.o.	Trešnjevac	Severno-banatski okrug	CAT3	
RS-47-008	Lovačko Udruženje „Perjanica”	Mokrin	Severno-banatski okrug	CAT2, CAT3	
RS-47-009	JP „Srbijašume“	Beograd (Novi Beograd)	Grad Beograd	CAT3	
RS-47-010	Lovačko Udruženje „Emil Talijan“	Novi Kneževac	Severno-banatski okrug	CAT3	
RS-47-011	D.O.O. „Hubertus“	Ada	Severno-banatski okrug	CAT3	
RS-47-012	Lovačko Udruženje “Novi Bečej”	Novi Bečej	Srednje-banatski okrug	CAT3	
RS-47-013	Lovačko Udruženje „Padej“	Padej	Severno-banatski okrug	CAT3	
RS-47-015	Lovačko Udruženje “Kikinda”	Kikinda	Severno-banatski okrug	CAT3	
RS-47-016	VOJVODINASUME	Dubovac	Južno-banatski okrug	CAT3	
RS-47-017	DOO „Beli Lovac“	Sremski Karlovci	Južno-bački okrug	CAT2, CAT3	
RS-47-018	Lovačko Udruženje „Senta“	Gornji Breg	Severno-banatski okrug	CAT3	
RS-47-019	Lovačko Udruženje „Srpski Krstur“	Srpski Krstur	Severno-banatski okrug	CAT3	
RS-47-020	Udruzenje lovaca „Jastreb-Sanad“	Sanad	Severno-banatski okrug	CAT3	
RS-47-021	Lovačko Društvo „Mića Popović“	Barajevo	Grad Beograd	CAT2, CAT3	
RS-47-022	Lovačko Društvo „Svetozar Berić“	Kumane	Srednje-banatski okrug	CAT2, CAT3	
RS-47-023	Lovačko Udruženje „Jedinstvo“	Elemir	Srednje-banatski okrug	CAT3	
RS-47-024	"Lovacko Udruzenje ""Nova Crnja"""	Radojevo	Srednje-banatski okrug	CAT2, CAT3	
RS-47-025	"Lovacko Udruzenje ""Panonija"""	Mol	Severno-banatski okrug	CAT2, CAT3	
RS-47-027	CAPRIOLO T.L.U. DOO BACKA TOPOLA	Backa Topola	Severno-bački okrug	CAT3	
RS-47-037	"NP ""Fruška Gora"" Lovište ""Vorovo"""	Erdevik	Sremski okrug	CAT2, CAT3	
RS-47-062	JP “Vojvodinašume“	Kać	Južno-bački okrug	CAT3	
RS-47-067	Lovačko Udruženje “Nadalj”	Nadalj	Južno-bački okrug	CAT2, CAT3	
RS-47-085	Lovačko Udruženje „Gornji Tamiš“	Sečanj	Srednje-banatski okrug	CAT3	
RS-47-096	Lovačko Udruženje „Hajduk Veljko-Petrović1896 -Negotin	Negotin	Borski okrug	CAT3	
RS-47-112	"L.U.""Becej"" Becej"	Bečej	Južno-bački okrug	CAT3	
RS-34-001	Veterinarski Zavod Subotica	Subotica	Severno-bački okrug	CAT3	
RS-34-006	"„TAS-MIX"" D.o.o."	Vrbas	Južno-bački okrug	CAT3	
RS-34-008	FARMINA PET FOODS	Inđija	Sremski okrug	CAT3	
RS-34-010	IM Topola	Bačka Topola	Severno-bački okrug	CAT3	
RS-34-014	”Premil” D.o.o.	Kovin	Južno-banatski okrug	CAT3	
RS-34-015	"""Gebi"" D.o.o."	Čantavir	Severno-bački okrug	CAT3	
RS-34-016	KOMPONENTA D.o.o.	Ćuprija	Pomoravski okrug	CAT3	
RS-34-018	FSH“JABUKA“ AD	Pančevo	Južno-banatski okrug	CAT3	
RS-34-019	Čizman S D.o.o.	Beograd (Palilula)	Grad Beograd	CAT3	
RS-43-001	UČA D.o.o.	Vranovo	Podunavski okrug	CAT2	
RS-43-002	”Dom Za Omladinu I Decu Ometenu U Razvoju”	Sremčica	Grad Beograd	CAT2	
RS-43-003	„Compost Group“	Vršac	Južno-banatski okrug	CAT2	
RS-43-004	CHAMPICOMP DOO	Pločica	Južno-banatski okrug	CAT2	
RS-47-095	DOO DOLINA GRUZE, VITKOVAC, KRALJEVO	Kraljevo	Raški okrug	CAT2, CAT3	
RS-47-105	EKOPATENT DOO VRBAS NJEGOSEVA 1	Vrbas	Južno-bački okrug	CAT2	
RS-643	SZTR DJURDJEVIC	Pećinci	Sremski okrug	PP	37, O, P
RS-949	PANONIJA TRADE DOO NOVI SAD	Novi Sad	Južno-bački okrug	PP	37, O, P
RS-562	KOTEKS VISCOFAN DOO NOVI SAD	Novi Sad	Južno-bački okrug	PP	B
RS-47-053	DAFAR DOO, ZRENJANIN	Zrenjanin	Srednje-banatski okrug	PP	B
RS-26	TAKOVO DOO	Inđija	Sremski okrug	CS, LEP, PP	
RS-643	SZTR DJURDJEVIC	Pećinci	Sremski okrug	PP	
RS-542	DNV TRANZIT DOO	Vrbas	Južno-bački okrug	PP	
RS-542	AGRO-PAPUK	Šid	Sremski okrug		
RS-542	DNV TRANZIT DOO	Vrbas	Južno-bački okrug		
RS-1	Yuhor AD	Jagodina	Pomoravski okrug	CS, PP	Aq
RS-64	CARNEX DOO VRBAS	Vrbas	Južno-bački okrug	CS, PP	Aq
RS-127	AD ''NEOPLANTA'' Novi Sad	Novi Sad	Južno-bački okrug	CS, PP	Aq
RS-6017	ANCORA NUOVA DOO	Dobanovci	Grad Beograd	CS, PP	Aq
RS-6019	Dtd Ribarstvo Doo	Bački Jarak	Južno-bački okrug	PP	Aq
RS-6021	Vasovic Doo Čačak	Čačak	Moravički okrug	CS	
RS-6022	LOVO PROMET DOO, CAMURLIJSKI PUT BB	Niš	Nišavski okrug	CS, PP	Aq
RS-6026	KRISTAL SO DOO BEOGRAD	Krnješevci	Sremski okrug	CS, PP	Aq
RS-6030	Tunalux Doo Beograd	Inđija	Sremski okrug	CS, PP	Aq
RS-6033	BARBE SEAFOOD DOO BEOGRAD	Požega	Zlatiborski okrug	CS, PP	Aq
RS-20044	Principal Duo DOO	Čačak	Moravički okrug	CS	
RS-20514	Principal Duo DOO	Sopot	Grad Beograd	CS	
RS-617	FINACOMEX DOO	Ruma	Sremski okrug	CS, PP	fl, sn
RS-859	SIM-IMEX DOO RUSKO SELO	Kikinda	Severno-banatski okrug	CS, PP	sn
RS-20830	LEDEREX DOO PIROT	Pirot	Pirotski okrug	CS, PP	fl
RS-40001	NISHA DOO	Sečanj	Srednje-banatski okrug	CS, PP	sn
RS-20830	LEDEREX DOO PIROT	Pirot	Pirotski okrug		sn, fl
RS-47-053	DAFAR DOO, ZRENJANIN	Zrenjanin	Srednje-banatski okrug	PP	B
RS-73	FRIKOM DOO Beograd	Padinska Skela	Grad Beograd	CS, PP	27
RS-77	FRONERI ADRIATIC d.o.o.	Stara Pazova	Sremski okrug	CS, PP	27, B
RS-153	AD IMLEK	Padinska Skela	Grad Beograd	CS, PP	B
RS-154	MLEKARA ŠABAC AKCIONARSKO DRUŠTVO	Šabac	Mačvanski okrug	CS, PP	B
RS-156	AD IMLEK	Subotica	Severno-bački okrug	CS, PP	B
RS-579	SOMBOLED D.o.o.	Sombor	Zapadno-bački okrug	CS, PP	B
RS-10289	MEGGLE SRBIJA	Kragujevac	Šumadijski okrug	CS, PP	B
RS-10838	ICE PLANET&CO D.o.o.	Nova Pazova	Sremski okrug	CS, PP	27, B
RS-12108	Swisslion D.o.o.	Gornji Milanovac	Moravički okrug	CS, PP	27
RS-12293	Beocapra D.o.o.	Kukujevci	Sremski okrug	PP	
RS-91	Vindija Doo	Plandište	Južno-banatski okrug	CP, SH	17, A
RS-300	PJ Klanica Zlatiborac	Čajetina	Zlatiborski okrug	CP, CS	17, A
RS-643	SZTR DJURDJEVIC	Pećinci	Sremski okrug	CP, CS	17, A
RS-676	SUPERIOR FOODS D.O.O.	Šid	Sremski okrug	CP, CS, SH	17, A
RS-1	Yuhor AD	Jagodina	Pomoravski okrug	CP, SH	14, 15, B, P
RS-59	MITROS FLEISCHWAREN DOO	Sremska Mitrovica	Sremski okrug	CP, CS, SH	14, 15, B, P
RS-64	CARNEX DOO VRBAS	Vrbas	Južno-bački okrug	CP, CS, SH	14, 15, B, P
RS-127	AD ''NEOPLANTA'' Novi Sad	Novi Sad	Južno-bački okrug	CP, SH	14, 15, B, P
RS-158	DOO PAVLOVIC CUPRIJA, SUPSKA BB	Ćuprija	Pomoravski okrug	CP, CS, SH	B
RS-204	IM TOPOLA DOO	Bačka Topola	Severno-bački okrug	CP, SH	14, 15, B, P
RS-300	PJ Klanica Zlatiborac	Čajetina	Zlatiborski okrug	CP, CS	14, 15, B, P
RS-491	Kompanija Big Bull Foods DOO	Bačinci	Sremski okrug	CP, SH	14, 15, B, P
RS-643	SZTR DJURDJEVIC	Pećinci	Sremski okrug	CP, SH	B
RS-1170	KOTEKS DOO SURCIN INDUSTRIJA MESA	Beograd (Novi Beograd)	Grad Beograd	SH	B
RS-542	AGRO-PAPUK	Šid	Sremski okrug	CP, CS, SH	14, 15, B, P
