code;name;address;lat;lng
IE DL 0041 EC;Arctic Fish (Processing Co) UC;Roshine Road, Killybegs, Donegal;54.6327892;-8.4488325
IE DL 0043 EC;Starcrest Seafoods Ltd;The Mullins, Old Laghey Road, Donegal Town, Donegal;54.92075415;-7.952385214651309
IE DL 0047 EC;Ward Seafoods Teo;Tullyillion, Burtonport, Donegal;54.9811945;-8.4225429
IE DL 0051 EC;Sliogeisc na Rossan;Traigheanna Bay, Drimlaughdrid, Lettermacaward, Donegal;54.848056;-8.316389
IE DL 0055 EC;North Cape Seafoods Ltd;Greencastle, Donegal;55.2036701;-6.981019
IE DL 0058 EC;Ocean Farm Ltd;Donegal Road, Killybegs, Donegal;54.6362345;-8.4442592
IE DL 0060 EC;Premier Fish Products (Killybegs);Stoneyhill, Killybegs, Donegal;54.6362345;-8.4442592
IE DL 0064 EC;Mulroy Bay Mussels Ltd;Drim, Cranford, Letterkenny, Donegal;55.1417591;-7.6964137
IE DL 0065 EC;North West Shellfish Ltd;Upper Carrick, Carrigart, Letterkenny, Donegal;55.176064;-7.794800906921424
IE DL 0066 EC;Tradalai Eisc Ui Hannagain Teoranta (Burtonport);Killybegs, Donegal;54.6362345;-8.4442592
IE DL 0067 EC;Atlantic Fresh Seafoods Limited;Fanaghans, Inver, Donegal;54.6473095;-8.2842746
IE DL 0072 EC;Bell's Isle Seafoods Ltd T/A Irish Oyster Harvest;Tullyearl, Donegal Town, Donegal;54.92075415;-7.952385214651309
IE DL 0073 EC;Crocknagee Oysters;Roxtown, Clonmany, Donegal;55.263012;-7.4122336
IE DL 0075 EC;Foyle Bia Mara Ltd;Seacrest, Derry Road, Moville, Donegal;55.1888784;-7.0405236
IE DL 0076 EC;McElchar International Transport Ltd;Dromdoit, Castlefinn, Co. Donegal, Donegal;54.8033847;-7.5931697
IE DN 0004 EC;Kish Fish Ltd;3 West Pier, Howth, Dublin;53.3887989;-6.0725149
IE DN 0012 EC;Dunn's Seafare Ltd;Jamestown Business Park, Finglas, Dublin;53.3981716;-6.2990497
IE DN 0015 EC;Kish Fish Co Ltd;Malahide Road Industrial Park, Coolock, Dublin 17;53.3950652;-6.2012187
IE DN 0017 EC;East Coast Inshore Fishing Co. Ltd;Unit 28, Millenium Business Park, Cappagh Road, Dublin 11;53.3897796;-6.3114147
IE DN 0022 EC;Kitestown Ltd T/A Wrights of Howth;14 West Pier, Howth, Dublin;53.38997;-6.0722816
IE DN 0023 EC;Wrights of Marino Manufacturing Ltd;1 Claremount Industrial Estate, Howth, Dublin;53.38945405;-6.114519560232189
IE DN 0025 EC;Oceanpath Ltd;Claremont Industrial Estate, West Pier, Howth, Dublin;53.3896212;-6.0722171
IE DN 0026 EC;Rockabill Seafood Ltd;Stephenstown Industrial Estate, Balbriggan, Dublin;53.6003828;-6.193073
IE DN 0029 EC;Domton Trading Ltd T/A Nicky's Plaice Ltd;Store F, West Pier, Howth, Dublin;53.3896212;-6.0722171
IE DN 0030 EC;Beshoffs of Howth;West Pier, Howth, Dublin;53.3896212;-6.0722171
IE DN 0031 EC;Select Seafoods;1A Ekland Park, Malahide Road Industrial Park, Coolock, Co. Dublin. D17 WK 72, Dublin;53.3893213;-6.200352
IE DN 0040 EC;Glenmar Shellfish Ltd;29 Millenium Business Park, Blanchardstown, Dublin 11;53.40651475;-6.286667702716778
IE DN 0042 EC;Ocean Marine Ltd;25A Monkstown Farm, Monkstown, Dublin;53.2863765;-6.1558729
IE DN 0046 EC;Rathcreedon Ltd T/A Sushi King;Unit C, Liffey Trust Centre, 117/126 Upper Sherriff Street, Dublin 1;53.40651475;-6.286667702716778
IE DN 0065 EC;Egan's Ocean Fresh;15/16 Finglas Business Park, Tolka Valley Road, Finglas, Dublin;53.3797584;-6.2886212
IE DN 0067 EC;Kiloran Seafoods Ltd T/A Doyles Premium Seafood;Old Court Lane, Dublin 24, Dublin;53.40651475;-6.286667702716778
IE DN 0068 EC;Dorans on the Pier;7-8 West Pier, Howth, Dublin;53.3896212;-6.0722171
IE DN 0073 EC;Leo Burdock Ltd;Unit 14 Cookstown Business Centre, Second Avenue, Crookstown Industrial Estate, Tallaght, Dublin;53.2878082;-6.362355
IE DN 0075 EC;M Wright & Sons Seafood Ltd;115 Grangeway, Baldoyl Industrial Estate, Dublin 13;53.40651475;-6.286667702716778
IE DN 0077 EC;Cheflink Ltd;Unit 30, Millenium Business Park, Cappagh Rd., Blanchardstown., Dublin 11;53.40651475;-6.286667702716778
IE DN 0080 EC;Wrights of Marino;37-4-B, Claremont Industrial Estate, West Pier, Howth, Dublin, D13AY28, Dublin;53.3896212;-6.0722171
IE DN 0082 EC;George's Kitchen;Units 1 & 2 Monkstown Court, Monkstown Farm, Dun Laoghaire, Dublin;53.2863765;-6.1558729
IE DN 0083 EC;Osheamar Ltd;Unit 28 Millenium Busiess Park, Blanchardstown, D11 TP95, Dublin;53.40437645;-6.342123942596606
IE GY 0004 EC;Connemara Smokehouse;Bunowen Pier, Aillebrack, Ballyconneely, Galway;53.4058049;-10.1159118
IE GY 0010 EC;Kilkerrin Salmon;Cill Chiarain, Connemara, Galway;53.53094135;-9.881188955796274
IE GY 0015 EC;Galway Bay Seafoods;New Docks, Galway City, Galway;53.1908135;-9.3270496
IE GY 0017 EC;Comharchumann Iascairi Gaillimh agus Arainn (Auction Hall);The Pier, Ros a Mhil, Galway;53.1908135;-9.3270496
IE GY 0018 EC;Breizon Teo;Ros a Mhíl, Galway;53.1908135;-9.3270496
IE GY 0019 EC;Iasc Mara Teo;Ros a Mhíl, Galway;53.1908135;-9.3270496
IE GY 0024 EC;Irish Seaspray Ltd;Tir An Fhia, Leitir Moir, Galway;53.289297;-9.6556407
IE GY 0030 EC;Fleming's Seafood;Old Coast Guard Station, Ros a Mhíl, Galway;53.1908135;-9.3270496
IE GY 0035 EC;Cleggan Seafoods;Dock Road, Cleggan, Galway;53.5564592;-10.11069
IE GY 0036 EC;Atlantic Marine Seafoods;Cleggan, Galway;53.5564592;-10.11069
IE GY 0068 EC;Michael Kelly Shellfish Ltd;Aisling, Tyrone, Kilcolgan, Galway;53.2079031;-8.8672488
IE GY 0069 EC;Gannet Fishmongers;Unit 5-6, Royal Rock, Ballybane, Galway, H91 YK82, Galway;53.2908402;-9.015527
IE GY 0073 EC;Galway Seafresh;Galway Road, Tuam, Galway;53.5147915;-8.8512875
IE GY 0076 EC;Abalone Chonamara Teo;Ros a Mhil, Galway;53.1908135;-9.3270496
