Code;Latitude;Longitude;Bew.-Nr.;Bur Number;Firmenname;Company Street;full address;Company Zipcode;Company City/Region;[TRANSLATE] Category;Weitere Aktivitäten;[TRANSLATE] Species;[TRANSLATE] Remarks
CH 74021004;47,50079;9,4345481;74021004;74021004;Hügli Nährmittel AG;Industriestrasse15;Hügli Nährmittel AG, Industriestrasse15, 9015, Switzerland ;9015;9015 SG;CS, RW;PP(VI), PP(VIII), PP(IX), PP(X);;
CH 5124;47,407625;9,119672;5124;42650240;Hungerbühler Walter;Oberrindal57;Hungerbühler Walter, Oberrindal57, 9604, Switzerland ;9604;9604 SG;RW;PP(IX);;
CH 115;47,4273792;9,6274115;115;42135665;Spiess Gustav AG;Musterplatzstr.2;Spiess Gustav AG, Musterplatzstr.2, 9442, Switzerland ;9442;9442 SG;CS, RW;SH(I), CP(I), MP(V), PP(VI);;
CH 2141;46,0342094;8,9304425;2141;40130528;Bernasconi SA;via Industria11;Bernasconi SA, via Industria11, 6814, Switzerland ;6814;6814 TI;RW, WM;PP(VI);;
CH 038;47,4742676;9,4806757;038;71445115;Nestlé Suisse S.A. Fabrik Rorschach / Zentrallager;Blumenfeldstrasse15;Nestlé Suisse S.A. Fabrik Rorschach / Zentrallager, Blumenfeldstrasse15, 9403, Switzerland ;9403;9403 SG;CS, RW;CP(I), CP(II), CP(III), MM(V), MP(V), PP(IX), PP(X), PP(XII);;
CH 340;46,8656147;7,1201865;340;51963654;Micarna SA;rte de l'Industrie25;Micarna SA, rte de l'Industrie25, 1784, Switzerland ;1784;1784 FR;RW, WM;SH(I), CP(I), CP(II), CP(III), CP(IV), MM(V), MP(V), PP(VI);;
CH 5414;47,481762;9,0771819;5414;42091510;OBERLI CHRISTIAN;Rislen;OBERLI CHRISTIAN, Rislen, 9512, Switzerland ;9512;9512 SG;RW;PP(IX);;
CH 74295152;46,958407;7,4944486;74295152;68906813;Spirit Market GmbH;Wegmühlegässli6;Spirit Market GmbH, Wegmühlegässli6, 3072, Switzerland ;3072;3072 BE;RW, WM;PP(IX);;
CH 3306;;;3306;72484959;La Cabriolle SA;Rue Saint-Jacques32;La Cabriolle SA, Rue Saint-Jacques32, 1666, Switzerland ;1666;1666 FR;RW;PP(IX), CC(IX);;
CH 46907279;47,1996423;7,5742296;46907279;76843433;Eggenschwiler Tiefkühl- produkte AG;Waldeggstrasse4;Eggenschwiler Tiefkühl- produkte AG, Waldeggstrasse4, 4528, Switzerland ;4528;4528 SO;CS, WM;;;
CH 2093;47,4108039;9,0381046;2093;41626634;Traber Käse AG;Seefeldstrasse10;Traber Käse AG, Seefeldstrasse10, 9533, Switzerland ;9533;9533 SG;RW;PP(IX);;
CH 2423;;;2423;52031716;Cremo S.A. Usine de Lucens;Route de la Caséine9;Cremo S.A. Usine de Lucens, Route de la Caséine9, 1522, Switzerland ;1522;1522 VD;RW, WM;PP(IX);;
CH 72319381;47,5677135;9,0947357;72319381;72319381;ARDIVAL AG;Weststrasse25;ARDIVAL AG, Weststrasse25, 8570, Switzerland ;8570;8570 TG;CS, RW, WM;MM(V), MP(V), PP(VI);;
CH 73897204;47,546157;7,5552222;73897204;73897204;Mérat & Cie. AG;Binningerstrasse148;Mérat & Cie. AG, Binningerstrasse148, 4123, Switzerland ;4123;4123 BL;RW, WM;MM(V), MP(V);;
CH 73765493;46,9525295;9,5627579;73765493;73765493;Fleischtrocknerei Churwalden AG;Riedlöserstrasse11;Fleischtrocknerei Churwalden AG, Riedlöserstrasse11, 7302, Switzerland ;7302;7302 GR;RW;MP(V), PP(VI);;
CH 1001;47,44895;8,599963;1001;62132089;Lüchinger + Schmid AG, Eier & Eiprodukte;Steinackerstrasse35;Lüchinger + Schmid AG, Eier & Eiprodukte, Steinackerstrasse35, 8302, Switzerland ;8302;8302 ZH;CS;PP(X), EPC(X), LEP(X);;
CH 342;47,3920488;8,6650738;342;61480114;Kühlhaus Universal AG;Juchstrasse1;Kühlhaus Universal AG, Juchstrasse1, 8604, Switzerland ;8604;8604 ZH;CS;;;
CH 4201;46,7144617;6,9982027;4201;53298402;Fromagerie Moléson S.A.;Route de Villarsel30;Fromagerie Moléson S.A., Route de Villarsel30, 1694, Switzerland ;1694;1694 FR;RW;PP(IX);;
CH 73955882;;;73955882;86900338;Caseificio Alba Sàrl en liquidation;Chemin du Vuasset5;Caseificio Alba Sàrl en liquidation, Chemin du Vuasset5, 1028, Switzerland ;1028;1028 VD;RW;PP(IX);;
CH 66001529;45,9768279;8,9271078;66001529;66001529;SPACCIO ITTICO SA;via al Piano12;SPACCIO ITTICO SA, via al Piano12, 6926, Switzerland ;6926;6926 TI;CS, WM;DC(VII), WM(VIII), FFPP(VIII);;
CH 5898;47,5491214;9,1484737;5898;50172869;Strähl Käse AG;Industriestrasse10;Strähl Käse AG, Industriestrasse10, 8575, Switzerland ;8575;8575 TG;CS, RW, WM;PP(IX);;
CH 41662920;47,060303;8,301357;41662920;41662920;Genossenschaft Zentralschweizer Milchproduzenten ZMP;Friedentalstrasse43;Genossenschaft Zentralschweizer Milchproduzenten ZMP, Friedentalstrasse43, 6004, Switzerland ;6004;6004 LU;WM;CC(IX);;
CH 41344998;;;41344998;41344998;Genossenschaft Migros Aare, Produktion Fleisch;Industriestrasse9;Genossenschaft Migros Aare, Produktion Fleisch, Industriestrasse9, 3321, Switzerland ;3321;3321 BE;RW, WM;CP(I), CP(II), CP(III), MM(V), MP(V), PP(VI);;
CH 335;46,1667312;6,1070369;335;41913354;Agrifrance SA;Chemin du Pré-Fleuri10;Agrifrance SA, Chemin du Pré-Fleuri10, 1228, Switzerland ;1228;1228 GE;CS;;;
CH 62221021;47,3851337;8,5203308;62221021;62221021;Braschler's Comestibles Import AG;Geroldstrasse5;Braschler's Comestibles Import AG, Geroldstrasse5, 8005, Switzerland ;8005;8005 ZH;CS;PP(VIII), FFPP(VIII);;
CH 75584672;;;75584672;75584672;Dörig Käsehandel AG;Industriestrasse4;Dörig Käsehandel AG, Industriestrasse4, 9300, Switzerland ;9300;9300 SG;CS;PP(IX);;
CH 5052;47,366825;9,092395;5052;41600788;Käserei Berghof;Aewil487;Käserei Berghof, Aewil487, 9608, Switzerland ;9608;9608 SG;RW;PP(IX);;
CH 92280442;;;92280442;92280442;Mérat & Cie. AG;Buzibachstrasse15;Mérat & Cie. AG, Buzibachstrasse15, 6023, Switzerland ;6023;6023 LU;RW;CP(I), CP(II), CP(III), CP(IV), MM(V), MP(V);;
CH 2089;;;2089;73385354;Hardegger Käse AG;Steinackerstrasse1;Hardegger Käse AG, Steinackerstrasse1, 9243, Switzerland ;9243;9243 SG;RW, WM;PP(IX);;
CH 2007;46,837135;7,6183363;2007;73864654;Chr. Eicher's Söhne AG;Thunstrasse17;Chr. Eicher's Söhne AG, Thunstrasse17, 3672, Switzerland ;3672;3672 BE;RW, WM;PP(IX);;
CH 5062;47,362177;9,072381;5062;70216218;Bütschwil Käse AG;Hofstrasse9;Bütschwil Käse AG, Hofstrasse9, 9606, Switzerland ;9606;9606 SG;RW;PP(IX);;
CH 69098506;;;69098506;69098506;Ernst Sutter SA Depot Ticino;Via al Fiume3;Ernst Sutter SA Depot Ticino, Via al Fiume3, 6930, Switzerland ;6930;6930 TI;CS, WM;CP(I), CP(II), CP(III), MP(V);;
CH 66072357;47,0581927;8,2603466;66072357;66072357;Blättler Kühllogistik AG;Thorenbergstrasse70;Blättler Kühllogistik AG, Thorenbergstrasse70, 6014, Switzerland ;6014;6014 LU;CS;;;
CH 2111;46,6667945;6,8065584;2111;40056712;Fromco S.A. Moudon;Route de Siviriez14;Fromco S.A. Moudon, Route de Siviriez14, 1510, Switzerland ;1510;1510 VD;CS, RW, WM;;;
CH 65719866;;;65719866;75467046;COVEDIS SA;;;1010;1010 VD;CS, RW;CP(I), DC(VII), PP(VIII);;
CH 606;47,4052476;9,2990343;606;41101738;Darmhandels-AG, St. Gallen;Industriestrasse15;Darmhandels-AG, St. Gallen, Industriestrasse15, 9015, Switzerland ;9015;9015 SG;RW, WM;PP(XIII);;
CH 5636;47,1192136;7,3438571;5636;76679943;bonCas AG;Lyssstrasse12;bonCas AG, Lyssstrasse12, 3293, Switzerland ;3293;3293 BE;RW, WM;PP(IX);;
CH 275;46,9695596;9,68953;275;52097612;Albert Spiess AG;Dorfstrasse64;Albert Spiess AG, Dorfstrasse64, 7220, Switzerland ;7220;7220 GR;RW;MP(V), PP(VI);;
CH 52896837;47,4060842;8,3146535;52896837;52896837;Pacovis AG;Grabenmattenstrasse19;Pacovis AG, Grabenmattenstrasse19, 5608, Switzerland ;5608;5608 AG;RW;PP(IX), PP(X), PP(XIV), PP(XV);;
CH 65519400;46,784144;6,623288;65519400;65519400;Ogiz S. A.;Rue des Uttins36;Ogiz S. A., Rue des Uttins36, 1400, Switzerland ;1400;1400 VD;CS, RW, WM;CP(I), CP(II), CP(III), CP(IV), GHE(IV), MM(V), MP(V), PP(VI), PP(XII);;
CH 60572910;46,7113707;6,6403581;60572910;75574229;Lucas Frères S.A.;Route d'Echallens33;Lucas Frères S.A., Route d'Echallens33, 1417, Switzerland ;1417;1417 VD;CS, RW, WM;DC(VII), WM(VIII), FFPP(VIII), PP(XI);;
CH 1007;47,41439;9,166426;1007;51003995;Eier Hungerbühler AG;Toggenburgerstrasse23;Eier Hungerbühler AG, Toggenburgerstrasse23, 9230, Switzerland ;9230;9230 SG;CS;PP(X), EPC(X);;
CH 2051;46,396342;6,929033;2051;76682354;H. Huguenin S.A. Fromages en gros, Import-Export;Route d'Arvel11;H. Huguenin S.A. Fromages en gros, Import-Export, Route d'Arvel11, 1844, Switzerland ;1844;1844 VD;CS, RW, WM;;;
CH 2158;46,038804;8,9245907;2158;64362887;Best Gourmet Aktiengesellschaft, Balzers, Filiale di Gravesano - Via Grumo;via Grumo10;Best Gourmet Aktiengesellschaft, Balzers, Filiale di Gravesano - Via Grumo, via Grumo10, 6929, Switzerland ;6929;6929 TI;RW, WM;PP(IX);;
CH 68037287;46,1187435;8,9283943;68037287;68037287;Ambrofood SA;Via Cantonale30;Ambrofood SA, Via Cantonale30, 6802, Switzerland ;6802;6802 TI;RW, WM;;;
CH 41238117;47,5037067;8,7723589;41238117;41238117;Mastai, Comestibles en Gros;Sandgrubenstrasse3;Mastai, Comestibles en Gros, Sandgrubenstrasse3, 8409, Switzerland ;8409;8409 ZH;CS, WM;;;
CH 301;47,0468645;9,4468939;301;52030251;Ospelt food AG;Tiefrietstrasse7;Ospelt food AG, Tiefrietstrasse7, 7320, Switzerland ;7320;7320 SG;CS, RW;MM(V), MP(V), PP(VI), PP(VIII), FFPP(VIII), PP(IX), PP(X);;
CH 347;47,3842557;8,5052758;347;51913868;Metzgerei Angst AG;Herdernstrasse61;Metzgerei Angst AG, Herdernstrasse61, 8004, Switzerland ;8004;8004 ZH;RW, WM;CP(I), GHE(IV), MM(V), MP(V), PP(VI), PP(VIII);;
CH 331;47,0420722;8,3217212;331;69359928;Emmi Logistik AG;Sternmatt8;Emmi Logistik AG, Sternmatt8, 6010, Switzerland ;6010;6010 LU;CS;;;
CH 224;47,176237;9,5077406;224;1805;Hilcona AG;Bendererstrasse21;Hilcona AG, Bendererstrasse21, 9494, Switzerland ;9494;9494 FL;CS, RW;PP(VI), PP(VIII);;
CH 55032855;47,1973887;8,7632081;55032855;55032855;Delimpex AG;Eichenstrasse11;Delimpex AG, Eichenstrasse11, 8808, Switzerland ;8808;8808 SZ;CS, RW, WM;;;
CH 5895;47,6109626;9,1676012;5895;40946924;Strähl Käse AG;Bahnhofstrasse1;Strähl Käse AG, Bahnhofstrasse1, 8573, Switzerland ;8573;8573 TG;CS, RW, WM;PP(IX);;
CH 51121153;46,7592489;6,6418923;51121153;51121153;G. M. Viande Chevaline en Gros G. Mueller;Les Petits-Champs1;G. M. Viande Chevaline en Gros G. Mueller, Les Petits-Champs1, 1400, Switzerland ;1400;1400 VD;CS, RW, WM;CP(I), PP(VI);;
CH 324;45,8488241;8,946103;324;40616493;Rapelli SA;Via Laveggio13;Rapelli SA, Via Laveggio13, 6855, Switzerland ;6855;6855 TI;CS, WM;CP(I), CP(II), CP(III), MM(V), MP(V), PP(VI), WM(VIII), PP(VIII);;
CH 67973237;47,0112049;8,6202301;67973237;67973237;Reichmuth Tiefkühllager AG;Seewenstrasse58;Reichmuth Tiefkühllager AG, Seewenstrasse58, 6440, Switzerland ;6440;6440 SZ;CS;;;
CH 45171903;47,4525029;8,4616764;45171903;45171903;Gastro-Metzg AG;Steinstrasse22;Gastro-Metzg AG, Steinstrasse22, 8106, Switzerland ;8106;8106 ZH;CS, RW;MM(V), MP(V);;
CH 323;;;323;71101268;BERNARD WOLF SA;Route du Port8;BERNARD WOLF SA, Route du Port8, 1545, Switzerland ;1545;1545 VD;CS, RW, WM;WM(VIII), PP(VIII), FFPP(VIII);;
CH 54016988;47,2829917;7,720828;54016988;54016988;HAVI Logistics GmbH;Ostringstrasse11;HAVI Logistics GmbH, Ostringstrasse11, 4702, Switzerland ;4702;4702 SO;CS, WM;;;
CH CH5743;47,2613203;7,0053201;CH5743;62645147;FDS Fromagerie de Saignelégier SA;Chemin du Finage19;FDS Fromagerie de Saignelégier SA, Chemin du Finage19, 2350, Switzerland ;2350;2350 JU;WM;PP(IX), CC(IX);;
CH 82717242;46,5188287;6,6402954;82717242;82717242;Maison d'Alpage SA;Avenue Mon-Repos14;Maison d'Alpage SA, Avenue Mon-Repos14, 1005, Switzerland ;1005;1005 VD;RW, WM;;;
CH 40014670;;;40014670;40014670;BOUCHERIE LEDERMANN & CIE ;route du Marchairaz12;BOUCHERIE LEDERMANN & CIE , route du Marchairaz12, 1045, Switzerland ;1045;1045 VD;WM;SH(I), CP(I), PP(VI);;
CH 74952804;46,8656147;7,1201865;74952804;74952804;Micarna SA;Chemin du Dévent;Micarna SA, Chemin du Dévent, 1024, Switzerland ;1024;1024 VD;CS;DC(VII), FFPP(VIII);;
CH 46014967;45,8561842;9,0032262;46014967;46014967;Salumificio del Castello Capoferri & Co. SA;Alle Zocche;Salumificio del Castello Capoferri & Co. SA, Alle Zocche, 6874, Switzerland ;6874;6874 TI;CS, WM;CP(I), MP(V), PP(VI), WM(VIII);;
CH 317;;;317;45855944;Hilcona Gourmet S.A.;Chemin des Taborneires10;Hilcona Gourmet S.A., Chemin des Taborneires10, 1350, Switzerland ;1350;1350 VD;CS, RW, WM;PP(IX);;
CH 2015;47,3285703;9,2255251;2015;92487196;Züger AG, Käsehandel, Appenzell;Hauptstrasse48;Züger AG, Käsehandel, Appenzell, Hauptstrasse48, 9105, Switzerland ;9105;9105 SG;RW, WM;PP(IX);;
CH 52104369;47,2704348;9,117758;52104369;52104369;Frike Cosmetic AG;Howartstrasse9;Frike Cosmetic AG, Howartstrasse9, 9642, Switzerland ;9642;9642 SG;RW;PP(IX);;
CH 64118595;;;64118595;64118595;Ernst Sutter SA Sutero Viandes en gros;Avenue du Chablais18;Ernst Sutter SA Sutero Viandes en gros, Avenue du Chablais18, 1008, Switzerland ;1008;1008 VD;CS, RW, WM;CP(I);;
CH 81030204;47,1332263;7,6041311;81030204;77839454;fromaca ag;Hauptstrasse15;fromaca ag, Hauptstrasse15, 3425, Switzerland ;3425;3425 BE;RW, WM;PP(IX);;
CH 329;46,9366986;7,7848408;329;51917789;Ernst Sutter AG Reber;Güterstrasse12a;Ernst Sutter AG Reber, Güterstrasse12a, 3550, Switzerland ;3550;3550 BE;RW, WM;SH(I), CP(I), CP(III), MP(V), PP(VI);;
CH 41279459;47,3497812;8,7171277;41279459;74143204;HOTZ Fleisch Wurst Traiteur;Zürichstrasse8;HOTZ Fleisch Wurst Traiteur, Zürichstrasse8, 8610, Switzerland ;8610;8610 ZH;CS, RW, WM;CP(I), MM(V), MP(V), PP(VI);;
CH 66875801;;;66875801;66875801;Skin Packing S.A.;ZI les Avouillons20;Skin Packing S.A., ZI les Avouillons20, 1196, Switzerland ;1196;1196 VD;CS, RW;CP(I), CP(II), CP(III), MP(V), PP(VI);;
CH 157;46,8386709;6,8484005;157;45988470;Marmy Viande en Gros SA;ch. des Marais10;Marmy Viande en Gros SA, ch. des Marais10, 1470, Switzerland ;1470;1470 FR;CS;SH(I), CP(I), PP(XIII);;
CH 354;47,135736;7,361234;354;70929286;Bigler AG Fleischwaren, Zerlegerei Lyss;Industriering 36;Bigler AG Fleischwaren, Zerlegerei Lyss, Industriering 36, 3250, Switzerland ;3250;3250 BE;CS, RW, WM;CP(I), MP(V), PP(VI);;
CH 42212529;46,7707291;7,601515;42212529;42212529;Peter Zwahlen Fachgeschäft für Lammfleisch;Uttigenstrasse 138;Peter Zwahlen Fachgeschäft für Lammfleisch, Uttigenstrasse 138, 3603, Switzerland ;3603;3603 BE;RW, WM;CP(I);;
CH 40247382;47,0087734;9,0780745;40247382;40247382;Grüninger AG;Industrie West2;Grüninger AG, Industrie West2, 8756, Switzerland ;8756;8756 GL;RW;PP(XII);;
CH 61918615;47,394007;8,175314;61918615;61918615;TK-LOGISTIK AG;Niederlenzer Kirchweg14;TK-LOGISTIK AG, Niederlenzer Kirchweg14, 5600, Switzerland ;5600;5600 AG;CS;;;
CH 45253220;47,399631;8,436423;45253220;45253220;Geiser AG ;Rietbachstrasse 11;Geiser AG , Rietbachstrasse 11, 8952, Switzerland ;8952;8952 ZH;CS, RW, WM;CP(I), CP(II), CP(III), CP(IV), GHE(IV), MM(V), MP(V), MSM(V), PP(VI);;
CH 62842706;47,1579238;8,3291416;62842706;62842706;Gastro Käse-Service AG;Sagistrasse12;Gastro Käse-Service AG, Sagistrasse12, 6275, Switzerland ;6275;6275 LU;RW, WM;PP(IX);;
CH 5611;46,5030946;7,2862554;5611;75614714;Milchverwertungsgenossenschaft Schönried Molkerei;Hauptstrasse;Milchverwertungsgenossenschaft Schönried Molkerei, Hauptstrasse, 3778, Switzerland ;3778;3778 BE;RW, WM;PP(IX);;
CH 2164;47,1868797;8,892777;2164;87482042;Lo Svizzero Cheese SA;Mühlestrasse21;Lo Svizzero Cheese SA, Mühlestrasse21, 8855, Switzerland ;8855;8855 SZ;RW;PP(IX);;
CH 5413;47,3794962;9,0658922;5413;71560938;Käserei Neuwies, Müller Philipp;Neuwies1304;Käserei Neuwies, Müller Philipp, Neuwies1304, 9601, Switzerland ;9601;9601 SG;RW;PP(IX);;
CH 5224;47,651757;9,174632;5224;65710795;Ceposa AG;Hafenstrasse4;Ceposa AG, Hafenstrasse4, 8280, Switzerland ;8280;8280 TG;RW;PP(VI), PP(VIII), PP(IX);;
CH 51586406;47,1853347;8,110289;51586406;51586406;Anton Häfliger AG;Chommlibachstrasse11;Anton Häfliger AG, Chommlibachstrasse11, 6210, Switzerland ;6210;6210 LU;CS;;;
CH 2002;47,4648116;9,392138;2002;83657422;Emmi Schweiz AG;Hofstetstrasse14;Emmi Schweiz AG, Hofstetstrasse14, 9300, Switzerland ;9300;9300 SG;RW, WM;PP(IX);;
CH 2414;46,8820035;7,6184199;2414;41408028;Nestec S.A. PTC Konolfingen;Nestlé-Strasse3;Nestec S.A. PTC Konolfingen, Nestlé-Strasse3, 3510, Switzerland ;3510;3510 BE;RW, WM;PP(IX);;
CH 2406;46,9610057;7,4816873;2406;51887642;Emmi Schweiz AG;Milchstrasse9;Emmi Schweiz AG, Milchstrasse9, 3072, Switzerland ;3072;3072 BE;RW, WM;PP(IX);;
CH 51000025;47,0939674;9,5024482;51000025;51000025;Ospelt food AG;Hauptstrasse10;Ospelt food AG, Hauptstrasse10, 9476, Switzerland ;9476;9476 SG;CS, RW;PP(VIII), FFPP(VIII);;
CH 41599242;47,4116576;9,1897858;41599242;41599242;Johann Hofstetter AG;St. Gallerstrasse48;Johann Hofstetter AG, St. Gallerstrasse48, 9230, Switzerland ;9230;9230 SG;CS, RW;PP(XIV);;
CH 61753699;47,342055;8,353937;61753699;61753699;G. Bianchi AG;Allmendweg6;G. Bianchi AG, Allmendweg6, 5621, Switzerland ;5621;5621 AG;CS, RW;GHE(IV), MP(V), DC(VII), PP(VIII), PP(XI);;
CH 2004;46,717836;7,714525;2004;76607493;Molkerei Amstutz AG;Feldenstrasse2;Molkerei Amstutz AG, Feldenstrasse2, 3655, Switzerland ;3655;3655 BE;RW, WM;PP(IX);;
CH 64513114;47,416781;8,395551;64513114;64513114;Pico Bio AG;Silbernstrasse10;Pico Bio AG, Silbernstrasse10, 8953, Switzerland ;8953;8953 ZH;CS;MM(V), MP(V), PP(IX);;
CH 40654530;46,099626;7,086585;40654530;40654530;Brasilona S.A.;Rue du Châble-Bet12;Brasilona S.A., Rue du Châble-Bet12, 1920, Switzerland ;1920;1920 VS;CS;;;
CH 40704317;46,9994835;6,7324305;40704317;40704317;Montandon SA, Boucherie-Charcuterie;Grand-Rue 13;Montandon SA, Boucherie-Charcuterie, Grand-Rue 13, 2316, Switzerland ;2316;2316 NE;CS, RW;CP(I), MP(V), PP(VI);;
CH 4010;47,0717481;7,307921;4010;41272909;Walter Wasserfallen;Hauptstrasse38;Walter Wasserfallen, Hauptstrasse38, 3250, Switzerland ;3250;3250 BE;RW, WM;PP(IX);;
CH 68058690;47,4190607;8,413325;68058690;68058690;Panetta SA;Steinhaldenstrasse14;Panetta SA, Steinhaldenstrasse14, 8954, Switzerland ;8954;8954 ZH;CS, RW;PP(VI);;
CH 40070586;46,7112428;6,3815873;40070586;40070586;Fivaz Vallorbe SA;Rue de Lausanne31;Fivaz Vallorbe SA, Rue de Lausanne31, 1337, Switzerland ;1337;1337 VD;CS, RW;PP(XI);;
CH 69737394;;;69737394;69737394;Domino Food AG;Herbergstrasse29;Domino Food AG, Herbergstrasse29, 9524, Switzerland ;9524;9524 SG;CS, RW, WM;MP(V), PP(VI);;
CH 121;47,31;7,68;121;51955627;Gehrig AG Grossmetzgerei;Thalstrasse35;Gehrig AG Grossmetzgerei, Thalstrasse35, 4710, Switzerland ;4710;4710 SO;CS, RW, WM;MP(V), PP(VI);;
CH 61391978;47,4188842;8,3973476;61391978;61391978;Divina Lebensmittelhandel AG;Lerzenstrasse19;Divina Lebensmittelhandel AG, Lerzenstrasse19, 8953, Switzerland ;8953;8953 ZH;WM;;;
CH 65848838;47,1887811;8,4741129;65848838;65848838;Felicious Käse & Wein GmbH;Florastrasse5;Felicious Käse & Wein GmbH, Florastrasse5, 6330, Switzerland ;6330;6330 ZG;RW, WM;;;
CH 2461;47,172249;7,5851482;2461;40262548;Molkerei Lanz AG;Bolacker11;Molkerei Lanz AG, Bolacker11, 4564, Switzerland ;4564;4564 SO;RW, WM;PP(IX);;
CH 84818005;;;84818005;84818005;CASIC Einkaufsgenossenschaft des Schw. Verbandes von Comestibles- Importeuren und Händlern;Industriestrasse21;CASIC Einkaufsgenossenschaft des Schw. Verbandes von Comestibles- Importeuren und Händlern, Industriestrasse21, 4313, Switzerland ;4313;4313 AG;CS, RW;;;
CH 299;46,9448396;7,4283087;299;52164279;Meinen AG Grossmetzgerei & -Wursterei;Schwarztorstrasse76;Meinen AG Grossmetzgerei & -Wursterei, Schwarztorstrasse76, 3007, Switzerland ;3007;3007 BE;RW, WM;CP(I), CP(III), MP(V), PP(VI);;
CH 2001;47,005159;7,463905;2001;41175043;Baumann Käse AG;Zürichstrasse9;Baumann Käse AG, Zürichstrasse9, 3052, Switzerland ;3052;3052 BE;RW, WM;PP(IX);;
CH 71536076;47,373861;9,4170187;71536076;71536076;ZwyerCaviar GmbH;Dorfstrasse106;ZwyerCaviar GmbH, Dorfstrasse106, 9055, Switzerland ;9055;9055 AR;RW;;;
CH 5627;46,4571648;7,4428129;5627;41399782;Lenk Milch AG;Aegertenstrasse2;Lenk Milch AG, Aegertenstrasse2, 3775, Switzerland ;3775;3775 BE;RW, WM;PP(IX);;
CH 77334156;;;77334156;77334156;Luma Meat Trade GmbH;Gewerbestrasse6;Luma Meat Trade GmbH, Gewerbestrasse6, 8212, Switzerland ;8212;8212 SH;RW;PP(VI);;
CH 72036914;;;72036914;72036914;Omya (Schweiz) AG - Darmhandlung;Sagmattstrasse13;Omya (Schweiz) AG - Darmhandlung, Sagmattstrasse13, 4710, Switzerland ;4710;4710 SO;WM;;;
CH 42040474;47,7461217;8,7075113;42040474;42040474;Unilever Schweiz GmbH;Bahnhofstrasse19;Unilever Schweiz GmbH, Bahnhofstrasse19, 8240, Switzerland ;8240;8240 SH;CS, RW;PP(VI), PP(VIII);;
CH 2006;46,9433932;7,7847866;2006;70719477;GOURMINO AG;Dorfbergstrasse3;GOURMINO AG, Dorfbergstrasse3, 3550, Switzerland ;3550;3550 BE;RW, WM;PP(IX);;
CH 62253070;47,4453145;8,2117867;62253070;62253070;TK-Center Birrfeld AG;Industriestrasse21;TK-Center Birrfeld AG, Industriestrasse21, 5242, Switzerland ;5242;5242 AG;CS;;;
CH 2067;;;2067;72609301;Emmi Schweiz AG, Käsereifung Luzern;St. Karlistrasse29;Emmi Schweiz AG, Käsereifung Luzern, St. Karlistrasse29, 6004, Switzerland ;6004;6004 LU;WM;PP(IX);;
CH 63219029;47,0382856;8,1484501;63219029;63219029;W. Husmann GmbH;Schachenweidstrasse8;W. Husmann GmbH, Schachenweidstrasse8, 6105, Switzerland ;6105;6105 LU;CS;;;
CH 2049;46,6369667;6,8345811;2049;52041033;Mifroma SA;Route du Plattiez11;Mifroma SA, Route du Plattiez11, 1670, Switzerland ;1670;1670 FR;RW;PP(IX);;
CH 61041404;47,1782557;7,9854324;61041404;61041404;Proderma AG;Nebikerstrasse58;Proderma AG, Nebikerstrasse58, 6247, Switzerland ;6247;6247 LU;RW;PP(XIV), PP(XV);;
CH 2142;46,093206;8,924516;2142;67066957;Cetra Alimentari SA;Via Cantonale;Cetra Alimentari SA, Via Cantonale, 6805, Switzerland ;6805;6805 TI;RW, WM;;;
CH 41819830;47,5737012;7,568002;41819830;41819830;Bell Schweiz AG;Neudorfstrasse90;Bell Schweiz AG, Neudorfstrasse90, 4056, Switzerland ;4056;4056 BS;CS, RW;PP(VIII);;
CH 61582234;47,2019202;8,7592736;61582234;61582234;bofrost suisse AG;Schwerzistrasse4;bofrost suisse AG, Schwerzistrasse4, 8807, Switzerland ;8807;8807 SZ;CS;;;
CH 92866682;46,5232982;6,6136812;92866682;92866682;Locindus SA;Avenue de Sévelin13;Locindus SA, Avenue de Sévelin13, 1004, Switzerland ;1004;1004 VD;WM;;;
CH 64472484;46,4425619;6,896864;64472484;64472484;Serra-Poissons frais;Rue du Port40;Serra-Poissons frais, Rue du Port40, 1815, Switzerland ;1815;1815 VD;CS, RW, WM;DC(VII), WM(VIII), FFPP(VIII), PP(XI);;
CH 2426;47,0849093;8,4354012;2426;52008586;Baer AG;Bahnhofstrasse67;Baer AG, Bahnhofstrasse67, 6403, Switzerland ;6403;6403 SZ;RW, WM;PP(IX);;
CH 2040;47,0015938;7,4639722;2040;71340020;Emmi Schweiz AG;Schlösslistrasse8;Emmi Schweiz AG, Schlösslistrasse8, 3052, Switzerland ;3052;3052 BE;RW, WM;PP(IX);;
CH 358;46,8656147;7,1201865;358;64743003;Micarna SA Division volaille;rte de l'industrie25;Micarna SA Division volaille, rte de l'industrie25, 1784, Switzerland ;1784;1784 FR;RW;SH(II), CP(II), MM(V), MP(V), MSM(V), PP(VI);;
CH 69087808;47,3888531;8,2067692;69087808;69087808;Hugo Dubno AG;Industriestrasse11;Hugo Dubno AG, Industriestrasse11, 5604, Switzerland ;5604;5604 AG;CS, RW, WM;;;
CH 5620;46,4717099;7,2863427;5620;64110549;Genossenschaft Molkerei Gstaad;Lauenenstrasse24;Genossenschaft Molkerei Gstaad, Lauenenstrasse24, 3780, Switzerland ;3780;3780 BE;RW, WM;PP(IX);;
