Code;Latitude;Longitude;Bew.-Nr.;Bur Number;Firmenname;Company Street;full address;Company Zipcode;Company City/Region;[TRANSLATE] Category;Weitere Aktivitäten;[TRANSLATE] Species;[TRANSLATE] Remarks
CH 73799047;47,3901859;8,0669375;73799047;73799047;Stadel Fischimport AG;Aarauerstrasse15;Stadel Fischimport AG, Aarauerstrasse15, 5033, Switzerland ;5033;5033 AG;PP, FFPP;;;
CH 55483576;46,81;6,55;55483576;75550579;A. et P. Santos, commerce de poissons;Les Charrières;A. et P. Santos, commerce de poissons, Les Charrières, 1445, Switzerland ;1445;1445 VD;WM, FFPP;CS(0), RW(0), WM(0), CP(I), CP(II), CP(III);;
CH 53365430;47,5232633;7,6767968;53365430;53365430;FLS Furness Lagerhaus & Speditions AG;Lachmattstrasse120;FLS Furness Lagerhaus & Speditions AG, Lachmattstrasse120, 4132, Switzerland ;4132;4132 BL;WM;DC(VII);;
CH 40988547;47,5719551;8,2565314;40988547;40988547;Köferli AG Metzgerei Köferli Albert;Hauptstrasse37;Köferli AG Metzgerei Köferli Albert, Hauptstrasse37, 5312, Switzerland ;5312;5312 AG;PP;SH(I), CP(I), SH(II), CP(II), SH(III), CP(III), CP(IV), GHE(IV), MM(V), MP(V), MSM(V), PP(VI);;
CH 344;46,0273424;8,9195329;344;60004935;Sofinol SA;Via Cantonale7;Sofinol SA, Via Cantonale7, 6928, Switzerland ;6928;6928 TI;PP;;;
CH 45027975;;;45027975;;Rageth Comestibles AG;Riedlöserstr.3;Rageth Comestibles AG, Riedlöserstr.3, 7302, Switzerland ;7302;7302 GR;PP, FFPP;PP(VI);;
CH 51370354;46,0026015;8,9339607;51370354;51370354;Terrani SA;Via Cremignone2;Terrani SA, Via Cremignone2, 6924, Switzerland ;6924;6924 TI;WM;WM(0), CP(I), CP(II), CP(III), MM(V), MP(V);;
CH 214;47,4457986;8,7017153;214;67452754;Givaudan Schweiz AG;Winterthurerstrasse;Givaudan Schweiz AG, Winterthurerstrasse, 8310, Switzerland ;8310;8310 ZH;PP;PP(VI), PP(IX), PP(X), PP(XII);;
CH 51821458;46,185037;6,132949;51821458;51821458;Soc. Coop. Migros-Genève Traiteurs Party;Rue Alexandre-Gavard35;Soc. Coop. Migros-Genève Traiteurs Party, Rue Alexandre-Gavard35, 1227, Switzerland ;1227;1227 GE;PP;PP(VI), PP(IX), PP(X);;
CH 74021004;47,50079;9,4345481;74021004;74021004;Hügli Nährmittel AG;Industriestrasse15;Hügli Nährmittel AG, Industriestrasse15, 9015, Switzerland ;9015;9015 SG;PP;CS(0), RW(0), PP(VI), PP(VIII), PP(X);B;
CH 5610;;;5610;70216658;ALP Modellkäserei Karl Schafroth;Schwarzenburgstrasse161;ALP Modellkäserei Karl Schafroth, Schwarzenburgstrasse161, 3097, Switzerland ;3097;3097 BE;PP;;B, C, O;
CH 7505;;;7505;70216569;Les Coques Fromagerie;Alpage;Les Coques Fromagerie, Alpage, 1660, Switzerland ;1660;1660 VD;PP;;B;
CH 5124;47,407625;9,119672;5124;42650240;Hungerbühler Walter;Oberrindal57;Hungerbühler Walter, Oberrindal57, 9604, Switzerland ;9604;9604 SG;PP;RW(0);B, C, O;
CH 74886193 ;;;74886193 ;;Riebli-Müller Adrian;Brüggi1;Riebli-Müller Adrian, Brüggi1, 6074, Switzerland ;6074;6074 OW;PP;;B;
CH 319;47,135736;7,361234;319;75325248;Bigler AG Fleischwaren;Industriestrasse19;Bigler AG Fleischwaren, Industriestrasse19, 3294, Switzerland ;3294;3294 BE;PP;CP(I), CP(II), MP(V), PP(VI);B, C, O;
CH 70931264;;;70931264;70931264;Milchsammelstelle;Chäsiweg;Milchsammelstelle, Chäsiweg, 4623, Switzerland ;4623;4623 SO;CC;;B;
CH 6039;;;6039;70747097;Les Coullaytes Fromagerie;Alpage;Les Coullaytes Fromagerie, Alpage, 1660, Switzerland ;1660;1660 VD;PP;;B;
CH 038;47,4742676;9,4806757;038;71445115;Nestlé Suisse S.A. Fabrik Rorschach / Zentrallager;Blumenfeldstrasse15;Nestlé Suisse S.A. Fabrik Rorschach / Zentrallager, Blumenfeldstrasse15, 9403, Switzerland ;9403;9403 SG;PP;CS(0), RW(0), CP(I), CP(II), CP(III), MM(V), MP(V), PP(X), PP(XII);B, C, O;
CH 61148894;;;61148894;76466798;Milchgenossenschaft Peist;;;7029;7029 GR;CC;;B;
CH 3277;47,0295308;7,7470062;3277;76571355;Dorfkäserei Sumiswald AG;Spitalstrasse19;Dorfkäserei Sumiswald AG, Spitalstrasse19, 3454, Switzerland ;3454;3454 BE;PP;;B, C, O;
CH 4222;;;4222;54590511;Société coopérative de Fromagerie des Jordans (Bayards);Les Jordans;Société coopérative de Fromagerie des Jordans (Bayards), Les Jordans, 2127, Switzerland ;2127;2127 NE;PP, CC;;B;
CH 5104;;;5104;46740601;Hans Näf;Staatsstrasse52;Hans Näf, Staatsstrasse52, 9246, Switzerland ;9246;9246 SG;PP;;B;
CH 69523376;45,8622673;9,0304225;69523376;69523376;Zincarlin Sagl;Lattecaldo;Zincarlin Sagl, Lattecaldo, 6835, Switzerland ;6835;6835 TI;PP;;B, C;
CH 6020;;;6020;70728398;Alpschaft Hahnemoos;;;3715;3715 BE;PP;;B, C, O;
CH 3166;;;3166;41564648;W. Herrmann;Richigenstrasse2;W. Herrmann, Richigenstrasse2, 3076, Switzerland ;3076;3076 BE;PP;;B, C, O;
CH 70555219;;;70555219;70555219;Milchsammelstelle Weesen;Marktgasse4;Milchsammelstelle Weesen, Marktgasse4, 8872, Switzerland ;8872;8872 SG;CC;;B;
CH 6012;46,7786629;7,8417774;6012;70728576;Alp Drüschhubel;Drüschhubel & Fall;Alp Drüschhubel, Drüschhubel & Fall, 3619, Switzerland ;3619;3619 BE;PP;;B, C, O;
