Vet. approval No.	Name of establishment	Region	Adress	Type of activity	Foreign/ domestic trade	adr2	lat	lng
01-001 V	MAXIMA LT, UAB	Vilniaus m.	Ukmergės g. 282	Butchers, CP;MM;MP	domestic trade	Ukmergės g. 282 , Vilniaus m. , Lithuania	54,7279129	25,238897
01-002 V	MAXIMA LT, UAB	Vilniaus m.	Kalvarijų 98	Butchers, CP;MM;MP	domestic trade	Kalvarijų 98 , Vilniaus m. , Lithuania	54,7045159	25,2829829
01-003 V	MAXIMA LT, UAB	Vilniaus m.	Mindaugo 11	Butchers, CP	domestic trade	Mindaugo 11 , Vilniaus m. , Lithuania	54,6780949	25,272716
01-004 V	"UAB ""Norfos mažmena"""	Vilniaus m.	Molėtų pl. 47b, Vilnius	Butchers, MC;MM;MP	domestic trade	Molėtų pl. 47b, Vilnius , Vilniaus m. , Lithuania	54,7725533	25,2720757
01-005V	UAB Čia market	Vilniaus m.	Kalvarijų g. 206, Vilnius	Butchers, CP,MP,MM	domestic trade	Kalvarijų g. 206, Vilnius , Vilniaus m. , Lithuania	54,723451	25,2807046
01-006 V	MAXIMA LT, UAB	Vilniaus m.	Šaltkalvių 2	Butchers, CP	domestic trade	Šaltkalvių 2 , Vilniaus m. , Lithuania	54,6613061	25,2727427
01-007 V	MAXIMA LT, UAB	Vilniaus m.	Sausio 13-osios 2, Vilnius	Butchers, CP	domestic trade	Sausio 13-osios 2, Vilnius , Vilniaus m. , Lithuania	54,6927158	25,2211897
01-008 V	"UAB ""Palink"""	Vilniaus m.	Kovo 11-osios g. 39b	Butchers, CP;MM;MP	domestic trade	Kovo 11-osios g. 39b , Vilniaus m. , Lithuania	54,6691647	25,0962748
01-009 V	"UAB ""Palink"""	Vilniaus m.	Žirmūnų g. 2	Butchers, CP;MM;MP	domestic trade	Žirmūnų g. 2 , Vilniaus m. , Lithuania	54,6973773	25,2989158
01-01	"UAB ""Baltic Air Logistics Terminal"""	Vilniaus m.	Rodūnios kelias 18, Vilnius	Cold stores, CS	 EU	Rodūnios kelias 18, Vilnius , Vilniaus m. , Lithuania	54,6377205	25,2778053
01-010 V	"UAB ""Palink"""	Vilniaus m.	Antakalnio 73	Butchers, CP;MM;MP	domestic trade	Antakalnio 73 , Vilniaus m. , Lithuania	54,7144529	25,316483
01-011 V	"UAB ""Palink"""	Vilniaus m.	Parko 34a	Butchers, CP;MM;MP	domestic trade	Parko 34a , Vilniaus m. , Lithuania	54,68588	25,425287
01-012 V	"UAB ""Palink"""	Vilniaus m.	Architektų 43/31	Butchers, CP;MM;MP	domestic trade	Architektų 43/31 , Vilniaus m. , Lithuania	54,6746768	25,2014827
01-013 V	"UAB ""Palink"""	Vilniaus m.	Antakalnio g. 42	Butchers, CP;MM;MP	domestic trade	Antakalnio g. 42 , Vilniaus m. , Lithuania	54,7033429	25,309623
01-014 V	"UAB ""Palink"""	Vilniaus m.	Sodų 22, Vilnius	Butchers, CP;MM;MP	domestic trade	Sodų 22, Vilnius , Vilniaus m. , Lithuania	54,670692	25,2817829
01-015 V	"UAB ""Palink"""	Vilniaus m.	Juodasis kelias 35A	Butchers, CP;MP;MM	domestic trade	Juodasis kelias 35A , Vilniaus m. , Lithuania	54,661948	25,3411849
01-016 V	Maxima LT, UAB	Vilniaus m.	Liepkalnio g. 112	Butchers, CP;MM;MP	domestic trade	Liepkalnio g. 112 , Vilniaus m. , Lithuania	54,6531542	25,3041989
01-017 V	"UAB ""Palink"""	Vilniaus m.	Nemenčinės pl. 2-101	Butchers, CP;MM;MP	domestic trade	Nemenčinės pl. 2-101 , Vilniaus m. , Lithuania	54,7242209	25,3199026
01-018 V	"UAB ""Rimi Lietuva"""	Vilniaus m.	L.Asanavičiutės g. 20/2	Butchers, CP;MM;MP	domestic trade	L.Asanavičiutės g. 20/2 , Vilniaus m. , Lithuania	54,6846452	25,2045406
01-019 V	"UAB ""Rimi Lietuva"""	Vilniaus m.	Saltoniškių g. 9	Butchers, CP;MM;MP	domestic trade	Saltoniškių g. 9 , Vilniaus m. , Lithuania	54,7003939	25,2577801
01-02	"RAB ""Salas zivis"""	Vilniaus m.	Liepsnos g. 4	Cold stores, CS;RW,WM	 EU	Liepsnos g. 4 , Vilniaus m. , Lithuania	54,6488558	25,2211887
01-020 V	"UAB ""Norfos mažmena"""	Vilniaus m.	Savanorių pr. 176	Butchers, CP;MM;MP	domestic trade	Savanorių pr. 176 , Vilniaus m. , Lithuania	54,6531547	25,2232849
01-022 V	"UAB ""Rimi Lietuva"""	Vilniaus m.	Architektų g. 19	Butchers, CP;MM;MP	domestic trade	Architektų g. 19 , Vilniaus m. , Lithuania	54,6737463	25,2131015
01-024 V	"UAB ""Rimi Lietuva"""	Vilniaus m.	Vydūno g. 4	Butchers, CP;MM;MP	domestic trade	Vydūno g. 4 , Vilniaus m. , Lithuania	54,7071095	25,188337
01-025 V	MAXIMA LT, UAB	Vilniaus m.	Ozo g. 25	Butchers, CP	domestic trade	Ozo g. 25 , Vilniaus m. , Lithuania	54,7103104	25,2626745
01-026 V	MAXIMA LT, UAB	Vilniaus m.	Taikos g. 162a	Butchers, CP,MP,MM	domestic trade	Taikos g. 162a , Vilniaus m. , Lithuania	54,7124039	25,215764
01-027 V	"UAB ""Rimi Lietuva"""	Vilniaus m.	Savanorių g. 16	Butchers, MC;MP;MM	domestic trade	Savanorių g. 16 , Vilniaus m. , Lithuania	54,6755121	25,2573114
01-028 V	"UAB ""Rimi Lietuva"""	Vilniaus m.	Žirmūnų g. 64	Butchers, CP;MM;MP	domestic trade	Žirmūnų g. 64 , Vilniaus m. , Lithuania	54,7123473	25,3021295
01-03	"UAB ""Gardumeli"""	Vilniaus m.	Arimų g. 35, Vilnius	Cold stores, CS;WM	 EU	Arimų g. 35, Vilnius , Vilniaus m. , Lithuania	54,7013133	25,4326135
01-030 V	"UAB ""Palink"""	Vilniaus m.	Jasinskio g. 16	Butchers, CP;MM;MP	domestic trade	Jasinskio g. 16 , Vilniaus m. , Lithuania	54,6881182	25,261523
01-031 V	MAXIMA LT, UAB	Vilniaus m.	Ukmergės pl . 369, Vilnius	Butchers, CP,MM,MP	domestic trade	Ukmergės pl . 369, Vilnius , Vilniaus m. , Lithuania	54,740111	25,2282119
01-032 V	"UAB ""Palink"""	Vilniaus m.	Jonažolių g.1	Butchers, CP;MM;MP	domestic trade	Jonažolių g.1 , Vilniaus m. , Lithuania	54,6667949	25,2149453
01-033V	"UAB ""Norfos mažmena"""	Vilniaus m.	Asanavičiutės g. 29	Butchers, CP;MM;MP	domestic trade	Asanavičiutės g. 29 , Vilniaus m. , Lithuania	54,6933019	25,2162869
01-034 V	"UAB ""Norfos mažmena"""	Vilniaus m.	Dariaus ir Girėno g. 81	Butchers, CP;MM;MP	domestic trade	Dariaus ir Girėno g. 81 , Vilniaus m. , Lithuania	54,6429974	25,2719978
01-035 V	"UAB ""Palink"""	Vilniaus m.	Stanevičiaus g. 23	Butchers, MC;MP;MM	domestic trade	Stanevičiaus g. 23 , Vilniaus m. , Lithuania	54,7239995	25,2551548
01-036 V	"UAB ""Norfos mažmena"""	Vilniaus m.	Ateities g. 48	Butchers, CP;MM;MP	domestic trade	Ateities g. 48 , Vilniaus m. , Lithuania	54,7301515	25,2470838
01-037 V	"UAB ""Norfos mažmena"""	Vilniaus m.	Ateities g. 10	Butchers, CP;MM;MP	domestic trade	Ateities g. 10 , Vilniaus m. , Lithuania	54,7373722	25,2692002
01-038	"UAB ""Norfos mažmena"""	Vilniaus m.	Genių g. 10A, Vilnius	Butchers,	domestic trade	Genių g. 10A, Vilnius , Vilniaus m. , Lithuania	54,688366	25,4214839
01-039 V	UAB Rimi Lietuva	Vilniaus m.	Ateities g. 91, Vilnius	Butchers, MM;MP;MC	domestic trade	Ateities g. 91, Vilnius , Vilniaus m. , Lithuania	54,7316497	25,2456968
01-04	UAB Proximus Global	Vilniaus m.	Sandėlių g. 44B, Vilnius	Cold stores, CS,RW,WM	 EU	Sandėlių g. 44B, Vilnius , Vilniaus m. , Lithuania	54,6565512	25,1231825
01-040V	UAB Palink	Vilniaus m.	Didlaukio g. 80A-101	Butchers,	domestic trade	Didlaukio g. 80A-101 , Vilniaus m. , Lithuania	54,7288686	25,2692911
01-041 V	"UAB ""Palink"""	Vilniaus m.	Sėlių g. 54/2	Butchers, CP;MM;MP	domestic trade	Sėlių g. 54/2 , Vilniaus m. , Lithuania	54,6981991	25,2476529
01-042 V	MAXIMA LT, UAB	Vilniaus m.	Gabijos g. 30,	Butchers, CP;MM;MP	domestic trade	Gabijos g. 30, , Vilniaus m. , Lithuania	54,735346	25,220607
01-043 V	"UAB ""Palink"""	Vilniaus m.	Viršuliškių g. 40	Butchers, CP;MM;MP	domestic trade	Viršuliškių g. 40 , Vilniaus m. , Lithuania	54,7080429	25,227629
01-044 V	"UAB ""Palink"""	Vilniaus m.	Priegliaus g. 1, Vilnius	Butchers, MP;CP;MM	domestic trade	Priegliaus g. 1, Vilnius , Vilniaus m. , Lithuania	54,7098956	25,1873492
01-045 V	"UAB ""Norfos mažmena"""	Vilniaus m.	Justiniškių g. 91, Vilnius	Butchers, CP;MM;MP	domestic trade	Justiniškių g. 91, Vilnius , Vilniaus m. , Lithuania	54,7175791	25,2229662
01-046 V	UAB Rimi Lietuva	Vilniaus m.	Zarasų g. 5A, Vilnius	Butchers,	domestic trade	Zarasų g. 5A, Vilnius , Vilniaus m. , Lithuania	54,681081	25,3123661
01-047 V	"UAB ""Norfos mažmena"""	Vilniaus m.	Laisvės pr. 82	Butchers, CP;MM;MP	domestic trade	Laisvės pr. 82 , Vilniaus m. , Lithuania	54,7240058	25,2328447
01-048 V	UAB Palink	Vilniaus m.	Bajorų kelias 4, Vilnius	Butchers,	domestic trade	Bajorų kelias 4, Vilnius , Vilniaus m. , Lithuania	54,7546249	25,262011
01-049 V	"UAB ""Palink"""	Vilniaus m.	Jeruzalės g. 17, Vilnius	Butchers, CP;MM;MP	domestic trade	Jeruzalės g. 17, Vilnius , Vilniaus m. , Lithuania	54,7431369	25,278752
01-05	"UAB ""Galjana"""	Vilniaus m.	Untulio g. 6	Meat, PP;mp;CP;MM	 EU	Untulio g. 6 , Vilniaus m. , Lithuania	54,6759715	25,2867414
01-050 V	"UAB ""Palink"""	Vilniaus m.	Geležinio vilko g. 9A	Butchers, CP,MM,MP	domestic trade	Geležinio vilko g. 9A , Vilniaus m. , Lithuania	54,671513	25,239941
01-051 V	UAB Palink	Vilniaus m.	Žirmūnų g. 106E-1	Butchers, CP;MM;MP	domestic trade	Žirmūnų g. 106E-1 , Vilniaus m. , Lithuania	54,726101	25,298657
01-052 V	"UAB ""Palink"""	Vilniaus m.	Švitrigailos g. 29	Butchers, CP;MM;MP	domestic trade	Švitrigailos g. 29 , Vilniaus m. , Lithuania	54,6709	25,2692888
01-053V	UAB Rimi Lietuva	Vilniaus m.	Ukmergės g. 233, Vilnius	Butchers,	domestic trade	Ukmergės g. 233, Vilnius , Vilniaus m. , Lithuania	54,7208487	25,2455436
01-054 V	"UAB ""Palink"""	Vilniaus m.	Šeškinės g. 32	Butchers, CP;MM;MP	domestic trade	Šeškinės g. 32 , Vilniaus m. , Lithuania	54,7155242	25,2454198
01-055V	"UAB ""Rimi Lietuva"""	Vilniaus m.	Linkmenų g. 22	Butchers, CP;MM;MP	domestic trade	Linkmenų g. 22 , Vilniaus m. , Lithuania	54,7050309	25,2680058
01-056 V	"UAB ""Gurmano šypsnys"""	Vilniaus m.	Ulonų g. 5	Butchers, CP;MM;MP	domestic trade	Ulonų g. 5 , Vilniaus m. , Lithuania	54,7099117	25,2923169
01-057 V	"UAB ""Palink"""	Vilniaus m.	Povilaičio g. 20	Butchers, MM;CP;MP	domestic trade	Povilaičio g. 20 , Vilniaus m. , Lithuania	54,6971611	25,2217368
01-057V	Maxima Lt UAB	Vilniaus m.	Laisvės pr. 26, Vilnius	Butchers,	domestic trade	Laisvės pr. 26, Vilnius , Vilniaus m. , Lithuania	54,6903398	25,2123392
01-058 V	"UAB ""Palink"""	Vilniaus m.	Kapsų g. 22	Butchers, CP;MP;MM	domestic trade	Kapsų g. 22 , Vilniaus m. , Lithuania	54,6611522	25,2778952
01-06	"UAB ""Eladus"""	Vilniaus m.	Titnago g. 8B, Vilnius	Cold stores, CS; WM	 EU	Titnago g. 8B, Vilnius , Vilniaus m. , Lithuania	54,6455081	25,1939325
01-061 V	"UAB ""Rimi Lietuva"""	Vilniaus m.	Kareivių g. 11	Butchers, CP;MM;MP	domestic trade	Kareivių g. 11 , Vilniaus m. , Lithuania	54,7178691	25,2989307
01-062 V	"UAB ""Kepsnių tiekimas"""	Vilniaus m.	Gedimino pr. 9, Vilnius	Butchers, CP;MM;MP	domestic trade	Gedimino pr. 9, Vilnius , Vilniaus m. , Lithuania	54,6872407	25,2818468
01-063 V	MAXIMA LT, UAB	Vilniaus m.	Pilaitės pr. 31	Butchers, CP;MP;MM	domestic trade	Pilaitės pr. 31 , Vilniaus m. , Lithuania	54,7096676	25,1883772
01-064 V	MAXIMA LT, UAB	Vilniaus m.	Tuskulėnų g. 66, Vilnius	Butchers, CP;MM;MP	domestic trade	Tuskulėnų g. 66, Vilnius , Vilniaus m. , Lithuania	54,702061	25,2888669
01-066V	UAB Gurmano šypsnys	Vilniaus m.	Kalvarijų g. 61, Vilnius	Butchers,	domestic trade	Kalvarijų g. 61, Vilnius , Vilniaus m. , Lithuania	54,6995647	25,28296
01-067 V	"UAB ""Norfos mažmena"""	Vilniaus m.	Ukmergės g. 298	Butchers, CP;MM;MP	domestic trade	Ukmergės g. 298 , Vilniaus m. , Lithuania	54,7376608	25,2292901
01-068 V	"UAB ""Palink"""	Vilniaus m.	Rygos g. 41, Vilnius	Butchers, CP;MM;MP	domestic trade	Rygos g. 41, Vilnius , Vilniaus m. , Lithuania	54,7189758	25,2156442
01-07	"UAB ""Laržena"""	Vilniaus m.	Ševčenkos g. 16	Cold stores, CS, WM	 EU	Ševčenkos g. 16 , Vilniaus m. , Lithuania	54,6773907	25,267095
01-070 V	MAXIMA LT, UAB	Vilniaus m.	Viršuliškių g. 30	Butchers, MM;MP;CP	domestic trade	Viršuliškių g. 30 , Vilniaus m. , Lithuania	54,7095112	25,2221312
01-071 V	MAXIMA LT, UAB	Vilniaus m.	J. Tiškevičiaus g. 22, Trakų Vokė,	Butchers, CP;MM;MP	domestic trade	J. Tiškevičiaus g. 22, Trakų Vokė, , Vilniaus m. , Lithuania	54,6241647	25,1096935
01-072 V	MAXIMA LT, UAB	Vilniaus m.	Žvirkos g.1	Butchers, CP,MP,MM	domestic trade	Žvirkos g.1 , Vilniaus m. , Lithuania	54,6055336	25,262155
01-073 V	"UAB ""Palink"""	Vilniaus m.	Mindaugo g. 25	Butchers, CP;MM;MP	domestic trade	Mindaugo g. 25 , Vilniaus m. , Lithuania	54,6732364	25,274738
01-074V	"UAB ""Gurmano šypsnys"""	Vilniaus m.	Žemynos g. 18, Vilnius	Butchers,	domestic trade	Žemynos g. 18, Vilnius , Vilniaus m. , Lithuania	54,7269217	25,232931
01-077V	UAB Palink	Vilniaus m.	Visalaukio g. 1, Vilnius	Butchers,	domestic trade	Visalaukio g. 1, Vilnius , Vilniaus m. , Lithuania	54,7786138	25,3416827
01-078 V	"UAB ""Kepsnių tiekimas"""	Vilniaus m.	Linkmenų g. 22, Vilnius	Butchers, CP,MM,MP	domestic trade	Linkmenų g. 22, Vilnius , Vilniaus m. , Lithuania	54,7050309	25,2680058
01-079 V	"UAB ""Rimi Lietuva"""	Vilniaus m.	Rygos g. 8	Butchers, CP;MM;MP	domestic trade	Rygos g. 8 , Vilniaus m. , Lithuania	54,7155893	25,2249052
01-08	"UAB ""Vilniaus bakalėja"""	Vilniaus m.	Kirtimų g. 47B	Cold stores, CS	 EU  RU	Kirtimų g. 47B , Vilniaus m. , Lithuania	54,6241541	25,1513141
01-080 V	"UAB ""Rimi Lietuva"""	Vilniaus m.	Molėtų pl. 49	Butchers, CP,MM,MP	domestic trade	Molėtų pl. 49 , Vilniaus m. , Lithuania	54,773728	25,2729011
01-081 V	MAXIMA LT UAB	Vilniaus m.	Konstitucijos pr. 7A, Vilnius	Butchers, CP,MM,MP	domestic trade	Konstitucijos pr. 7A, Vilnius , Vilniaus m. , Lithuania	54,6963274	25,2766535
01-082 V	"UAB ""Rimi Lietuva"""	Vilniaus m.	Vikingų g. 3,	Butchers, CP;MM;MP	domestic trade	Vikingų g. 3, , Vilniaus m. , Lithuania	54,651546	25,277824
01-083 V	UAB Norfos mažmena	Vilniaus m.	Kovaliuko g. 6, Vilnius	Butchers,	domestic trade	Kovaliuko g. 6, Vilnius , Vilniaus m. , Lithuania	54,6976929	25,210926
01-083 Ž	Skirmantės Stankūnienės individuali veikla	Vilniaus m.	Tarandės g. 9, Vilnius	The producer of small quantities,	domestic trade	Tarandės g. 9, Vilnius , Vilniaus m. , Lithuania	54,7504559	25,208119
01-084V	"UAB ""Rimi Lietuva"""	Vilniaus m.	Šiaurės g. 37, Vilnius	Butchers,	domestic trade	Šiaurės g. 37, Vilnius , Vilniaus m. , Lithuania	54,70064	25,409924
01-085V	UAB VALJU	Vilniaus m.	Pylimo g. 58, Vilnius	Butchers,	domestic trade	Pylimo g. 58, Vilnius , Vilniaus m. , Lithuania	54,67367	25,2860799
01-085V	UAB VALJU	Vilniaus m.	Pylimo g. 58, Vilnius	Butchers,	domestic trade	Pylimo g. 58, Vilnius , Vilniaus m. , Lithuania	54,67367	25,2860799
01-086 V	UAB Norfos mažmena	Vilniaus m.	Minsko pl. 3, Vilnius	Butchers,	domestic trade	Minsko pl. 3, Vilnius , Vilniaus m. , Lithuania	54,6518369	25,305864
01-086 V	UAB Norfos mažmena	Alytaus m.	Minsko pl. 3, Vilnius	Butchers,	domestic trade	Minsko pl. 3, Vilnius , Alytaus m. , Lithuania	54,6518369	25,305864
01-086 V	UAB Norfos mažmena	Alytaus m.	Minsko pl. 3, Vilnius	Butchers,	domestic trade	Minsko pl. 3, Vilnius , Alytaus m. , Lithuania	54,6518369	25,305864
01-087V	"UAB ""Mėsytė"""	Vilniaus m.	Vokiečių g. 11, Vilnius	Butchers,	domestic trade	Vokiečių g. 11, Vilnius , Vilniaus m. , Lithuania	54,6797453	25,2838923
01-088V	Maxima LT, UAB	Vilniaus m.	Naugarduko g. 84, Vilnius	Butchers,	domestic trade	Naugarduko g. 84, Vilnius , Vilniaus m. , Lithuania	54,6694736	25,2584932
01-089V	UAB Senoji mėsinė	Vilniaus m.	Ukmergės g. 233, Vilnius	Butchers,	domestic trade	Ukmergės g. 233, Vilnius , Vilniaus m. , Lithuania	54,7208487	25,2455436
01-09	"UAB ""Grialtis"""	Vilniaus m.	Kelmiškių g. 15	Cold stores, CS	 EU	Kelmiškių g. 15 , Vilniaus m. , Lithuania	54,746701	25,1803199
01-090 V	UAB Norfos mažmena	Vilniaus m.	Parodų g. 1A, Vilnius	Butchers,	domestic trade	Parodų g. 1A, Vilnius , Vilniaus m. , Lithuania	54,673416	25,2241269
01-091 V	Maxima LT, UAB	Vilniaus m.	Lakūnų g. 24, Vilnius	Butchers,	domestic trade	Lakūnų g. 24, Vilnius , Vilniaus m. , Lithuania	54,7146318	25,2981592
01-092V	UAB Minona	Vilniaus m.	Kirtimų g. 49, Vilnius	Butchers,	domestic trade	Kirtimų g. 49, Vilnius , Vilniaus m. , Lithuania	54,6216306	25,1544367
01-093V	UAB Norfos mažmena	Vilniaus m.	Kalvarijų g. 151, Vilnius	Butchers,	domestic trade	Kalvarijų g. 151, Vilnius , Vilniaus m. , Lithuania	54,721272	25,2884287
01-094	UAB Penktas skonis	Vilniaus m.	Verkių g. 29,1a	Butchers,	domestic trade	Verkių g. 29,1a , Vilniaus m. , Lithuania	54,7136837	25,2941534
01-095V	UAB Skanuma	Vilniaus m.	Liepkalnio g. 1-19	Butchers,	domestic trade	Liepkalnio g. 1-19 , Vilniaus m. , Lithuania	54,67078	25,29194
01-097 Ž	UAB Karosas	Vilniaus m.	Gariūnų g. 56, Vilnius	The producer of small quantities,	domestic trade	Gariūnų g. 56, Vilnius , Vilniaus m. , Lithuania	54,6614909	25,162522
01-099 V	UAB Mėsos meniu	Vilniaus m.	Viršuliškių g. 40, Vilnius	Butchers,	domestic trade	Viršuliškių g. 40, Vilnius , Vilniaus m. , Lithuania	54,7080429	25,227629
01-10	"UAB ""Gardumeli"""	Vilniaus m.	Retkonių g. 4	Other establishments, PP;sn	 EU  BY	Retkonių g. 4 , Vilniaus m. , Lithuania	54,7027088	25,4397673
01-100 V	UAB Palink	Vilniaus m.	Gabijos g. 34, Vilnius	Butchers,	domestic trade	Gabijos g. 34, Vilnius , Vilniaus m. , Lithuania	54,7354892	25,2233927
01-11	"UAB ""Maisto ūkis"""	Vilniaus m.	Eišiškių pl. 26	Meat, MP,MM	 EU	Eišiškių pl. 26 , Vilniaus m. , Lithuania	54,6423259	25,2635105
01-12	"AB ""Žemaitijos pienas"""	Vilniaus m.	Algirdo g. 40/13	Cold stores, CS,RW,WM	 EU	Algirdo g. 40/13 , Vilniaus m. , Lithuania	54,6727216	25,2732414
01-13	"UAB ""M logistika"""	Vilniaus m.	Kirtimų g. 57B	Cold stores, CS;WM	 EU	Kirtimų g. 57B , Vilniaus m. , Lithuania	54,6182012	25,1520557
01-14	"UAB ""Ferogama"""	Vilniaus m.	Agrastų g. 2, Vilnius	Cold stores, WM	 EU	Agrastų g. 2, Vilnius , Vilniaus m. , Lithuania	54,6293996	25,1804629
01-15	"UAB ""Palink"""	Vilniaus m.	Kirtimų g. 57	Fishery establishments, PP,RW	 EU	Kirtimų g. 57 , Vilniaus m. , Lithuania	54,6191507	25,1535209
01-16	"UAB ""Litcargus"""	Vilniaus m.	Rodūnios kelias 2, Vilnius	Cold stores, CS	 EU	Rodūnios kelias 2, Vilnius , Vilniaus m. , Lithuania	54,6430459	25,279819
01-17	"UAB ""Darsela"""	Vilniaus m.	Titnago 15	Other establishments, st	 EU	Titnago 15 , Vilniaus m. , Lithuania	54,6468309	25,1920469
01-18	"UAB ""Sunnyfrost"""	Vilniaus m.	Kelmiškių g. 15, Vilniaus	Meat, MP	 EU	Kelmiškių g. 15, Vilniaus , Vilniaus m. , Lithuania	54,746701	25,1803199
01-19	"UAB ""GARAI"""	Vilniaus m.	Gariūnų g. 70, Vilnius	Meat, PP,mp;CP;MM,MP	 EU	Gariūnų g. 70, Vilnius , Vilniaus m. , Lithuania	54,6592332	25,1551615
01-20	"UAB ""Našmita"""	Vilniaus m.	Ukrainiečių g. 32, Vilnius	Meat, PP,mp	 EU	Ukrainiečių g. 32, Vilnius , Vilniaus m. , Lithuania	54,6464633	25,3564505
01-21	"UAB ""Žuvies šaldytuvai"""	Vilniaus m.	V. A. Graičiūno 22	Cold stores, CS;WM,RW	 EU	V. A. Graičiūno 22 , Vilniaus m. , Lithuania	54,6165553	25,1520509
01-22	"UAB ""Vireka"""	Vilniaus m.	Ukmergės g. 128, Vilnius	Cold stores, CS,WM	 EU	Ukmergės g. 128, Vilnius , Vilniaus m. , Lithuania	54,7026391	25,2569628
01-23	"UAB ""Togri"""	Vilniaus m.	Pelėsos g. 3, Vilnius	Meat, PP,mp	 EU	Pelėsos g. 3, Vilnius , Vilniaus m. , Lithuania	54,666259	25,2777929
01-24 V	MAXIMA LT, UAB	Vilniaus m.	Savanorių g. 247, Vilnius	Butchers, CP;MP;MM	domestic trade	Savanorių g. 247, Vilnius , Vilniaus m. , Lithuania	54,656584	25,1387791
01-25	"AB ""Pieno žvaigždės"""	Vilniaus m.	Justiniškių g. 134	Cold stores, CS;RW	 EU	Justiniškių g. 134 , Vilniaus m. , Lithuania	54,7294329	25,212908
01-26	"UAB ""Grialtis"""	Vilniaus m.	Geležinio vilko g. 2, Vilnius	Cold stores, CS	 EU	Geležinio vilko g. 2, Vilnius , Vilniaus m. , Lithuania	54,6735506	25,2401424
01-27	"MB ""Rūkyklėlė"""	Vilniaus m.	Dūmų g.3, Vilnius	Meat, PP,mp	 EU	Dūmų g.3, Vilnius , Vilniaus m. , Lithuania	54,6927259	25,4022909
01-28	"UAB ""Modepa"""	Vilniaus m.	Strazdų g. 4, Vilnius	Meat, CP;MM;MP;PP,mp	 EU	Strazdų g. 4, Vilnius , Vilniaus m. , Lithuania	54,577208	25,1701879
01-29	"UAB ""Abela"""	Vilniaus m.	Kirtimų g. 53	Cold stores, CS;WM	 EU	Kirtimų g. 53 , Vilniaus m. , Lithuania	54,6196346	25,156832
01-30	"UAB ""Vilniaus tranzitas"""	Vilniaus m.	Jurgio Dobkevičiaus g.7, Vilnius	Cold stores, CS;WM	 EU  RU	Jurgio Dobkevičiaus g.7, Vilnius , Vilniaus m. , Lithuania	54,6407355	25,2716232
01-31	"UAB ""Baltic Foods"""	Vilniaus m.	Kirtimų g. 57A, Vilnius	Cold stores, CS,RW,WM	 EU	Kirtimų g. 57A, Vilnius , Vilniaus m. , Lithuania	54,6190754	25,1543984
01-32	"UAB ""Premuita"""	Vilniaus m.	Kirtimų g. 69, Vilnius	Cold stores, CS;RW;WH	 EU	Kirtimų g. 69, Vilnius , Vilniaus m. , Lithuania	54,6145458	25,1603745
01-33	"UAB ""Eugesta"""	Vilniaus m.	Kibirkšties g.8	Cold stores, CS;WH	 EU	Kibirkšties g.8 , Vilniaus m. , Lithuania	54,6334481	25,1837325
01-34	"UAB ""Vilniaus Citma"""	Vilniaus m.	Kirtimų g. 57A, Vilnius	Cold stores, CS,WM	 EU	Kirtimų g. 57A, Vilnius , Vilniaus m. , Lithuania	54,6190754	25,1543984
01-35 P	"UAB ""Litamilk"""	Vilniaus m.	Kirtimų g. 49	Milk establishments, WH;PP	 EU	Kirtimų g. 49 , Vilniaus m. , Lithuania	54,6216306	25,1544367
01-36	"Gintaro Bičkaus įm.""Rengmė"""	Vilniaus m.	L.Asanavičiutės g. 5A	Cold stores, CS;RW	 EU	L.Asanavičiutės g. 5A , Vilniaus m. , Lithuania	54,6829283	25,1997154
01-39	"UAB ""Bardra"""	Vilniaus m.	Sandėlių g. 38,	Cold stores, CS;WH	 EU	Sandėlių g. 38, , Vilniaus m. , Lithuania	54,658489	25,1219788
01-46	"UAB ""Asia Food"""	Vilniaus m.	S.Dariaus ir S.Girėno g. 42, Vilnius	Cold stores, CS,WH	 EU	S.Dariaus ir S.Girėno g. 42, Vilnius , Vilniaus m. , Lithuania	54,64965	25,274443
11-001 V	"UAB ""Palink"""	Alytaus m.	Naujoji g. 2c, Alytus	Butchers, CP;MM;MP	domestic trade	Naujoji g. 2c, Alytus , Alytaus m. , Lithuania	54,3963979	24,0360158
11-002	UAB Norfos mažmena	Alytaus m.	A.Jonyno g.10C, Alytus	Butchers,	domestic trade	A.Jonyno g.10C, Alytus , Alytaus m. , Lithuania	54,4123735	24,0234141
11-002 V	"UAB ""Palink"""	Alytaus m.	Juozapavičiaus g. 13, Alytuje	Butchers, CP;MM;MP	domestic trade	Juozapavičiaus g. 13, Alytuje , Alytaus m. , Lithuania	54,4035616	24,0599757
11-003 V	MAXIMA LT, UAB	Alytaus m.	Naujoji g. 90-2, Alytus	Butchers, CP;MM;MP	domestic trade	Naujoji g. 90-2, Alytus , Alytaus m. , Lithuania	54,4089113	24,0174368
11-004	Magomed Salam Velijev individuali veikla	Alytaus m.	Naujoji g.8, Alytus	Butchers,	domestic trade	Naujoji g.8, Alytus , Alytaus m. , Lithuania	54,3971307	24,0304341
11-004 V	"UAB ""Rimi Lietuva"""	Alytaus m.	Naujoji g. 7e/Ūdrijos g. 1	Butchers, CP;MM;MP	domestic trade	Naujoji g. 7e/Ūdrijos g. 1 , Alytaus m. , Lithuania	54,4075425	24,0181603
