Vet. approval No.	Name of establishment	Region	Adress	Type of activity	Foreign/ domestic trade	adr2	lat	lng
36-124P	"AB ""Pieno žvaigždės"" fil. Pasvalio sūrinė Skrebiškių pieno s. p."	Biržų raj.	Biržų r., Skrebiškių k.	Milk collection point,	 EU	Biržų r., Skrebiškių k. , Biržų raj. , Lithuania	56,146428	25,0447589
36-125P	"AB ""Pieno žvaigždės"" fil. Pasvalio sūrinė Suosto pieno s. p."	Biržų raj.	Biržų r., Suosto k.	Milk collection point,	 EU	Biržų r., Suosto k. , Biržų raj. , Lithuania		
36-134P	"AB ""Pieno žvaigždės"" fil. Pasvalio sūrinė Liesiškio pieno s. p."	Biržų raj.	Biržų r., Liesiškio k.	Milk collection point,	 EU	Biržų r., Liesiškio k. , Biržų raj. , Lithuania		
36-137P	"AB ""Pieno žvaigždės"" fil. Pasvalio sūrinė Užušilių pieno s. p."	Biržų raj.	Biržų r., Užušilių k.	Milk collection point,	 EU	Biržų r., Užušilių k. , Biržų raj. , Lithuania	56,3167433	24,7991306
36-140P	"AB ""Pieno žvaigždės"" fil. Pasvalio sūrinė Anciškių pieno s. p."	Biržų raj.	Biržų r., Anciškių k.	Milk collection point,	 EU	Biržų r., Anciškių k. , Biržų raj. , Lithuania	55,9749898	24,666667
36-141	"AB ""Rokiškio sūris"" Kirkilų pieno supirkimo punktas"	Biržų raj.	Biržų r., Kirkilų k.	Milk collection point,	 EU	Biržų r., Kirkilų k. , Biržų raj. , Lithuania	56,242505	24,6926311
36-143	"AB ""Rokiškio sūris"" Anciškių pieno supirkimo punktas"	Biržų raj.	Biržų r., Anciškių k.	Milk collection point,	 EU	Biržų r., Anciškių k. , Biržų raj. , Lithuania	55,9749898	24,666667
36-144	"AB ""Rokiškio sūris"" Anglininkų pieno sup. punktas"	Biržų raj.	Biržų r., Anglininkų k.	Milk collection point,	 EU	Biržų r., Anglininkų k. , Biržų raj. , Lithuania	56,1319579	24,850741
36-148	"AB ""Rokiškio sūris"" Geidžiūnų pieno supirkimo punktas"	Biržų raj.	Biržų r., Geidžiūnų k.	Milk collection point,	 EU	Biržų r., Geidžiūnų k. , Biržų raj. , Lithuania	56,1097619	24,810757
36-149	"AB ""Rokiškio sūris"" Germaniškio pieno supirkimo punktas"	Biržų raj.	Biržų r., Germaniškio k.	Milk collection point,	 EU	Biržų r., Germaniškio k. , Biržų raj. , Lithuania	56,3750129	24,649024
