Nº RGSEAA; Razón Social;Provincia/Localidad;lat;lng;Actividades;Especies;Otros Detalles
10.08559/C;ESPERANTE LENS MARIA TERESA;Coruña, A/RIANXO;42.6488711;-8.8173676;RW, PP;;MP
10.08560/SA;SEBASTIAN CREGO, S.L.;Salamanca/GUIJUELO;40.5575663;-5.6715735;CS, CP, PP;;MP
10.08561/HU;ROS BERGUA, S.L.;Huesca/BENABARRE;42.1085503;0.4822435;CS, MM, MP, PP;;MP
10.08572/GR;CHACINERIA MONACHIL S.L.;Granada/MONACHIL;37.1324336;-3.5395284;SH, CP;P, B, C, O;
10.08579/SG;C. B. EMBUTIDOS LA MATILLANA;Segovia/MATILLA (LA);41.1907758;-3.7960009;PP;;MP
10.08580/LE;EMBUTIDOS ARAU, S. A.;León/SAN MIGUEL DEL CAMINO;42.5630909;-5.6971302;PP;;MP
10.08586/V;AVES CASAÑ, S.L.;Valencia/València/BENAGUASIL;39.5942907;-0.588849;CS, CP, MM, MP, PP;;MP
10.08589/GR;CARMONA VARON, ANTONIO;Granada/VALLE DEL ZALABI;37.27522455;-3.0672116328;CP, PP;;MP
10.08592/SE;S. COOP. ANDALUZA CARNICERIA, CHARCUTERIA, FRUTERIA CAMPILLOS;Sevilla/CORRALES (LOS);37.6996333;-6.4052411;CS, MM, MP, PP;;MP
10.08594/V;Jamones Moreno s.l;Valencia/València/QUART DE POBLET;39.4827253;-0.4438854;RW, PP;;MP
10.08596/TO;JAMONES EL CHATO, S.A.;Toledo/TORRIJOS;39.9811627;-4.2805629;PP;;MP
10.08601/GR;C.B. CARNICERIA CASTILLO LOPEZ;Granada/CASTILLEJAR;37.7178363;-2.6426794;PP;;MP
10.08605/A;MARTIN Y SANTIAGO, S.L.;Alicante/Alacant/ALICANTE/ALACANT;38.37564915;-0.5314365255;CP;;
10.08607/J;FAMILIA RUIZ S.L.;Jaén/BAEZA;37.9945171;-3.4708163;RW, PP;;ST
10.08609/TE;JAMONES HERMANOS VIVAS, S.L;Teruel/MORA DE RUBIELOS;40.2515738;-0.7533922;RW;;MP
10.08615/CO;SOCIEDAD COOPERATIVA ANDALUZA LIMITADA HERMANOS CAZANI;Córdoba/CASTRO DEL RIO;37.6911602;-4.4826954;MM, MP, PP;;MP
10.08618/SG;CARNES NATURALES SEGOVIANAS, S. L.;Segovia/CARBONERO EL MAYOR;41.1223601;-4.2652816;SH, CP;P, C, O;
