Nº RGSEAA; Razón Social;Provincia/Localidad;lat;lng;Actividades;Especies;Otros Detalles
10.00005/TE;CENTELLES LORENZ, ALEJANDRO;Teruel/IGLESUELA DEL CID (LA);40.4815241;-0.3193745;PP;;MP
10.00006/GE;CARNICAS VALL DE BAS SL;Girona/VALL D'EN BAS (LA);42.24141245;2.4326425163;CS, SH, CP;B;
10.00010/BI;GARCIA VERDUGO, S.A.;Bizkaia/BILBAO;43.2629642;-2.9349478;PP;;MP
10.00011/CS;CANTAVELLA VENTURA, FRANCISCO;Castellón/Castelló/CASTELLON DE LA PLANA;39.9859953;-0.0374353;PP;;MP
10.00018/SA;PRODUCTOS IBERICOS CALDERON Y RAMOS, S. L.;Salamanca/GUIJUELO;40.5575663;-5.6715735;CS, RW, SH, CP, PP;P;MP
10.00023/L;MATADERO FIGUERA SA;Lleida/AGRAMUNT;41.7876693;1.0986828;SH, CP;L;
10.00024/CR;PRAXEDES EMBUTIDOS Y JAMONES, S.L.;Ciudad Real/SOCUELLAMOS;39.2834014;-2.7904645;RW, PP;;MP
10.00025/TE;JAMONES MANZANERA, S.L.;Teruel/MANZANERA;40.0577849;-0.8302624;RW, PP;;MP
10.00028/TE;S.A.T.Nº2178 JAMONES GARGALLO;Teruel/ALBENTOSA;40.1022624;-0.767731;PP;;MP
10.00037/SE;ASOCIACION AGROALIMENTARIA DEL SUR;Sevilla/SEVILLA;37.3886303;-5.9953171;CP;;
10.00043/BA;GARCIA MIMBRERO C.B.;Badajoz/FUENTE DE CANTOS;38.2464796;-6.3072504;SH, CP, PP;P;MP
10.00044/BU;JUAN MARTIN DE LA FUENTE CUESTA;Burgos/POZA DE LA SAL;42.6669682;-3.5018934;PP;;MP
10.00048/TE;TUROTRANS, S.A;Teruel/SANTA EULALIA;40.54576115;-1.3322166477;SH, CP, PP;A;MP
10.00056/GE;CONILLS DE L'EMPORDA SL;Girona/VILOPRIU;42.1044175;2.9919182;SH;L;
10.00060/L;MATILDE MASANA, SL;Lleida/SEU D'URGELL (LA);42.3575723;1.4560067;SH;L;
10.00080/B;MIQUEL ALIMENTACIO GRUP SA;Barcelona/MONTCADA I REIXAC;41.4800277;2.1873031;CP, MM, MP;;
10.00083/SA;CARNICAS RODRIGUEZ G. DEL AGUILA S.L.;Salamanca/GUIJUELO;40.5575663;-5.6715735;PP;;MP
10.00092/TO;CAMPOFRIO FOOD GROUP, S.A.;Toledo/TORRIJOS;39.9811627;-4.2805629;PP;;MP
10.00100/TE;JAMONES Y CECINAS R.DOMINGO S.L;Teruel/IGLESUELA DEL CID (LA);40.4815241;-0.3193745;PP;;MP
10.00102/TE;DAUDEN ZAERA, ABEL .;Teruel/FORTANETE;40.5053944;-0.5207609;PP;;MP
10.00103/BA;MATADERO DE OLIVENZA S.L.;Badajoz/OLIVENZA;38.61989515;-7.133416672;PP;;MP
10.00108/GR;JAMONES QUESADA CARPIO S.L.;Granada/CANILES;37.4341991;-2.7245038;PP;;MP
10.00113/NA;EDMAR, S.A.;Navarra/CASCANTE;41.9994531;-1.6789882;CS, SH, CP;P, O;
10.00114/GC;NIETA DE JUAN SANTANA PERERA, S.L.;Palmas, Las/PALMAS DE GRAN CANARIA (LAS);28.1287799;-15.4350514;RW, CP, PP;;MP
10.00115/B;ARCADIE ESPAÑA SLU;Barcelona/TERRASSA;41.5697302;2.0132071;RW, CP, MM, MP;;
10.00116/GR;HERMANOS LOPEZ RODRIGUEZ C.B.;Granada/PINOS PUENTE;37.2520549;-3.7503961;PP;;MP
10.00117/LE;GESTION INTEGRAL DE CARNE PORCINA, S.L.;León/SAN ROMAN DE BEMBIBRE;42.6235021;-6.4351426;CS, CP;;
10.00119/TE;GARGALLO MORA S.L.;Teruel/MORA DE RUBIELOS;40.2515738;-0.7533922;RW, PP;;MP
10.00120/AL;INDUSTRIAS CARNICAS CAMPO HERMOSO S.L.;Almería/NIJAR;36.965624;-2.2077184;CP, MM, MP, PP;;MP
10.00121/B;CASA TARRADELLAS SA;Barcelona/GURB;41.941144;2.2426161;MSM, PP;;MP
10.00126/GE;CARNICAS J. SITJA SA;Girona/OLOT;42.1821928;2.4890165;CP, MSM;;
10.00130/T;PABLO Y ANTONIO ARROYO SL;Tarragona/VENDRELL (EL);41.216936;1.5340695;CS, CP, MM, MP, PP;;MP
10.00135/NA;LA PROTECTORA S.A.;Navarra/PAMPLONA/IRUÑA;42.8185502;-1.6444165;CS, SH, CP, PP;P, B, C, O, S;BL
10.00139/CS;JAMONES GARCERAN S.L.;Castellón/Castelló/SEGORBE;39.8519011;-0.4895537;PP;;MP
10.00140/B;PRODUCTOS SELECTOS DEL CERDO S.A. â€œLA PIARAâ€œ;Barcelona/GRANOLLERS;41.6079555;2.2876008;SH;L;
10.00144/L;MORROS FILLS SL;Lleida/ARTESA DE SEGRE;41.8962914;1.0471121;SH;L;
10.00145/NA;UVE, S.A.;Navarra/TUDELA;42.0639202;-1.6051916;CS, SH, CP, MM, MP, MSM;A;
10.00148/B;MARGÓ CANUDAS, JOAN;Barcelona/PUIG-REIG;41.9740223;1.8788684;MM, MP, PP;;MP
10.00159/H;SANCHEZ ROMERO CARVAJAL JABUGO S.A.;Huelva/JABUGO;37.9167323;-6.7285322;SH, CP, PP;P;MP
10.00163/AV;AN AVICOLA MELIDA S.L.;Ávila/AVILA;40.6565163;-4.6998361;CS, RW, SH, CP, MM, MP;A;MP
10.00167/TE;JAMONES ALTO MAESTRAZGO,S.L;Teruel/CANTAVIEJA;40.525424;-0.4053257;RW, PP;;MP
10.00169/LU;ATILANO ANLLO, S.L.;Lugo/VILALBA;43.2378313;-7.1388641;RW, PP;;MP
10.00172/MU;ANTONIO Y BENJAMIN PEREZ MARTINEZ CB;Murcia/NAVARES;38.0356973;-1.9339049;SH;L;
10.00181/MU;MATADERO DE AVES HIJOS DE JUAN PUJANTE;Murcia/BENIEL;38.0469055;-1.0012503;SH, CP, PP;A;
10.00184/TE;JAMONES DE ARAGON S.L.;Teruel/TERUEL;40.3436719;-1.1081939;PP;;MP
10.00187/O;FAMILA SA;Asturias/GRANDA;43.5019068;-5.6581421;MM, MP, PP;;MP
10.00188/CC;INDUSTRIAS CARNICAS PINAJARRO S.L.;Cáceres/HERVAS;40.2735125;-5.8588124;RW, PP;;MP
10.00195/VI;ARAGONESA DE PIENSOS, S.A.;Araba/Álava/BERANTEVILLA;42.682852;-2.8589445;SH, CP;A;
10.00198/VA;CHICKENVALL, S. L.;Valladolid/VALLADOLID;41.6521328;-4.728562;CS, CP;;
10.00203/LE;FRIGORIFICOS INDUSTRIALES DEL BIERZO,S.A;León/PONFERRADA;42.5454443;-6.5938924;RW, PP;;MP
10.00205/BU;INDUSTRIAS CARNICAS CASTELLANAS, S. A.;Burgos/BURGOS;42.343926;-3.696977;CS, SH, CP;P, B, C, O, S;
10.00213/MU;MERCADOS CENTRALES DE ABASTECIMIENTO DE MURCIA S.A.;Murcia/PALMAR (EL) O LUGAR DE DON JUAN;37.9388703;-1.1619192;SH;P, B, C, O;
10.00214/B;JOSEP DUCH SL;Barcelona/MEDIONA;41.47739425;1.6350184533;CS, CP, MM, MP, PP;;MP, ST
10.00220/GR;INDUSTRIAS CARNICAS ZURITA S.A.;Granada/ALBOLOTE;37.2306219;-3.6570779;CP, PP;;MP
10.00222/B;CARNS I VIANDES DE CANOVELLES SL;Barcelona/CANOVELLES;41.6173948;2.28288;CP, MM, MP, PP;;MP
10.00225/J;VIZCAINO NIETO, LEON;Jaén/SEGURA DE LA SIERRA;38.2982246;-2.6520753;PP;;MP
10.00232/V;SADA p.a. VALENCIA S.A.;Valencia/València/RAFELBUÑOL/RAFELBUNYOL;38.9325817;-0.1662624;CS, SH, CP, PP;A;BL
10.00234/LO;JUAN JOSE ALTUZARRA ARENZANA;Rioja, La/BAÑOS DE RIO TOBIA;42.3348282;-2.7612306;PP;;MP
10.00240/TO;HERMI CARNE DE CONEJO, S.L.U.;Toledo/TORRIJOS;39.9811627;-4.2805629;CS, CP, MM, MP;;
10.00241/LE;HUEVOS LEON S.L.;León/FERRAL DEL BERNESGA;42.615406;-5.6604701;CS, SH, CP, MM, MP, PP;A, L;MP
10.00246/Z;JAMONES EUTIQUIO S.L.;Zaragoza/CUARTE DE HUERVA;41.5935919;-0.9388829;PP;;MP
10.00249/TE;JAMONES EL RULLO, S.L;Teruel/VILLARLUENGO;40.6484615;-0.5309927;PP;;MP
10.00251/L;CARNICAS ORDOÑEZ SA;Lleida/VIELHA E MIJARAN;42.70765755;0.7747038854;MM, MP, PP;;MP
10.00253/T;AVICULTURA TECNICA SL;Tarragona/LLORENÇ DEL PENEDES;41.2808682;1.5526791;CS, SH, CP, MM, MP, PP;A;MP
10.00258/BI;PABLO DIEZ ANDINO, CASADO Y LOPEZ C.B.;Bizkaia/PORTUGALETE;43.3190797;-3.0201116;PP;;MP
10.00259/S;INDUSTRIA CARNICA SALAMI S.A.;Cantabria/SANTANDER;43.2597892;-3.8425464019;CP, PP;;MP
10.00262/V;SADA, P.A. VALENCIA, S.A.;Valencia/València/SUECA;39.2025604;-0.3111645;CS, SH, CP;A;
10.00263/B;JAMONES SALA SA;Barcelona/SANT QUIRZE DEL VALLES;41.530143;2.0820052;PP;;MP
10.00271/H;GABRIEL CASTAÑO S.L.;Huelva/CUMBRES MAYORES;38.0623177;-6.6466238;RW, PP;;MP
10.00272/L;SADA P.A. CATALUNYA SA;Lleida/LLEIDA;41.6147605;0.6267842;CS, RW, SH, CP;A;
10.00274/GU;EMBUTIDOS ATIENZA S.A.;Guadalajara/ATIENZA;41.1974891;-2.8709685;SH, CP, MM, MP, PP;P, C, O;MP
10.00282/PO;DISTRIBUIDORA DE CARNES VIGUESA, S.A.-DICARVI;Pontevedra/MOS;42.1878377;-8.6262650421;CP, MM, MP, PP;;MP
10.00285/MA;FRIGORIFICOS ANDALUCES DE CONSERVAS DE CARNE, S.A. (FACCSA);Málaga/CARTAMA;36.7112515;-4.6305716;CS, RW, CP;;MP
10.00287/V;CAMPOFRIO FOOD GROUP, S.A;Valencia/València/TORRENT;39.483062;-0.3953226;RW, PP;;MP
10.00290/PM;CARMA SIGLO XXI, SA;Palma de Mallorca/PONT D'INCA;39.5981997;2.6919871;CS, CP, MM, MP;;
10.00295/AL;JAMONES SEGURA S.L.;Almería/SERON;37.3437187;-2.5084242;RW, PP;;MP
10.00298/B;CASAS FABREGA SA;Barcelona/BARCELONA;41.3825596;2.1771353;CS, CP;;
10.00302/LU;EURICO, S.L.;Lugo/VILALBA;43.2378313;-7.1388641;RW, PP;;MP
10.00308/AB;NOLASCO ROMERO, ANTONIO;Albacete/ALBACETE;38.9951049;-1.8559613;PP;;MP
10.00311/B;ESCORXADOR DE CONILLS MANUEL MARIN S.L.;Barcelona/FRANQUESES DEL VALLES (LES);41.6189917;2.3007451;CS, SH, CP, MM, MP;L;
10.00312/V;LAUREANO SANCHEZ REQUENA LAURIA, S.L. (LAURIA,S.L.);Valencia/València/UTIEL;39.4857466;-0.3588734;SH, CP, PP;A;
10.00315/Z;MARIANO GOMEZ,S.A.;Zaragoza/CUARTE DE HUERVA;41.5935919;-0.9388829;PP;;MP
10.00324/O;EL CUCO;Asturias/OVIEDO;43.3533424;-5.8795142395;CP, MM, MP, PP;;MP
10.00328/ZA;FUENTEFRIO EURO, S. L.;Zamora/FUENTESAUCO;41.2307077;-5.4960881;SH, CP, MM, MP, PP;P, B;MP
10.00332/M;HERMANOS BARROSO J. Y M. S.L.;Madrid/HUMANES DE MADRID;40.2508847;-3.8270997;CS, MM, MP, PP;;MP
10.00347/BA;JOVIRA S.A.;Badajoz/MONTIJO;38.9098936;-6.6151799;PP;;MP
10.00349/MU;INDUSTRIAS CARNICAS ARCE, S.L. (AV MURCIA 79);Murcia/RAMOS (LOS);37.99178585;-1.0336961549;CP, PP;;MP
10.00351/C;DISTRIBUCION DE BEBIDAS Y ALIMENTOS DE BARBANZA S.L.;Coruña, A/NOIA;42.7850763;-8.8877375;SH, CP;A;
10.00352/NA;CONTROL DE PORCIONES S.A. COPOSA;Navarra/RIBAFORADA;41.9983099;-1.5124358;RW, PP;;MP
10.00363/TE;JAMONES ARTEMIO,S.A.;Teruel/EJULVE;40.7751485;-0.552882;PP;;MP
10.00367/CS;EMBUTIDOS FRANCISCO FERRERES, S.L.;Castellón/Castelló/CHERT/XERT;40.5186118;0.1585541;RW, MM, MP, PP;;MP
10.00370/TE;JAMONES CASA CONEJOS, S.A.;Teruel/CEDRILLAS;40.4366612;-0.8523204;RW, PP;;MP
10.00378/J;EMBUTIDOS LACOBA S.L.;Jaén/ANDUJAR;38.0392362;-4.0505603;RW, CP, MM, MP, PP;;MP
10.00384/SE;GARRUDO S.L.;Sevilla/SEVILLA;37.3886303;-5.9953171;RW, CP, MM, MP;;
10.00397/B;EMBOTITS CASSOLANS CA LA GLORIA SL;Barcelona/BALENYA;41.8155343;2.2139849184;PP;;MP
10.00408/SE;MATADERO Y FABRICA DE EMBUTIDOS FRANCISCO ALONSO .L.;Sevilla/ALMADEN DE LA PLATA;37.8736407;-6.0804954;SH, CP, PP;P;MP
10.00418/PM;PRODUCTOS CARNICOS GLORIA MALLORQUINA, SA;Palma de Mallorca/INCA;39.6015126;2.6783396;RW, CP, PP;;MP
10.00419/GR;EMBUTIDOS GARCIA LIZANA S.L.;Granada/LOJA;37.1661118;-4.1491593;SH, CP, MM, MP, PP;P;MP, ST
10.00422/V;MAKRO, AUTOSERVICIO MAYORISTA, S.A.;Valencia/València/ALBUIXECH;39.5449181;-0.3241614;CS, CP;;
10.00426/L;EMBUTIDOS BOTAN SL;Lleida/LLEIDA;41.6147605;0.6267842;CP, MM, MP, PP;;MP
10.00431/LU;SADA P.A. CASTILLA-GALICIA, S.A.;Lugo/CASTRO DE REI;43.2096671;-7.4004155;RW, SH, CP;A;
10.00433/GE;ESPECIALITATS COSTA S.L.;Girona/BANYOLES;42.1179622;2.7652076;CS, RW, CP, MM, MP, MSM;;MP
10.00440/V;CARNICAS EMBUENA, S.L.;Valencia/València/XIRIVELLA;39.4713561;-0.4121494;RW, CP, MM, MP, PP;;MP
10.00441/LE;PRODUCTOS CORREDERA, S. L.;León/BAÑEZA (LA);42.2998096;-5.8970081;PP;;MP
10.00448/V;SACONDA S.A.U.;Valencia/València/CATARROJA;39.4405165;-0.3958278;CS, SH, CP;A;
10.00453/M;CARNICAS ORIENTE S.L.;Madrid/LEGANES;40.3281942;-3.76527;PP;;MP
10.00468/A;MARTINEZ MACIA MANUEL;Alicante/Alacant/CALLOSA DE SEGURA;38.1251825;-0.8778548;PP;;ST
10.00471/GR;JAMONES VALLEJO S.L.;Granada/TREVELEZ;37.0009122;-3.2652119;PP;;MP
10.00480/L;MAGASA MASO GASSO SA;Lleida/IVARS D'URGELL;41.6818893;0.9878083;CS, RW, CP;;
10.00484/SA;CARNICAS JOSE MANUEL MARTIN, S. L.;Salamanca/GUIJUELO;40.5575663;-5.6715735;PP;;MP
10.00488/Z;JAMONES SANCHEZ GONZALEZ S.L;Zaragoza/CARTUJA BAJA;41.6049584;-0.8237103;RW, PP;;MP
10.00489/LE;FEBLAME, S. L.;León/ASTORGA;42.4553555;-6.0529025;PP;;MP
10.00490/PO;EMBUTIDOS FARELO, S.L.;Pontevedra/AGOLADA;42.7629118;-8.0183513;PP;;MP
10.00493/Z;ANTONIO MORENO SINUES, S.A;Zaragoza/MONTAÑANA;41.6864429;-0.8248408;SH, CP;A;
10.00500/ZA;FELIPE PEREZ DE LA CALLE;Zamora/TORO;41.5215542;-5.3939038;PP;;MP
10.00502/B;ESCORXADOR D'AUS TORRENT I FILLS SA;Barcelona/MATARO;41.5398408;2.4448953;SH, CP, MM, MP, PP;A;MP
10.00504/V;FRIGORIFICOS MELIANA, S.A.;Valencia/València/MUSEROS;39.4625646;-0.3323089;CS, CP, MM, MP, PP;;MP
10.00508/AV;LEYFAM, S. A.;Ávila/COLILLA (LA);40.6481532;-4.7649625;PP;;MP
10.00509/BI;JONBEL 2003, S.L.;Bizkaia/BILBAO;43.2629642;-2.9349478;RW;;MP
10.00515/AV;AVES Y HUEVOS SANCHEZ, S. L.;Ávila/AVILA;40.6565163;-4.6998361;CS, CP;;
10.00519/BI;FRANCISCO JAVIER ZUAZAGA MEABE;Bizkaia/BILBAO;43.2629642;-2.9349478;RW;;ST
10.00520/T;CRIVELLE MONSERRAT SA;Tarragona/REUS;41.1555564;1.1076133;CP, MM, MP;;
10.00524/BU;JAVIER ORTEGA GOMEZ;Burgos/BRIVIESCA;42.5497833;-3.3218618;PP;;MP
10.00526/NA;GRANJA ESPARZA, S.L.;Navarra/SAN ADRIAN;42.728017;-1.3498862;CS, CP;;
10.00527/BI;SUSAETA ORTEGA, ALBERTO;Bizkaia/ARRIGORRIAGA;43.2065921;-2.8873537;PP;;MP
10.00530/SG;CECILIO VILLACORTA MERINO;Segovia/BERNARDOS;41.1281828;-4.3503802;PP;;MP
10.00536/B;JAUME BARTOLI SL;Barcelona/SANTA PERPETUA DE MOGODA;41.6110502;2.1374456;SH, CP;A;
10.00537/BA;J.M. JAMONES MONTANERA S.L.;Badajoz/FUENTE DEL MAESTRE;38.5272769;-6.4465761644;PP;;MP
10.00541/B;INDUSTRIA AVICOLA DEL BERGUEDA SL;Barcelona/CASSERRES;42.0138199;1.843045;CS, SH, CP, MM, MP;A;
10.00542/GE;CARNS LA CANYA SL;Girona/SANT JOAN LES FONTS;42.2132951;2.5134302;CP;;
10.00545/BU;JOSE ANTONIO SIMON DE BENITO;Burgos/MIRANDA DE EBRO;42.6855632;-2.9478451;PP;;MP
10.00546/LE;EMBUTIDOS MANOLO VILLADANGOS DEL PARAMO, S.L.;León/VILLADANGOS DEL PARAMO;42.5172921;-5.7668042;PP;;MP
10.00548/T;SUPERAVE SA;Tarragona/VENDRELL (EL);41.216936;1.5340695;PP;;PAP
10.00556/T;CARNIQUES CATALA SA;Tarragona/RIBA-ROJA D'EBRE;41.2513465;0.4873049;CP, MM, MP, PP;;MP
10.00564/GU;INDUSTRIAS CARNICAS RIMO, S.L.;Guadalajara/MONDEJAR;40.3229399;-3.1089503;CP, PP;;MP
10.00581/M;HERMANOS MORAN, S.L.;Madrid/MADRID;40.4167047;-3.7035825;CP, MM, MP, PP;;MP
10.00583/O;INCARMUSA;Asturias/MUÑAS;43.2839191;-5.759842;MM, MP, PP;;MP
10.00595/LU;JAMONES GONZALEZ, S.L.;Lugo/CORGO (O);42.8986554;-7.4052768;RW, CP, MM, MP, PP;;MP
10.00597/NA;GRANJA JIMENEZ, S.L.;Navarra/TAFALLA;42.5281172;-1.6744043;CS, SH, CP;A, L;
10.00598/LO;DONATO GONZALEZ CORTES S.L.;Rioja, La/LOGROÑO;42.4661196;-2.4396676;PP;;ST
10.00609/CO;FEMBAPPO S.L.;Córdoba/PUENTE GENIL;37.387395;-4.7716241;MM, MP, PP;;MP
10.00612/OR;ALVAREZ CARBALLO FRANCISCO JAVIER;Ourense/BOLO (O);42.2172139;-7.1114557;PP;;MP
10.00620/O;GARCIA GONZALEZ, MANUEL;Asturias/TINEO;43.3092753;-6.4919521491;PP;;MP
10.00621/C;GISVA, S.A.;Coruña, A/ARTEIXO;43.3084467;-8.5017076;CP, PP;;MP
10.00632/C;AVICOLA MONTEGRANDE, S.L.;Coruña, A/RIANXO;42.6488711;-8.8173676;SH, CP;A;
10.00633/T;PRODUCTES AVICOLES GRANJA GAIA SA;Tarragona/RIERA DE GAIA (LA);41.1686281;1.3582853;CS, SH, CP, MM, MP, PP;A;MP
10.00635/B;ESCORXADOR D'AVIRAM MORE SL;Barcelona/ARGENTONA;41.5528133;2.3981788;CS, SH, CP, MM, MP;A;
10.00636/B;TOBELLA BOLTA SA;Barcelona/BADALONA;41.4493539;2.248254;CP, MM, MP, PP;;MP
10.00637/LE;CECINAS GARROTE, S. L.;León/ASTORGA;42.4553555;-6.0529025;PP;;MP
10.00641/B;GIMENEZ AGUERA, JUAN;Barcelona/FRANQUESES DEL VALLES (LES);41.6189917;2.3007451;CS;;
10.00644/B;FRIGORIFICOS DEL TER SA;Barcelona/BARCELONA;41.3825596;2.1771353;CP, MM, MP;;
10.00648/B;JOSE ORS SA;Barcelona/CALDES DE MONTBUI;41.6284712;2.1666492;PP;;ST
10.00655/B;LE PORC GOURMET SA;Barcelona/SANTA EUGENIA DE BERGA;41.6110502;2.1374456;SH, CP, PP;P;ST
10.00657/LE;INDUSTRIAS CARNICAS EL MOLINES SIGLO XXI S.L.;León/MOLINASECA;42.5378376;-6.5204633;CP, PP;;MP
10.00667/TO;EMBUTIDOS GARCÍA PULIDO, C.B.;Toledo/CASTILLO DE BAYUELA;40.0998825;-4.6851982;MM, MP, PP;;MP
10.00678/C;RIVADULLA, S.L.;Coruña, A/VEDRA;42.7765736;-8.4820129;SH, CP, MM, MP;A;
10.00680/LO;GRUPO EMPRESARIAL PALACIOS ALIMENTACION, S.A.;Rioja, La/ALBELDA DE IREGUA;42.3560509;-2.4736796;CS, PP;;MP
10.00684/GE;CARNIQUES ILLAS JULI SL;Girona/BLANES;41.6756178;2.7932391;CP, MM, MP, PP;;MP
10.00689/C;FRIPOR, S.L.;Coruña, A/OLEIROS;43.3346025;-8.3145904;CP, PP;;MP
10.00694/CC;EMBUTIDOS DE MATIAS S.L.;Cáceres/JARAIZ DE LA VERA;40.0600084;-5.7552;PP;;BL, MP
10.00702/CS;INDUSTRIAS CARNICAS A.B.C., S. L.;Castellón/Castelló/BENASAL;40.3797796;-0.1407695;CP, MM, MP, PP;;MP
10.00712/CR;FLORENTINO GIL CHACON E HIJOS, S.L.;Ciudad Real/BOLAÑOS DE CALATRAVA;38.9062533;-3.6629811;PP;;MP
10.00728/GR;HERENCIA YACENTE DE DON MIGUEL NAVARRO ESTEVEZ;Granada/GÜEJAR SIERRA;37.1599088;-3.4388479;PP;;MP
10.00736/A;FRICARORO, S.L.;Alicante/Alacant/BENIDORM;38.3647789;-0.4194946;CP;;
10.00738/T;BORRULL BOTIGUES SL;Tarragona/REUS;41.1555564;1.1076133;CS, RW, MM, MP, PP;;MP
10.00743/B;MERCADOS DE ABASTECIMIENTOS DE BARCELONA SA;Barcelona/BARCELONA;41.3825596;2.1771353;SH;B, C, O, S;
10.00745/CR;MATADERO FRIGORÍFICO BAUTISTA BENAVENT, S.L.U.;Ciudad Real/ALCAZAR DE SAN JUAN;39.3899806;-3.2101376;SH;B, C, O;
10.00749/NA;AYUNTAMIENTO DE ESTELLA;Navarra/ESTELLA/LIZARRA;42.672094;-2.0314834;SH, CP;P, fG, B, C, O, S;
10.00756/AV;JAMONES BREM, S. A.;Ávila/ALDEAVIEJA;40.7428679;-4.4716651791;PP;;MP
10.00762/B;GIRBAU Y MARTI MATADERO DE AVES SA;Barcelona/RIPOLLET;41.4997911;2.1530907069;CS, SH, CP, MM, MP, PP;A;MP
10.00766/AV;AYUNTAMIENTO LAS NAVAS DEL MARQUES;Ávila/NAVAS DEL MARQUES (LAS);40.4157234;-4.8718327;SH;P, B, C, O;
10.00777/LE;HERMANOS OBLANCA, S. L.;León/ONZONILLA;42.5247476;-5.5819058;SH, CP, MM, MP, PP;A;MP
10.00778/B;ROCA-JUNQUE SL;Barcelona/GRANADA (LA);41.3766418;1.7187154;CP;;
10.00781/B;AVESPUGA SA;Barcelona/HOSPITALET DE LLOBREGAT (L');41.3598601;2.0997927;CS, SH, CP;A;
10.00784/B;LLOBET MACIAN, RAFAEL;Barcelona/BARCELONA;41.3825596;2.1771353;CP;;
10.00785/BI;INDUSTRIAL TRIPERA DEL NORTE, S.A.;Bizkaia/BILBAO;43.2629642;-2.9349478;CP, PP;;ST
10.00788/GR;INDUSTRIAS HERMAN GRANADA S.L.;Granada/GRANADA;37.1830197;-3.602192;RW, PP;;MP
10.00789/BU;SDAD. COOP. PROV. AVICOLA Y GANADERA DE BURGOS;Burgos/BURGOS;42.343926;-3.696977;SH, CP, MM, MP, PP;A, L;MP
10.00796/GE;CARNS BRUGUES SL;Girona/ARGELAGUER;42.2145175;2.6414922;CS, CP, MM, MP;;
10.00820/MU;ANDUJAR MARTINEZ, EVARISTO;Murcia/LORQUI;38.0814584;-1.2537442;PP;;MP
10.00837/MA;MATADEROS INDUSTRIALES SOLER, S.A. (MISSA);Málaga/CARTAMA;36.7112515;-4.6305716;RW, SH, MM, MP, PP;P;BL, MP, ST
10.00847/GR;ARTESANOS DE MONTEJICAR S.L.;Granada/MONTEJICAR;37.5726909;-3.5027409;CP, MM, MP, PP;;MP
10.00855/B;AVICOLA SANCHEZ SA;Barcelona/CORNELLA DE LLOBREGAT;41.3556943;2.0706263;RW, SH, CP;A;MP
10.00859/PM;SALEWSKI, WERNER;Palma de Mallorca/SANTA EULALIA;39.56946205;2.6512084049;PP;;MP
10.00861/PM;M.F. VARVE, SA;Palma de Mallorca/PALMA;39.5695818;2.6500745;RW, CP, MM, MP;;
10.00872/SS;AVÍCOLA OIKINA, S.A.L.;Gipuzkoa/ZUMAIA;43.296653;-2.2571182;RW;;
10.00875/BI;SARACHAGA;Bizkaia/GORDEXOLA;43.1798646;-3.0739299;RW;;ST
10.00879/B;CARNS ROMEU SL;Barcelona/GELIDA;41.4409078;1.8646915;CP, MM, MP, PP;;MP
10.00885/GR;ROMERA JIMENEZ ALEJANDRO;Granada/TORVIZCON;36.8784435;-3.2974024;PP;;MP
10.00887/CA;S.C.A. LA SERRANA;Cádiz/OLVERA;36.9346499;-5.2599069;PP;;MP
10.00889/MU;MATADERO EL CABEZO DE LA PLATA S.L.;Murcia/CABEZO DE LA PLATA;37.9801273;-0.991745;CS, SH, CP, MM, MP;R, P, B, C, O, S;
10.00890/Z;GONZALEZ Y ROMERO AGROCARNE,S.L;Zaragoza/ARIZA;41.3104852;-2.0552546;CP, MM, MP, PP;;MP
10.00892/LE;EMBUTIDOS SEVERIANO, S. L.;León/CARRIZO;42.5848273;-5.8285482;PP;;MP
10.00893/L;BERCU, S.A.;Lleida/VALLFOGONA DE BALAGUER;41.7518459;0.8165116;SH;L;
10.00898/AB;EMBUTIDOS MOROTE Y ANDUJAR, S.L.;Albacete/SOLANA (LA);38.5004453;-2.4727671;CP, MM, MP, PP;;MP
10.00911/AB;JAMONES IBAÑESES, S.L.;Albacete/CASAS-IBAÑEZ;39.2863056;-1.4688415;RW;;MP
10.00920/J;MATADERO FRIGORIFICO DE BEGIJAR S.A.;Jaén/BEGIJAR;37.9853073;-3.5342046;SH, CP;P;
10.00921/GR;JAMONES CASTELLANO S.L.;Granada/GRANADA;37.1830197;-3.602192;PP;;MP
10.00924/B;JOSE SABATE SL;Barcelona/BARCELONA;41.3825596;2.1771353;MM, MP, PP;;MP
10.00925/NA;SARNAGO RECALDE, JUAN CARLOS Y SARNAGO RECALDE, FRANCISCO JAVIER;Navarra/TAFALLA;42.5281172;-1.6744043;RW;;ST
10.00929/B;TRIPERA VIGATANA SA;Barcelona/VIC;41.9292417;2.2548654;RW;;ST
10.00938/GC;CARNES Y EMBUTIDOS CHACON, S.L.;Palmas, Las/ARRECIFE;28.9593456;-13.5475839;RW, MM, MP, PP;;MP
10.00944/B;CECARN SA;Barcelona/SANT PERE DE RIBES;41.7847594;1.8386882;CP, MM, MP;;
10.00962/B;CÀRNIQUES JAUME SORTS, SL;Barcelona/GURB;41.941144;2.2426161;CS, CP;;
10.00963/LO;O´XAMONEIRO, S.L.;Rioja, La/CALAHORRA;42.3035212;-1.9648758;PP;;MP
10.00967/LU;EMBUTIDOS MONTEPICATO, S.L.;Lugo/LUGO;43.0106089;-7.556567;RW, MM, MP, PP;;MP
10.00968/BI;LAUREANO MARTIN SUCESORES, S.A.;Bizkaia/BILBAO;43.2629642;-2.9349478;RW;;MP
