code;# Bundesland;Name des Betriebs;Straße / Haus-Nr.;Ort;Alte Zulassungs-nummern;Neue Zulassungsnummer;Zulassungsnummer Eierpackstellen;CS;RW;WM;SH;CP;SH2;CP2;SH3;CP3;GHE;CP4;MM;MP;MSM;PP;CC;PP2;CC2;PP3;CC3;PP4;CC4;PP5;CC5;PP6;EPC;LEP;PP7;AH;FV;ZV;FFPP;PP8;WM2;PC;DC;PP9;Einschränkungen;Bemerkungen;Zulassung befristet bis;Zulassung ruht seit;Drittlandzulassungen;lat;lng
BB 004;BB;Molkereigenossenschaft Zehdenick e.G.;Bahnhofstraße 22;16792 Zehdenick;BB 004;;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;52.9803281;13.3215268
BB 006;BB;Uckermärker Milch GmbH;Brüssower Allee 85;17291 Prenzlau;BB 006;;;;;;;;;;;;;;;;;;;;;;;;;;;B, C, O;;;;;;;;;;;;;;;;;;53.3282734;13.8873365
BB 009;BB;Arla Foods Deutschland GmbH  Niederlassung Upahl, Werk Karstädt;Mühlenstraße 11;19357 Karstädt;BB 009;;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;53.1635876;11.7448191
BB 016;BB;Ökodorf Brodowin Meierei GmbH & Co. Betriebs KG;Weißensee 1;16230 Chorin;BB 016;;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;52.91541;13.94175
BB 017;BB;Hemme Milch;Heideweg 1;16278 Angermünde;BB 017;;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;52.988671;13.9554375
BB 018;BB;Fude + Serrahn Milchprodukte GmbH & Co. KG;Am Gewerbepark 10;16775 Gransee;BB 018;;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;53.00943;13.17753
BB 019;BB;Bobalis GmbH;Hauptstraße 30;14913 Jüterbog;BB 019;;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;Verarbeitungsbetrieb für Rohmilch und Molkereiprodukte: weitere Tierart: Wasserbüffel;;;;51.9866715;13.0985166
BB 021;BB;Frommann, Produktion von Fleisch- und Wurstwaren GmbH, Betriebsteil Lindenberg;Bucher Weg 1;16321 Rüdnitz;BB 021;;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;52.7230276;13.626662
BB 022;BB;Milcafea GmbH;Cafeastraße 1;14712 Rathenow;BB 022;;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;52.6189384;12.3468704
BB 023;BB;Rosen Eiskrem Süd GmbH;Brüssower Allee 85;17291 Prenzlau;BB 023;;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;53.3282734;13.8873365
