code;# Bundesland;Name des Betriebs;Straße / Haus-Nr.;Ort;Alte Zulassungs-nummern;Neue Zulassungsnummer;Zulassungsnummer Eierpackstellen;CS;RW;WM;SH;CP;SH2;CP2;SH3;CP3;GHE;CP4;MM;MP;MSM;PP;CC;PP2;CC2;PP3;CC3;PP4;CC4;PP5;CC5;PP6;EPC;LEP;PP7;AH;FV;ZV;FFPP;PP8;WM2;PC;DC;PP9;Einschränkungen;Bemerkungen;Zulassung befristet bis;Zulassung ruht seit;Drittlandzulassungen;lat;lng
BW 74034;BW;Metzgerei Heinzelmann;Augstbergstrasse 30;72818 Trochtelfingen;;BW 74034;;;;;;B, P;;;;;;;;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.3080255;9.2745741
BW 74035;BW;Altenzentrum St.Elisabeth;Wengenstraße 25;72800 Eningen unter Achalm;;BW 74035;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;48.48481;9.25297
BW 74036;BW;LWV Eingliederungshilfe;Rappertshofen (Gewand) 1;72760 Reutlingen OT Orschel-Hagen;;BW 74036;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;48.52166;9.19912
BW 74037;BW;Manuel Schnitzler;Alemannenweg 13;72805 Lichtenstein OT Holzelfingen;;BW 74037;;;;;;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.4237566;9.2758033
BW 74038;BW;Wörz GbR;Panoramastraße 18;72587 Römerstein OT Zainingen;;BW 74038;;;;;O;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.4845896;9.5499145
BW 74039;BW;Metzgerei Jochen Rieck;Albstraße 5;72587 Römerstein OT Böhringen;;BW 74039;;;;;B, O, P;B, O, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.4957734;9.5143653
BW 74040;BW;Albert Häßler;Rangenberghof 1;72800 Eningen unter Achalm;;BW 74040;;;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.4757988;9.2759206
BW 74042;BW;Goller Fernküche;Siemensstraße 5;72124 Pliezhausen;;BW 74042;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;48.5668707;9.198185
BW 74043;BW;KBF-Küche Reutlingen;Erwin-Seiz-Straße 11;72764 Reutlingen;;BW 74043;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;48.4849501;9.228477
BW 74044;BW;ZFP Südwürttemberg Speiseservice Zwiefalten;Hauptstraße 9;88529 Zwiefalten;;BW 74044;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;48.2314105;9.4614749
BW 74045;BW;Metzgerei Gusinde;Jakob-Degen-Straße 2;72768 Reutlingen OT Sickenhausen;;BW 74045;;;;;;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.5501508;9.2047828
BW 74046;BW;Seniorenzentrum Martha-Maria;Heerstraße 41;72805 Lichtenstein OT Honau;;BW 74046;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;48.4107248;9.2640267
BW 74047;BW;LWV.Eingliederungshilfe GmbH Küche Bildungszentrum Nord Mensa;Wittumstraße 37;72768 Reutlingen OT Rommelsbach;;BW 74047;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;48.539;9.19787
BW 74048;BW;Servicehaus Sonnenhalde MSG GmbH;Keltenstraße 10;72829 Engstingen OT Großengstingen;;BW 74048;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;48.3889181;9.2901548
BW 74049;BW;BruderhausDiakonie, Gerontopsychiatrisches Pflegeheim Königshöhe;Im Eber 1;72581 Dettingen an der Ems;;BW 74049;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;48.535195;9.3479412
BW 74050;BW;Sonnenbühler Frischmenü-Service;Melchinger Straße 17/1;72820 Sonnenbühl OT Willmandingen;;BW 74050;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;48.379438;9.1486658
BW 74051;BW;Horst Ott Metzgerei GmbH & Co. KG;Hansenstraße 20;72770 Reutlingen OT Ohmenhausen;;BW 74051;;;;;;B, P;;;;;wA, wL, wU, wG;wA, wL, wU, wG;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.4761761;9.1422265
BW 74052;BW;Der Party Profi;Steigäckerstraße 1/6;72768 Reutlingen OT Altenburg;;BW 74052;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;48.543629;9.1743382
BW 74053;BW;Samariterstift Pfullingen;Hohmorgenstraße 15;72793 Pfullingen;;BW 74053;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;48.4592933;9.225689
BW 74054;BW;Bruderhaus Diakonie Buttenhausen;Wasserstetter Straße 4;72525 Münsingen OT Buttenhausen;;BW 74054;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;48.36225;9.47729
BW 74055;BW;Insiva GmbH;Rappertshofen 1;72760 Reutlingen OT Orschel-Hagen;;BW 74055;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;48.52166;9.19912
BW 74056;BW;La Cantina Food&More;Arbachtalstr. 6;72800 Eningen unter Achalm;;BW 74056;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;48.4772735;9.2509531
BW 74058;BW;KOCHWERK Catering GmbH;Mühlensteige 1;72587 Römerstein;;BW 74058;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;48.4823709;9.5464372
BW 74059;BW;Tress Lebensmittel GmbH & Co. KG;Aichelauerstraße 6;72534 Hayingen-Ehestetten;;BW 74059;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;Catering/Großküche;;;;48.3200116;9.4324547
BW 74060;BW;Kreiskliniken Reutlingen GmbH;Steinenbergstraße 31;72764 Reutlingen;;BW 74060;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;X;;;;;;Catering/Großküche;;;;48.4835058;9.2179729
BW 74061;BW;Gasthaus zum Ochsen;Marktstraße  21;72818 Trochtelfingen;;BW 74061;;;;;;;;;;;;;;B, P, A;;mp;;;;;;;;;;B, C, O, S;;;X;;;;;X;;;;;;Catering/Großküche;;;;48.3075625;9.2441026
BW 74062;BW;KOCHWERK Catering GmbH;Max-Eyth-Str.  2;72581 Dettingen/Erms;;BW 74062;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;18.09.2020;;;48.5121415;9.362441
BW 75001;BW;Schlacht- und Zerlegebetrieb Steinhart;Im Städtle 65;72519 Veringenstadt;;BW 75001;;;;;;;;;R;R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1783717;9.2119067
BW 75002;BW;Landmetzgerei Tobias Walk;Hauptstraße 33;88605 Sauldorf;;BW 75002;;;;;B, C, O, P;B, O, P, C;;;fG, R;fG;wU;wU;S, B, O, P, C;S, B, O, P, C;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.94256;9.10247
BW 75004;BW;Landmetzgerei Müller;Dorfstraße 30;88605 Meßkirch OT Langenhart;;BW 75004;;;;;B, C, O, P;B, C, O, P;;;fG;fG;wL, wU, wG, wA;wL, wU, wG, wA;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.04689;9.1035117
BW 75005;BW;Metzgerei Gerhard Knoll;Ortsstraße 3;88634 Herdwangen-Schönach OT Oberndorf;;BW 75005;;;;;B, C, O, P;B, C, O, P;;;fG, R;fG, R;wU, wL;wU, wL;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.86464;9.14586
BW 75006;BW;Metzgerei Becker GmbH,;Lagerstraße 2;72510 Stetten am kalten Markt .;;BW 75006;;;;;B, P, C, O, S;B, P, C, O;;;fG;fG;wL, wU, wG;wL, wU, wG;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1222565;9.0777546
BW 75007;BW;Ab Jagdverkauf Wilddirektvermarktung;Eichenweg 3;72501 Gammertingen OT Bronnen;;BW 75007;;;;;;B, P;;A, L;;;wL, wU, wG, wA;wL, wU, wG, wA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.2651423;9.2063033
BW 75008;BW;Landmetzgerei Lallathin;Egg 14;88634 Herdwangen-Schönach OT Egg;;BW 75008;;;;;B, C, O, P, S;S, B, O, P, C;;;fG;fG;wL, wU, wG, wA;wL, wU, wG;S, B, O, P, C, A, L, fG, wL, R, wU, wA;S, B, O, P, C, A, L, fG, wL, R, wU, wA;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.8974124;9.2360727
BW 75009;BW;Gasthaus Rosengarten;Hauptstraße 17;72517 Sigmaringendorf;;BW 75009;;;;;;;;;;;wA, wL, wU, wG;wA, wL, wU, wG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0664703;9.2655261
BW 75010;BW;Metzgerei Hubert Schmuker;Hindenburgplatz 2;72516 Scheer;;BW 75010;;;;;B, C, O, P;B, O, P, C;;;fG;fG;wL, wU, wG;wL, wU, wG;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0726573;9.2937428
BW 75011;BW;Metzgerei Bögle;Ringstraße 1;72513 Hettingen OT Inneringen;;BW 75011;;;;;B, C, O, P;B, O, P, C;;;fG;fG;wL, wU, wG;wL, wU, wG;S, B, O, P, C;S, B, O, P, C;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.19101;9.27678
BW 75012;BW;Metzgerei Bögle;August-Reiser-Straße 5;72501 Gammertingen;;BW 75012;;;;;;S, B, O, P, C;;;;fG;;wL, wU, wG;S, B, O, P, C;S, B, O, P, C;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.2493085;9.2140964
BW 75013;BW;Metzgerei Müller;Im Städtle 43;72519 Veringenstadt;;BW 75013;;;;;B, P;;;;fG;fG;wL, wU, wG;wL, wU, wG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1782903;9.212876
BW 75014;BW;Metzgerei Bosch;Hauptstraße 49;72477 Schwenningen;;BW 75014;;;;;B, C, O, P;B, O, P, C;;;fG;fG;wL, wU, wG;wL, wU, wG;S, B, O, P, C;S, B, O, P, C;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1048961;8.9968844
BW 75015;BW;Metzgerei Bäumlehof;Bäumlehof 1;88637 Leibertingen;;BW 75015;;;;;B, C, O, P;B, O, P, C;;;;;;;B, O, P, C;B, O, P, C;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0520935;9.0297813
BW 75016;BW;Metzgerei Straubinger Hof;Reutlinger Straße 13;72501 Gammertingen;;BW 75016;;;;;B, C, O, P;B, C, O, P;;;fG;fG;wL, wU, wG;wL, wU, wG;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.2507459;9.2138142
BW 75017;BW;Schlachthaus Kloster Beuron;Abteistraße 2;88631 Beuron;;BW 75017;;;;;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.050754;8.9697958
BW 75018;BW;Landmetzgerei Hubert Sulger;Volzen 7/1;88636 Illmensee;;BW 75018;;;;;B, C, O, P;B, O, P, C;;;fG;fG;wL, wU, wG;wL, wU, wG;B, O, P, C;B, O, P, C;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.8572752;9.3545185
BW 75019;BW;UG Fürst von Hohenzollern;Josefslust;72488 Sigmaringen;;BW 75019;;;;;;;;;;;wU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0523192;9.2249095
BW 75022;BW;Mariaberger Bildung & Service GmbH;Unterer Torackerweg 8;72501 Gammertingen;;BW 75022;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;48.2746256;9.2128414
BW 75023;BW;Metzgerei Igel;Hauptstraße 9;88367 Hohentengen;;BW 75023;;;;;;B, C, O, P;;;;fG;;wL, wU;S, B, O, P, C, A, L, fG, R, wU, wA, wG, wL;S, B, O, P, C, A, L, fG, R, wU, wA, wG, wL;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;48.0281872;9.3800368
BW 75024;BW;Landmetzgerei Bernd Reichle;Bichtlinger Straße 13;88605 Sauldorf OT  Bichtlingen;;BW 75024;;;;;B, O, P, C;B, O;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.9670734;9.1002062
BW 75025;BW;Damwildgehege Holdenried;Schmeienhöfe 1;72510 Stetten am kalten Markt OT Frohnstetten;;BW 75025;;;;;;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.142577;9.0912279
BW 75100;BW;Produktionsküche Manfred Frick;Bahnhofstraße 13;72505 Krauchenwies;;BW 75100;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;48.0193003;9.2425908
BW 75101;BW;Hofgut Müller Wohn- und Pflegeheim für MS-Kranke und schwerst Körperbehinderte;Hauptstraße 45;88356 Ostrach;;BW 75101;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;47.950137;9.3811975
BW 75102;BW;Vinzenz Service GmbH;Wachtelhau 1;72488 Sigmaringen;;BW 75102;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;48.074;9.22028
BW 75103;BW;Haus St. Ulrika Produktionsküche;Reiserstraße 18/2;88512 Mengen;;BW 75103;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;48.0490175;9.3348027
BW 75105;BW;Erzbischöfliches Kinderheim Haus Nazareth;Brunnenbergstraße 34;72488 Sigmaringen;;BW 75105;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;48.0952959;9.2203496
BW 75106;BW;SRH Kliniken Landkreis Sigmaringen GmbH;Hohenzollernstraße 40;72488 Sigmaringen;;BW 75106;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;48.0962562;9.2257938
BW 75107;BW;Gaststätte Rainer's;Überlinger Straße 13/1;88630 Pfullendorf;;BW 75107;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;47.92668;9.25238
BW 75109;BW;Gasthof Pension zur Krone;Altschmeierstraße 14;72488 Sigmaringen OT Unterschmeien;;BW 75109;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;48.0929336;9.1485862
BW 75110;BW;SRH Krankenhaus Pfullendorf;Zum Eichberg 2/1;88360 Pfullendorf;;BW 75110;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;47.9256565;9.2610169
BW 76000;BW;Metzgerei Nichter;Kaiserstraße 64;72108 Rottenburg;;BW 76000;;;;;B, P;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.5055983;8.7735226
BW 76001;BW;Metzgerei Wolf;Am Burghof 25;72411 Bodelshausen;;BW 76001;;;;;B, O, P;B, O, P;;;;;wU;wU;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.3960198;8.9719058
BW 76002;BW;Metzgerei Rebmann;Hadolfinger Straße 31;72108 Rottenburg;;BW 76002;;;;;B, O, P, S;B, O, P, S;;;;;wU;wU;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.52925;8.86922
BW 76003;BW;Bioland-Metzgerei Grießhaber;Reutlinger Straße 37;72116 Mössingen;;BW 76003;;;;;B, C, O, P;B, C, O, P;;;fG;fG;wU;wU;;;;mp;;X;;X;;;;;;;;;;;;;;;;;;;;;;;;48.416135;9.1098499
BW 76004;BW;Thomas und Gabriele Leins GbR;Wilhelmstraße 88;72145 Hirrlingen;;BW 76004;;;;;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.4097977;8.8988864
BW 76005;BW;Wolfgang Narr, Dorfmetzger;Dettinger Straße 27;72108 Rottenburg;;BW 76005;;;;;B, C, O, P;B, C, O, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.4190639;8.9207037
BW 76006;BW;Herrmann, Stefan;Reutlinger Straße 43;72127 Kusterdingen-Jettenburg;;BW 76006;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.49955;9.13599
BW 76007;BW;Edwin Wohlschieß;Nonnenwaldstraße  15;72108 Rottenburg;;BW 76007;;;;;B, C, O, P;B, C, O, P;;;;;wU;wU;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.4181869;8.9180697
BW 76008;BW;Helmut Feldmann;Bachgasse  8;72411 Bodelshausen;;BW 76008;;;;;C, O;C, O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.3939981;8.9721769
BW 76010;BW;Schwäbische Fleisch- und Wurstmanufaktur im delicasa GmbH;Wilhelmstr. 16;72116 Mössingen;;BW 76010;;;;;;B, O, P;;;;;;;;B, P, O;;mp;;;;;;;;;;;;;X;;;;;;;;;;;;;;;48.4127406;9.0542855
BW 76011;BW;Metzgerei Wiech;Wilhelm-Maybach-Straße 6/1;72108 Rottenburg;;BW 76011;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.47891;8.95207
BW 76012;BW;Ammertäler Metzgerei Egeler GbR;Altinger Straße 10;72119 Ammerbuch;;BW 76012;;;;;;P, B, O;;;;;wU;wU;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.5430107;8.9190365
BW 76013;BW;Fleischwaren Harald  Kiesinger;Friedrichstraße 9;72072 Tübingen;;BW 76013;;;;;;S, B, O, P, C;;;;;wU;wU;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.5177821;9.0597765
BW 76014;BW;Metzgerei Rolf Brobeil;Albrecht-Wirth-Straße 11;72108 Rottenburg;;BW 76014;;;;;;B, P;;;;;wU;wU;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.4640734;8.916337
BW 76015;BW;Schweine- und Geflügelhof Maier GbR;Brühlstraße 8;72149 Neustetten;;BW 76015;;;;;;B, P;A;A;;;wU;wU;;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.4827;8.88722
BW 76016;BW;Metzgerei Oskar Zeeb GmbH;Rathausstraße 8;72138 Kirchentellinsfurt;;BW 76016;;;;;;;;;;;;;;S, B, O, P, C, A, L, fG, R, wU, wA, wG, wL;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.5423324;9.1382919
BW 76017;BW;Metzgerei Kautt GmbH;Mühlstraße 3;72131 Ofterdingen;;BW 76017;;;;;;B, P;;;;;;;;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.4226439;9.0349331
BW 76018;BW;Ingolf Kasch;Ohmenhäuser Str.  20;72127 Kusterdingen-Mähringen;;BW 76018;;;;;;;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.480909;9.116408
BW 76100;BW;U. D. O.  GmbH;Alte Landstraße 54;72072 Tübingen;;BW 76100;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;X;;;;;;Catering/Großküche;;;;48.4969961;9.0325694
BW 76101;BW;KBF - Körperbehindertenförderung Neckaralb e. V.;Im Rosenbenz 8;72116 Mössingen;;BW 76101;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;48.4004111;9.0546042
BW 76102;BW;KBF - Körperbehindertenförderung Neckaralb e. V.;Ringstraße 22;72411 Bodelshausen;;BW 76102;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;48.3908205;8.9678072
BW 76104;BW;Ev. Firstwaldgymnasium;Firstwaldstraße 52;72116 Mössingen;;BW 76104;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;X;;;;;;Catering/Großküche;;;;48.41483;9.0715901
BW 76105;BW;Hospital zum heiligen Geist Rottenburg a. N.;Königstraße 57;72108 Rottenburg;;BW 76105;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;X;;;;;;Catering/Großküche;;;;48.4752757;8.9318541
BW 76106;BW;Musisches Internat Martinihaus der Stiftung St. Martinus Rottenburg - Zentralküche;Sprollstraße 27;72108 Rottenburg;;BW 76106;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;48.4767269;8.9379813
BW 76107;BW;Altenhilfe Tübingen gGmbH;Wilhelmstraße 87;72074 Tübingen;;BW 76107;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;X;;;;;;Catering/Großküche;;;;48.5306609;9.0674837
BW 76108;BW;Wohlfahrtswerk für Baden-Württemberg - Haus an der Steinlach;Falltorstraße 70;72116 Mössingen;;BW 76108;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;48.40754;9.0624801
BW 76109;BW;Altenzentrum Luise-Poloni-Heim;Neuhaldenstraße 14;72074 Tübingen;;BW 76109;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;48.5317781;9.0822185
BW 76110;BW;Bad Sebastiansweiler GmbH;Hechinger Straße 26;72116 Mössingen;;BW 76110;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;48.4025627;9.0129216
BW 76111;BW;Siggi¿s Mittagsstube + Partyservice, Herr Sigurd Herrmann;Hagenring 53;72119 Ammerbuch;;BW 76111;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;48.5675302;8.905951
BW 77000;BW;Metzgerei Klingenstein;Stettener Straße 52;72401 Haigerloch OT Stetten;;BW 77000;;;;;B, P, O, C;B, P, O, C;;;fG;fG;wU;wU;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.3577604;8.8175724
BW 77001;BW;Metzgerei Gühring GmbH;Balinger Straße 10;72348 Rosenfeld;;BW 77001;;;;;;B, P, O, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.2864423;8.7239839
BW 77003;BW;Landmetzgerei Karle;Dormettinger Straße 35;72356 Dautmergen;;BW 77003;;;;;B, P, O, C;B, P, O, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.2409097;8.7458348
BW 77004;BW;Metzgerei-Partyservice Heck;Beethovenweg 16;72401 Haigerloch OT Stetten;;BW 77004;;;;;;B, P, O, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.3600927;8.8207801
BW 77005;BW;Metzgerei Pfister;Josengasse 4;72393 Burladingen;;BW 77005;;;;;B, P, O, C;B, P, O, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.2886;9.11244
BW 77007;BW;Metzgerei Bastian;Richard-Biener-Straße  27;72393 Burladingen;;BW 77007;;;;;B, P, O, C;B, P, O, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.2908623;9.1206782
BW 77008;BW;Metzger Buck;Hauptstraße 75;72393 Burladingen;;BW 77008;;;;;B, P, O, C;B, P, O, C;;;;fG;wU;wU;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.289692;9.1163768
BW 77009;BW;Metzgerei Haid;Kurstraße 36;72401 Haigerloch OT Bad Imnau;;BW 77009;;;;;B, P, O, C;B, P, O, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.4037221;8.7780349
BW 77011;BW;Epple;Hauffstraße 9;72401 Haigerloch OT Stetten;;BW 77011;;;;;;;;;fG;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.3604302;8.8193548
BW 77012;BW;Metzgerei Alfred Klaiber;Adlerstraße 12;72461 Albstadt OT Tailfingen;;BW 77012;;;;;B, P, O, C;B, P, O, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.255327;9.013794
BW 77015;BW;Metzgerei und Partyservice Mauch;Talstraße 6;72362 Nusplingen;;BW 77015;;;;;B, P, O, C;B, P, O, C;;;fG;fG;wU;wU;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.13122;8.89114
BW 77016;BW;Metzgerei Mengis;Hohenbergstraße 4;72362 Nusplingen;;BW 77016;;;;;B, P, O, C;B, P, O, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1339;8.8901491
BW 77017;BW;Beuter Landmetzgerei & Partyservice GmbH;Friedhofweg 9;72401 Haigerloch OT Hart;;BW 77017;;;;;B, C, O, P;B, C, O, P;;;;;wU;wU;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.38893;8.84125
BW 77019;BW;Metzgerei und Partyservice Frank Wengert;Bellinger Straße 38;72336 Balingen OT Erzingen;;BW 77019;;;;;P, B, C, O;P, B, C, O;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.25223;8.81178
BW 77021;BW;Metzgerei, Gaststätte Wasenstube;Wasenstraße 9;72367 Weilen u.d.R.;;BW 77021;;;;;B, P, O, C;B, P, O, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.19138;8.76393
BW 77023;BW;Buchner-Hof;Auf Neuweiler 3;72461 Albstadt OT Tailfingen;;BW 77023;;;;;B, O, P, C;B, O, P, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.2622053;9.0553107
BW 77024;BW;Metzgerei Jürgen Strobel;Remsstraße 1;72336 Balingen OT Frommern;;BW 77024;;;;;B, P, O, C;B, P, O, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.2510684;8.8705202
BW 77025;BW;Metzgerei Neser;Rausse 10;72393 Burladingen OT Ringingen;;BW 77025;;;;;B, C, O, P;B, C, O, P;;;;;wU;wU;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.3237247;9.102509
BW 77027;BW;Metzgerei Ludwig Funk;Schloßkellerweg 2;72415 Grosselfingen;;BW 77027;;;;;B, C, O, P;B, C, O, P;;;fG;fG;wU;wU;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.3308106;8.8884883
BW 77028;BW;Metzgerei Zur Rose;Brückenstraße 1;72359 Dotternhausen;;BW 77028;;;;;B, C, O, P;B, C, O, P;;;;;wU;wU;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.2269869;8.7879598
