code;name;street;city;postalcode;lat;lng
DK 1437 EF;Mariager Slagtehus, Slagteri;Havnegade 5;Mariager;9550;56.6515500;9.9810220
DK 1441 EF;Landmand Ole Toft Thøgersen, Slagteri;Næssundvej 362;Karby;7960;56.7465840;8.5901040
DK 1443 EF;BJERREFISK A/S;Fiskerihavnsgade 11  A;Frederikshavn;9900;57.4392970;10.5486920
DK 1447552 EF;Aulum Biavlscenter ApS;Buntmagervej 18;Aulum;7490;56.2538660;8.7926030
DK 1457 EF;Grillslagteren, Slagteri;Kirkebyvej 6;Thisted;7700;57.0223020;8.6770420
DK 1469 EF;Nr. Onsild Slagtehus ApS., ENGRO;Rævebakken 2;Hobro;9500;56.6018380;9.7761950
DK 1469 EF;Nr. Onsild Slagterhus ApS, Slagteri;Rævebakken 2;Hobro;9500;56.6018380;9.7761950
DK 1568 EF;ÅRHUS FISKEEKSPORT APS;Pakkerivej 12;Aarhus;8000;56.1653770;10.2196480
DK 1603 EF;A/S O.V. Jørgensen - Hundested Fiskeexport Rønne afdeling;Munch Petersens Vej 30;Rønne;3700;55.0933910;14.6943410
DK 1624 EF;Chrisfish Hanstholm Aps;Auktionsgade 15;Hanstholm;7730;57.1202050;8.5972640
DK 1630 EF;KEKA FISK APS;Søren Nordbysvej 13;Hirtshals;9850;57.5876740;9.9873580
DK 1641 EF;Hundested Fiskeexport A/S, O.V. Jørgensen;Færgevejen 2;Hundested;3390;55.9627310;11.8477890
DK 1644 EF;ERLING GRØNKJÆR FISKEEKSPORT A/S;Fibigers Gade 8;Hanstholm;7730;57.1204270;8.6006590
DK 1660 EF;HANSTHOLM SAMLECENTRAL A/S;Auktionsgade 30;Hanstholm;7730;57.1197477;8.5980168
DK 1663 EF;Hanstholm Fiskeauktion I/S;Auktionsgade 11;Hanstholm;7730;57.1197970;8.5976990
DK 1671 EF;Fiskernes Samlecentral Strandby ApS;Auktionskaj 7, 1 tv;Strandby;9970;57.4947120;10.5028260
DK 1678 EF;Langø Fiskeeksport-Langø-Havn, Østre Mole, Langø;Havnevej 16, Privat;Nakskov;4900;54.8135650;11.0178370
DK 1683 EF;SKAGEN FRISK A/S;Isvej 1;Skagen;9990;57.7216810;10.5940250
DK 1695 EF;Fiskeauktion Nord Strandby;Auktionskaj 7;Strandby;9970;57.4947120;10.5028260
