en:apricot	ecobalyse_origins_en_france_alias:en	apricot-pitted-raw-fr
en:apricot	ecobalyse_origins_en_france_default_origin:en	France
en:artichoke	ecobalyse_id:en	dd7fe1c9-9d56-4790-b735-3de608a20849
en:artichoke	ecobalyse_density_g_per_ml:en	0.362
en:artichoke	ecobalyse_crop_group:en	LEGUMES-FLEURS
en:artichoke	ecobalyse_category:en	vegetable_fresh
en:artichoke	ecobalyse_raw_to_cooked_ratio:en	0.856
en:artichoke	ecobalyse_inedible_part:en	0.6
en:artichoke	ecobalyse_transport_cooling:en	always
en:artichoke	ecobalyse_origins_en_european_union_id:en	f370924b-f15c-53dc-9728-38010bb6a7c9
en:artichoke	ecobalyse_origins_en_european_union_scenario:en	import
en:artichoke	ecobalyse_origins_en_european_union_name:fr	Artichaut UE
en:artichoke	ecobalyse_origins_en_european_union_alias:en	artichoke-eu
en:artichoke	ecobalyse_origins_en_european_union_default_origin:en	EuropeAndMaghreb
en:artichoke	ecobalyse_labels_en_organic_origins_en_france_id:en	d7630e82-2b60-46cc-b50d-451a32e0887e
en:artichoke	ecobalyse_labels_en_organic_origins_en_france_scenario:en	organic
en:artichoke	ecobalyse_labels_en_organic_origins_en_france_name:fr	Artichaut Bio (2025)
en:artichoke	ecobalyse_labels_en_organic_origins_en_france_alias:en	artichoke-organic-2025
en:artichoke	ecobalyse_labels_en_organic_origins_en_france_default_origin:en	France
en:artichoke	ecobalyse_origins_en_france_id:en	51eea2d1-abec-4459-aae0-15f8348d0994
en:artichoke	ecobalyse_origins_en_france_scenario:en	reference
en:artichoke	ecobalyse_origins_en_france_name:fr	Artichaut FR (2025)
en:artichoke	ecobalyse_origins_en_france_alias:en	artichoke-fr-2025
en:artichoke	ecobalyse_origins_en_france_default_origin:en	France
en:asparagus	ecobalyse_id:en	17db9fc3-6b58-540d-8c03-5664a6a3cda4
en:asparagus	ecobalyse_density_g_per_ml:en	0.9
en:asparagus	ecobalyse_crop_group:en	LEGUMES-FLEURS
en:asparagus	ecobalyse_category:en	vegetable_fresh
en:asparagus	ecobalyse_raw_to_cooked_ratio:en	0.856
en:asparagus	ecobalyse_inedible_part:en	0.4
en:asparagus	ecobalyse_transport_cooling:en	always
en:asparagus	ecobalyse_labels_en_organic_origins_en_france_id:en	13cce78b-d1f8-5dba-a633-aa0d0d1c86a1
en:asparagus	ecobalyse_labels_en_organic_origins_en_france_scenario:en	organic
en:asparagus	ecobalyse_labels_en_organic_origins_en_france_name:fr	Asperge Bio
en:asparagus	ecobalyse_labels_en_organic_origins_en_france_alias:en	asparagus-organic
en:asparagus	ecobalyse_labels_en_organic_origins_en_france_default_origin:en	France
en:asparagus	ecobalyse_origins_en_france_id:en	99549acf-9987-59a9-b5de-98b5b1dd830a
en:asparagus	ecobalyse_origins_en_france_scenario:en	reference
en:asparagus	ecobalyse_origins_en_france_name:fr	Asperge FR
en:asparagus	ecobalyse_origins_en_france_alias:en	asparagus-fr
en:asparagus	ecobalyse_origins_en_france_default_origin:en	France
en:avocado	ecobalyse_id:en	87b75b49-4e10-56bd-8b88-08a6003cce51
en:avocado	ecobalyse_density_g_per_ml:en	0.95
en:avocado	ecobalyse_crop_group:en	VERGERS
en:avocado	ecobalyse_category:en	vegetable_fresh
en:avocado	ecobalyse_raw_to_cooked_ratio:en	0.856
en:avocado	ecobalyse_inedible_part:en	0.3
en:avocado	ecobalyse_transport_cooling:en	always
en:avocado	ecobalyse_origins_en_european_union_id:en	fa8cce35-0e6b-4a2f-bdc1-80c05e497616
en:avocado	ecobalyse_origins_en_european_union_scenario:en	import
en:avocado	ecobalyse_origins_en_european_union_name:fr	Avocat UE (2025)
en:avocado	ecobalyse_origins_en_european_union_alias:en	avocado-eu-2025
en:avocado	ecobalyse_origins_en_european_union_default_origin:en	EuropeAndMaghreb
en:avocado	ecobalyse_labels_en_organic_origins_en_france_id:en	64247aed-1faa-5501-8a80-d37cd9a4ea60
en:avocado	ecobalyse_labels_en_organic_origins_en_france_scenario:en	organic
en:avocado	ecobalyse_labels_en_organic_origins_en_france_name:fr	Avocat Bio
en:avocado	ecobalyse_labels_en_organic_origins_en_france_alias:en	avocado-organic
en:avocado	ecobalyse_labels_en_organic_origins_en_france_default_origin:en	France
en:avocado	ecobalyse_proxy_labels_en_organic_id:en	b4b400e0-1b44-450b-ae5c-8474b83af651
en:avocado	ecobalyse_proxy_labels_en_organic_scenario:en	organic
en:avocado	ecobalyse_proxy_labels_en_organic_name:fr	Avocat, pulpe, cru BIO
en:avocado	ecobalyse_proxy_labels_en_organic_alias:en	avocado-pulp-raw-default-organic
en:avocado	ecobalyse_proxy_labels_en_organic_default_origin:en	OutOfEuropeAndMaghreb
en:balsamic-vinegar	ecobalyse_id:en	c2e4259b-962f-49ea-b7f1-606f81b59207
en:balsamic-vinegar	ecobalyse_density_g_per_ml:en	1
en:balsamic-vinegar	ecobalyse_crop_group:en	DIVERS
en:balsamic-vinegar	ecobalyse_category:en	vegetable_processed
en:balsamic-vinegar	ecobalyse_raw_to_cooked_ratio:en	1
en:balsamic-vinegar	ecobalyse_inedible_part:en	0
en:balsamic-vinegar	ecobalyse_transport_cooling:en	always
en:bamboo-shoot	ecobalyse_id:en	8393b6b9-7d87-56e4-b95c-0f68927438dd
en:bamboo-shoot	ecobalyse_density_g_per_ml:en	0.9
en:bamboo-shoot	ecobalyse_crop_group:en	LEGUMES-FLEURS
en:bamboo-shoot	ecobalyse_category:en	vegetable_fresh
en:bamboo-shoot	ecobalyse_raw_to_cooked_ratio:en	0.856
en:bamboo-shoot	ecobalyse_inedible_part:en	0.2
en:bamboo-shoot	ecobalyse_transport_cooling:en	always
en:bamboo-shoot	ecobalyse_origins_en_france_id:en	dd25d91e-cec8-548c-9041-147b79ff7970
en:bamboo-shoot	ecobalyse_origins_en_france_scenario:en	reference
en:bamboo-shoot	ecobalyse_origins_en_france_name:fr	Pousses de bambou FR
en:bamboo-shoot	ecobalyse_origins_en_france_alias:en	bamboo-shoot-fr
en:bamboo-shoot	ecobalyse_origins_en_france_default_origin:en	France
en:banana	ecobalyse_id:en	ed59e002-178b-5132-9df5-6883261dfa1c
en:banana	ecobalyse_density_g_per_ml:en	0.95
en:banana	ecobalyse_crop_group:en	ARBORICULTURE
en:banana	ecobalyse_category:en	vegetable_fresh
en:banana	ecobalyse_raw_to_cooked_ratio:en	0.856
en:banana	ecobalyse_inedible_part:en	0.3
en:banana	ecobalyse_transport_cooling:en	always
en:banana	ecobalyse_origins_en_european_union_id:en	aa3807aa-d855-5506-a799-88d49ccbe0d4
en:banana	ecobalyse_origins_en_european_union_scenario:en	import
en:banana	ecobalyse_origins_en_european_union_name:fr	Banane UE Antilles
en:banana	ecobalyse_origins_en_european_union_alias:en	banana-eu-antilles
en:banana	ecobalyse_origins_en_european_union_default_origin:en	EuropeAndMaghreb
en:banana	ecobalyse_labels_en_organic_origins_en_france_id:en	b3f92ca9-3121-4e2d-9e1d-0cc2c5d392fe
en:banana	ecobalyse_labels_en_organic_origins_en_france_scenario:en	organic
en:banana	ecobalyse_labels_en_organic_origins_en_france_name:fr	Banane Bio
en:banana	ecobalyse_labels_en_organic_origins_en_france_alias:en	banana-organic
en:banana	ecobalyse_labels_en_organic_origins_en_france_default_origin:en	France
en:banana	ecobalyse_origins_en_france_id:en	1cdce07d-e655-5e2c-8020-36162b99aef9
en:banana	ecobalyse_origins_en_france_scenario:en	reference
en:banana	ecobalyse_origins_en_france_name:fr	Banane FR
en:banana	ecobalyse_origins_en_france_alias:en	banana-fr
en:banana	ecobalyse_origins_en_france_default_origin:en	France
en:barley	ecobalyse_id:en	6665e6d0-38da-4010-87e7-7fb54f85643d
en:barley	ecobalyse_density_g_per_ml:en	1
en:barley	ecobalyse_crop_group:en	ORGE
en:barley	ecobalyse_category:en	grain_processed
en:barley	ecobalyse_raw_to_cooked_ratio:en	1
en:barley	ecobalyse_inedible_part:en	0
en:barley	ecobalyse_transport_cooling:en	always
en:basmati-rice	ecobalyse_id:en	e97433e5-13fa-565a-955b-5756c48fbb1c
en:basmati-rice	ecobalyse_density_g_per_ml:en	0.72
en:basmati-rice	ecobalyse_crop_group:en	RIZ
en:basmati-rice	ecobalyse_category:en	grain_raw
en:basmati-rice	ecobalyse_raw_to_cooked_ratio:en	2.259
en:basmati-rice	ecobalyse_inedible_part:en	0
en:basmati-rice	ecobalyse_transport_cooling:en	none
en:bay-leaf	ecobalyse_id:en	bb2276b5-9f99-52bd-9373-5268eeb2c87c
en:bay-leaf	ecobalyse_density_g_per_ml:en	0.5
en:bay-leaf	ecobalyse_crop_group:en	DIVERS
en:bay-leaf	ecobalyse_category:en	spice_condiment_additive
en:bay-leaf	ecobalyse_raw_to_cooked_ratio:en	1
en:bay-leaf	ecobalyse_inedible_part:en	0
en:bay-leaf	ecobalyse_transport_cooling:en	none
en:bay-leaf	ecobalyse_origins_en_france_id:en	a7984dfe-8c9d-5880-9122-ae277de30640
en:bay-leaf	ecobalyse_origins_en_france_scenario:en	reference
en:bay-leaf	ecobalyse_origins_en_france_name:fr	Feuilles de laurier FR
en:bay-leaf	ecobalyse_origins_en_france_alias:en	bay-leaf-fr
en:bay-leaf	ecobalyse_origins_en_france_default_origin:en	France
en:beans	ecobalyse_id:en	0fdccf80-b169-4b34-8409-d15c0d100957
en:beans	ecobalyse_density_g_per_ml:en	0.72
en:beans	ecobalyse_crop_group:en	AUTRES CEREALES
en:beans	ecobalyse_category:en	grain_raw
en:beans	ecobalyse_raw_to_cooked_ratio:en	2.259
en:beans	ecobalyse_inedible_part:en	0
en:beans	ecobalyse_transport_cooling:en	none
en:beans	ecobalyse_proxy_labels_en_organic_id:en	8cf0b0ce-7ae7-4123-8fee-823b4c190418
en:beans	ecobalyse_proxy_labels_en_organic_scenario:en	organic
en:beans	ecobalyse_proxy_labels_en_organic_name:fr	Pois Bio (2025)
en:beans	ecobalyse_proxy_labels_en_organic_alias:en	bean-organic-2025
en:beans	ecobalyse_proxy_labels_en_organic_default_origin:en	OutOfEuropeAndMaghreb
en:beans	ecobalyse_origins_en_france_id:en	bfdf1505-8426-499e-8286-a1e4b4920c7e
en:beans	ecobalyse_origins_en_france_scenario:en	reference
en:beans	ecobalyse_origins_en_france_name:fr	Pois FR (2025)
en:beans	ecobalyse_origins_en_france_alias:en	bean-fr-2025
en:beans	ecobalyse_origins_en_france_default_origin:en	France
en:beetroot	ecobalyse_id:en	59d8ddde-14d0-529f-85a4-343ea45eb5e0
en:beetroot	ecobalyse_density_g_per_ml:en	0.9
en:beetroot	ecobalyse_crop_group:en	AUTRES CULTURES INDUSTRIELLES
en:beetroot	ecobalyse_category:en	vegetable_fresh
en:beetroot	ecobalyse_raw_to_cooked_ratio:en	0.856
en:beetroot	ecobalyse_inedible_part:en	0.1
en:beetroot	ecobalyse_transport_cooling:en	always
en:beetroot	ecobalyse_labels_en_organic_origins_en_france_id:en	1e878bf3-3f3f-4239-a4d8-072c9dec8457
en:beetroot	ecobalyse_labels_en_organic_origins_en_france_scenario:en	organic
en:beetroot	ecobalyse_labels_en_organic_origins_en_france_name:fr	Betterave rouge Bio (2025)
en:beetroot	ecobalyse_labels_en_organic_origins_en_france_alias:en	beetroot-organic-2025
en:beetroot	ecobalyse_labels_en_organic_origins_en_france_default_origin:en	France
en:beetroot	ecobalyse_origins_en_france_id:en	02106d98-e7e7-5884-905e-fc6d194c4fdb
en:beetroot	ecobalyse_origins_en_france_scenario:en	reference
en:beetroot	ecobalyse_origins_en_france_name:fr	Betterave FR
en:beetroot	ecobalyse_origins_en_france_alias:en	beetroot-fr
en:beetroot	ecobalyse_origins_en_france_default_origin:en	France
en:bell-pepper	ecobalyse_id:en	123d51c5-27a3-4b57-a1d2-3b627dc4032a
en:bell-pepper	ecobalyse_density_g_per_ml:en	0.295
en:bell-pepper	ecobalyse_crop_group:en	LEGUMES-FLEURS
en:bell-pepper	ecobalyse_category:en	vegetable_fresh
en:bell-pepper	ecobalyse_raw_to_cooked_ratio:en	0.856
en:bell-pepper	ecobalyse_inedible_part:en	0.03
en:bell-pepper	ecobalyse_transport_cooling:en	none
en:bell-pepper	ecobalyse_origins_en_european_union_id:en	f03947eb-3f24-5de7-ba45-a01c3b3deabb
