Ingrédient,"Facteur GES
 kg CO2 eq / kg d'ingrédient ingéré",
Citrouille - Courges -Potiron,"1,2",carbon_footprint_fr_foodges_ingredient:fr:Citrouille - Courges -Potiron
Chou-Fleur,"0,5",carbon_footprint_fr_foodges_ingredient:fr:Chou-Fleur
Concombre,"1,7",carbon_footprint_fr_foodges_ingredient:fr:Concombre
Concombre serre chauffée,"2,4",carbon_footprint_fr_foodges_ingredient:fr:Concombre serre chauffée
Endive,"1,2",carbon_footprint_fr_foodges_ingredient:fr:Endive
Poireau,"0,3",carbon_footprint_fr_foodges_ingredient:fr:Poireau
Lentilles vertes,"0,3",carbon_footprint_fr_foodges_ingredient:fr:Lentilles vertes
Salade,"0,8",carbon_footprint_fr_foodges_ingredient:fr:Salade
"Olives ""Pays du Sud"" en boite","1,7","carbon_footprint_fr_foodges_ingredient:fr:Olives ""Pays du Sud"" en boite"
Frites surgelées,"1,3",carbon_footprint_fr_foodges_ingredient:fr:Frites surgelées
Pâtes sèches,"0,5",carbon_footprint_fr_foodges_ingredient:fr:Pâtes sèches
Riz jasmin (Thaïlande),"1,4",carbon_footprint_fr_foodges_ingredient:fr:Riz jasmin (Thaïlande)
Semoule de blé dur,"0,6",carbon_footprint_fr_foodges_ingredient:fr:Semoule de blé dur
Mélange de céréales,"0,3",carbon_footprint_fr_foodges_ingredient:fr:Mélange de céréales
Pain,"1,5",carbon_footprint_fr_foodges_ingredient:fr:Pain
Fraise saison (France),"0,6",carbon_footprint_fr_foodges_ingredient:fr:Fraise saison (France)
Fraise hors saison sous serre (France),"3,5",carbon_footprint_fr_foodges_ingredient:fr:Fraise hors saison sous serre (France)
"Fraise ""Pays du Sud""","0,8","carbon_footprint_fr_foodges_ingredient:fr:Fraise ""Pays du Sud"""
Pomme France,"0,3",carbon_footprint_fr_foodges_ingredient:fr:Pomme France
Pomme amérique du Sud,"1,3",carbon_footprint_fr_foodges_ingredient:fr:Pomme amérique du Sud
Pêche (France),"0,7",carbon_footprint_fr_foodges_ingredient:fr:Pêche (France)
"Pêche ""Pays du Sud""",1,"carbon_footprint_fr_foodges_ingredient:fr:Pêche ""Pays du Sud"""
Abricot saison (France),"0,6",carbon_footprint_fr_foodges_ingredient:fr:Abricot saison (France)
"Abricot ""Pays du Sud""","1,1","carbon_footprint_fr_foodges_ingredient:fr:Abricot ""Pays du Sud"""
Banane,"1,2",carbon_footprint_fr_foodges_ingredient:fr:Banane
Citron,"0,9",carbon_footprint_fr_foodges_ingredient:fr:Citron
Mandarine,"1,3",carbon_footprint_fr_foodges_ingredient:fr:Mandarine
Orange fraîche,"0,8",carbon_footprint_fr_foodges_ingredient:fr:Orange fraîche
Orange destinée à l'industrie ,"0,8",carbon_footprint_fr_foodges_ingredient:fr:Orange destinée à l'industrie
Poire (Belgique),"0,5",carbon_footprint_fr_foodges_ingredient:fr:Poire (Belgique)
Poire (Argentine),1,carbon_footprint_fr_foodges_ingredient:fr:Poire (Argentine)
Raisin,"0,8",carbon_footprint_fr_foodges_ingredient:fr:Raisin
Cerise,"1,3",carbon_footprint_fr_foodges_ingredient:fr:Cerise
Melon,"0,5",carbon_footprint_fr_foodges_ingredient:fr:Melon
Noix entières,"1,3",carbon_footprint_fr_foodges_ingredient:fr:Noix entières
Amandes,"5,9",carbon_footprint_fr_foodges_ingredient:fr:Amandes
Mangue importée en avion,"27,4",carbon_footprint_fr_foodges_ingredient:fr:Mangue importée en avion
Mangue importée en bateau,"0,8",carbon_footprint_fr_foodges_ingredient:fr:Mangue importée en bateau
Fruit ou légume moyen importé par bateau et camion,"1,3",carbon_footprint_fr_foodges_ingredient:fr:Fruit ou légume moyen importé par bateau et camion
"Fruit ou légume moyen, hors saison produit sous serre chauffée","2,3","carbon_footprint_fr_foodges_ingredient:fr:Fruit ou légume moyen, hors saison produit sous serre chauffée"
"Fruit ou légume moyen , importé par avion (saison ou hors saison)","27,4","carbon_footprint_fr_foodges_ingredient:fr:Fruit ou légume moyen , importé par avion (saison ou hors saison)"
"Fruit ou légume moyen de saison, produit localement","0,3","carbon_footprint_fr_foodges_ingredient:fr:Fruit ou légume moyen de saison, produit localement"
Huile Tournesol,"1,6",carbon_footprint_fr_foodges_ingredient:fr:Huile Tournesol
Huile d'olive,"2,6",carbon_footprint_fr_foodges_ingredient:fr:Huile d'olive
Huile de colza,"2,2",carbon_footprint_fr_foodges_ingredient:fr:Huile de colza
Margarine,"2,7",carbon_footprint_fr_foodges_ingredient:fr:Margarine
Chocolat en morceau (noir),"4,9",carbon_footprint_fr_foodges_ingredient:fr:Chocolat en morceau (noir)
Chocolat en morceau (au lait),"5,9",carbon_footprint_fr_foodges_ingredient:fr:Chocolat en morceau (au lait)
Chocolat en morceau (blanc),"6,5",carbon_footprint_fr_foodges_ingredient:fr:Chocolat en morceau (blanc)
Chocolat en poudre non sucré,"4,7",carbon_footprint_fr_foodges_ingredient:fr:Chocolat en poudre non sucré
Vinaigre de vin,"4,2",carbon_footprint_fr_foodges_ingredient:fr:Vinaigre de vin
Pâte à tarte,"7,3",carbon_footprint_fr_foodges_ingredient:fr:Pâte à tarte
Gousse de Vanille,"2,6",carbon_footprint_fr_foodges_ingredient:fr:Gousse de Vanille
Glace à la vanille,"1,5",carbon_footprint_fr_foodges_ingredient:fr:Glace à la vanille
Ketchup,"2,4",carbon_footprint_fr_foodges_ingredient:fr:Ketchup
Sucre de betterave,"0,7",carbon_footprint_fr_foodges_ingredient:fr:Sucre de betterave
Sucre de canne,"1,3",carbon_footprint_fr_foodges_ingredient:fr:Sucre de canne
Farine de blé,"1,2",carbon_footprint_fr_foodges_ingredient:fr:Farine de blé
Viennoiseries pain au chocolat,"2,3",carbon_footprint_fr_foodges_ingredient:fr:Viennoiseries pain au chocolat
Viennoiseries Brioche industrielle préemballée,"2,9",carbon_footprint_fr_foodges_ingredient:fr:Viennoiseries Brioche industrielle préemballée
Biscuit au beurre,"4,5",carbon_footprint_fr_foodges_ingredient:fr:Biscuit au beurre
Café moulu,"15,7",carbon_footprint_fr_foodges_ingredient:fr:Café moulu
Thé,"30,5",carbon_footprint_fr_foodges_ingredient:fr:Thé
Vin France,"1,4",carbon_footprint_fr_foodges_ingredient:fr:Vin France
Bière,"2,7",carbon_footprint_fr_foodges_ingredient:fr:Bière
Soda au cola,"1,1",carbon_footprint_fr_foodges_ingredient:fr:Soda au cola
Pur jus d' orange,"1,3",carbon_footprint_fr_foodges_ingredient:fr:Pur jus d'orange
Eau du robinet,0,carbon_footprint_fr_foodges_ingredient:fr:Eau du robinet
"Eau en bouteille PET, plate, 0.5 L","0,4","carbon_footprint_fr_foodges_ingredient:fr:Eau en bouteille PET, plate, 0.5 L"
Sel,"0,5",carbon_footprint_fr_foodges_ingredient:fr:Sel
Moutarde,"3,3",carbon_footprint_fr_foodges_ingredient:fr:Moutarde
Épices,"2,2",carbon_footprint_fr_foodges_ingredient:fr:Épices
Anis - Badiane,"2,7",carbon_footprint_fr_foodges_ingredient:fr:Anis - Badiane
Piment et poivre sec,"3,4",carbon_footprint_fr_foodges_ingredient:fr:Piment et poivre sec
Cannelle,"2,2",carbon_footprint_fr_foodges_ingredient:fr:Cannelle
