 Nom Ville 	MAJ   	 Code Postal 	 Code INSEE 	Code Région	 Latitude 	 Longitude 	 Eloignement 
 L'Abergement-Clémenciat 	L ABERGEMENT CLEMENCIAT 	1400	1001	82	46.15	4.916667	1.46
 Villecomtal-sur-Arros	VILLECOMTAL-SUR-ARROS	32730	32464	?	43.400279	0.199525
