# we use this file to match Systeme U categories (with 3 levels: "category1 - category2 - category3") to OFF categories
# if we don't have a match, we check if category3, category2 or category 1 exist in the OFF taxonomy

# categories with no match:

categories with no mapping to OFF categories:
Pains, Viennoiseries et Pâtisseries - Viennoiseries et brioches - Brioches, gâches et spécialités	10
Epicerie salée - Produits du monde - Epicerie orientale	10
Bières, vins, alcools - Apéritifs et Spiritueux - Portos, vins doux et amers	10
Viandes, poissons - Boucherie - Viande cuisinée et marinée	10
Produits frais - Fromages à déguster - Roquefort et bleu	10
Epicerie salée - Produits du monde - Epicerie espagnole et portugaise	9
Produits frais - Beurres, crèmes et oeufs - Crèmes longue conservation	9
Bio - Produits frais bio - Crèmes et beurres	9
Bio - Surgelés bio - Viandes, poissons, fruits de mer	9
Charcuterie, traiteur - Plat cuisiné et cuisine du monde - Asiatique et produit du monde	9
Epicerie salée - Pâtes, riz, purées, féculents - Sachets express	9
Bio - Boissons bio - Sirops et sodas	9
Epicerie salée - Apéritifs et chips - Tuiles, tortillas et sauces	9
Bio - Surgelés bio - Glaces et desserts	9
Pains, Viennoiseries et Pâtisseries - Gâteaux moelleux et biscuiterie - Gâteaux à partager	9
Produits frais - Fromages à déguster - Morbier, Saint Nectaire et tommes	8
Pains, Viennoiseries et Pâtisseries - Viennoiseries et brioches - Briochettes et pains au lait	8
Epicerie sucrée - Tablettes et chocolat - Tablette de chocolat pâtissier	8
Charcuterie, traiteur - Pizza, quiche, pâte fraîche, crêpe - Quiche et tarte salée8
Pains, Viennoiseries et Pâtisseries - Gâteaux moelleux et biscuiterie - Gaufres et crêpes	8
Produits frais - Fromages à cuisiner, apéritifs et râpés - Fromages apéritifs et salades	8
Charcuterie, traiteur - Salade et entrée - Taboulé et autres recettes	8
Bières, vins, alcools - Apéritifs et Spiritueux - Whiskies et assimilés	8
Bio - Boissons bio - Bières, vins et cidres	8
Produits frais - Fromages à cuisiner, apéritifs et râpés - Fromages frais à tartiner	7
Charcuterie, traiteur - Salade et entrée - Feuilleté et pâté en croute	7
Bio - Epicerie sucrée bio - Pains, pains de mie et viennoiseries	7
Pains, Viennoiseries et Pâtisseries - Pains de mie, pains pré-emballés - Pains burger et à garnir	7
Charcuterie, traiteur - Pizza, quiche, pâte fraîche, crêpe - Gnocchi et quenelle	7
Bières, vins, alcools - Bières, cidres - Blondes en bouteille	6
Bières, vins, alcools - Bières, cidres - Spécialités (ambrées, brunes,...)	6
Epicerie salée - Conserves de viandes et poissons - Autres poissons et fruits de mer	6
